EventName,EventID,ProgressSteps,ID,Product,Work Orders/Operation,Items,Resource,Equipment,Location,SimTime,Date
Trailer Loading,1,480-481,,,-,1~17,Operator 1,Trailer_60,CentralBuffer_Location,481,2026-08-28 08:01:00
Trailer Loading,3,480-481,,,-,64~143,Operator 2,Trailer_61,CentralBuffer_Location,481,2026-08-28 08:01:00
Trailer Loading,5,480-481,,,-,168~259,Manual worker 1,Trailer_62,CentralBuffer_Location,481,2026-08-28 08:01:00
Trailer Loading,2,481-482,,,-,18~63,Manual worker 2,Trailer_63,CentralBuffer_Location,482,2026-08-28 08:02:00
Trailer Transport,6,481-482,,,-,1~17,Operator 1,Trailer_60,Trailer_60,482,2026-08-28 08:02:00
Trailer Transport,7,481-482,,,-,64~143,Operator 2,Trailer_61,Trailer_61,482,2026-08-28 08:02:00
Trailer Transport,8,481-482,,,-,168~259,Manual worker 1,Trailer_62,Trailer_62,482,2026-08-28 08:02:00
Trailer Transport,9,482-483,,,-,18~63,Manual worker 2,Trailer_63,Trailer_63,483,2026-08-28 08:03:00
Trailer Unloading,10,482-483,,,-,1~17,Operator 1,Trailer_60,BW_(BKW_01)_Location,483,2026-08-28 08:03:00
Trailer Unloading,11,482-483,,,-,64~143,Operator 2,Trailer_61,BW_(BKW_01)_Location,483,2026-08-28 08:03:00
Trailer Unloading,12,482-483,,,-,168~259,Manual worker 1,Trailer_62,BW_(BKW_01)_Location,483,2026-08-28 08:03:00
Trailer Unloading,13,483-484,,,-,18~63,Manual worker 2,Trailer_63,OUT - Outsourced activity_(OUT - Outsourced)_Location,484,2026-08-28 08:04:00
Operator Move,17,484-485,,,-,-,Operator 1,-,CentralBuffer_Location,485,2026-08-28 08:05:00
Machine Setup,15,484-485,,,-,64~143,Operator 2,BW_(BKW_01),BW_(BKW_01)_Location,485,2026-08-28 08:05:00
Machine Setup,20,485-486,,,-,18~63,Manual worker 2,OUT - Outsourced activity_(OUT - Outsourced),OUT - Outsourced activity_(OUT - Outsourced)_Location,486,2026-08-28 08:06:00
Trailer Loading,4,485-486,,,-,144~167,Operator 1,Trailer_64,CentralBuffer_Location,486,2026-08-28 08:06:00
Machine Loading,21,486-487,,,-,64~143,Operator 2,BW_(BKW_01),BW_(BKW_01)_Location,487,2026-08-28 08:07:00
Trailer Transport,23,486-487,,,-,144~167,Operator 1,Trailer_64,Trailer_64,487,2026-08-28 08:07:00
Machine Loading,22,487-488,,,-,18~63,Manual worker 2,OUT - Outsourced activity_(OUT - Outsourced),OUT - Outsourced activity_(OUT - Outsourced)_Location,488,2026-08-28 08:08:00
Trailer Unloading,25,487-488,,,-,144~167,Operator 1,Trailer_64,OUT - Outsourced activity_(OUT - Outsourced)_Location,488,2026-08-28 08:08:00
Machine Setup,27,489-490,,,-,144~167,Operator 1,OUT - Outsourced activity_(OUT - Outsourced),OUT - Outsourced activity_(OUT - Outsourced)_Location,490,2026-08-28 08:10:00
Machine Loading,28,491-492,,,-,144~167,Operator 1,OUT - Outsourced activity_(OUT - Outsourced),OUT - Outsourced activity_(OUT - Outsourced)_Location,492,2026-08-28 08:12:00
Machine Processing,24,487-725,__export__.mrp_production_6020_2cead996,[4598-008-08901B POS 1] CEILING INLET*,BW - Benchwork (BKW_01),64~143,BW_(BKW_01),BW_(BKW_01),BW_(BKW_01)_Location,725,2026-08-28 12:05:00
Machine Unloading,30,726-727,,,-,64~143,Operator 2,BW_(BKW_01),BW_(BKW_01)_Location,727,2026-08-28 12:07:00
Machine Setup,14,728-729,,,-,1~17,Operator 2,BW_(BKW_01),BW_(BKW_01)_Location,729,2026-08-28 12:09:00
Trailer Loading,31,728-729,,,-,64~143,Manual worker 1,Trailer_60,BW_(BKW_01)_Location,729,2026-08-28 12:09:00
Trailer Transport,33,729-730,,,-,64~143,Manual worker 1,Trailer_60,Trailer_60,730,2026-08-28 12:10:00
Machine Loading,32,730-731,,,-,1~17,Operator 2,BW_(BKW_01),BW_(BKW_01)_Location,731,2026-08-28 12:11:00
Trailer Unloading,34,730-731,,,-,64~143,Manual worker 1,Trailer_60,OUT - Outsourced activity_(OUT - Outsourced)_Location,731,2026-08-28 12:11:00
Machine Setup,36,732-733,,,-,64~143,Operator 1,OUT - Outsourced activity_(OUT - Outsourced),OUT - Outsourced activity_(OUT - Outsourced)_Location,733,2026-08-28 12:13:00
Machine Loading,37,734-735,,,-,64~143,Operator 1,OUT - Outsourced activity_(OUT - Outsourced),OUT - Outsourced activity_(OUT - Outsourced)_Location,735,2026-08-28 12:15:00
