ProductID,OperationID,OperationIndex
0,0,0
0,1,1
0,2,2
0,3,3
0,4,4
0,5,5
2,6,0
2,7,1
2,8,2
2,9,3
2,10,4
2,11,5
3,12,0
3,13,1
3,14,2
3,15,3
3,16,4
3,17,5
4,18,0
4,19,1
4,20,2
4,21,3
4,22,4
4,23,5
5,24,0
5,25,1
5,26,2
5,27,3
5,28,4
5,29,5
6,30,0
6,31,1
6,32,2
6,33,3
6,34,4
6,35,5
7,36,0
7,37,1
7,38,2
7,39,3
7,40,4
9,41,0
9,42,1
9,43,2
9,44,3
11,45,0
11,46,1
19,47,0
19,48,1
19,49,2
19,50,3
19,51,4
21,52,0
21,53,1
21,54,2
21,55,3
21,56,4
23,57,0
23,58,1
23,59,2
23,60,3
25,61,0
25,62,1
25,63,2
25,64,3
25,65,4
27,66,0
27,67,1
27,68,2
27,69,3
27,70,4
29,71,0
29,72,1
29,73,2
29,74,3
29,75,4
29,76,5
31,77,0
31,78,1
31,79,2
31,80,3
31,81,4
33,82,0
33,83,1
33,84,2
33,85,3
33,86,4
33,87,5
34,88,0
34,89,1
34,90,2
36,91,0
36,92,1
36,93,2
36,94,3
36,95,4
38,96,0
38,97,1
38,98,2
38,99,3
40,100,0
40,101,1
40,102,2
40,103,3
40,104,4
40,105,5
42,106,0
42,107,1
42,108,2
42,109,3
42,110,4
42,111,5
44,112,0
44,113,1
44,114,2
44,115,3
44,116,4
44,117,5
45,118,0
45,119,1
45,120,2
45,121,3
45,122,4
45,123,5
46,124,0
46,125,1
46,126,2
46,127,3
46,128,4
46,129,5
47,130,0
47,131,1
47,132,2
47,133,3
47,134,4
47,135,5
47,136,6
48,137,0
48,138,1
48,139,2
48,140,3
48,141,4
48,142,5
50,143,0
50,144,1
50,145,2
50,146,3
50,147,4
50,148,5
52,149,0
52,150,1
52,151,2
52,152,3
52,153,4
54,154,0
54,155,1
54,156,2
54,157,3
54,158,4
56,159,0
56,160,1
56,161,2
56,162,3
56,163,4
58,164,0
58,165,1
58,166,2
58,167,3
58,168,4
60,169,0
60,170,1
60,171,2
60,172,3
60,173,4
60,174,5
60,175,6
60,176,7
60,177,8
62,178,0
62,179,1
62,180,2
64,181,0
64,182,1
64,183,2
