OperationID,Name,ProcessTime
0,Material prep (ZGN_02)_[BD50-5075-011-E]  bracket,0.0166666666666666
1,Milling (FR3_01)_[BD50-5075-011-E]  bracket,0.0666666666666666
2,BW - Benchwork (BKW_01)_[BD50-5075-011-E]  bracket,0.0333333333333333
3,Packaging (VERP_P)_[BD50-5075-011-E]  bracket,0.0166666666666666
4,Chromising_[BD50-5075-011-E]  bracket,75.0
5,Material prep (ZGN_02)_[BD50-5075-013F]  bracket,0.0166666666666666
6,Milling (FR3_01)_[BD50-5075-013F]  bracket,0.1
7,BW - Benchwork (BKW_01)_[BD50-5075-013F]  bracket,0.0333333333333333
8,Packaging (VERP_P)_[BD50-5075-013F]  bracket,0.0166666666666666
9,Chromising_[BD50-5075-013F]  bracket,75.0
10,Material prep (ZGN_02)_[BD50-5075-015F]  bracket,0.0166666666666666
11,Milling (FR3_01)_[BD50-5075-015F]  bracket,0.1
12,BW - Benchwork (BKW_01)_[BD50-5075-015F]  bracket,0.0333333333333333
13,Packaging (VERP_P)_[BD50-5075-015F]  bracket,0.0166666666666666
14,Chromising_[BD50-5075-015F]  bracket,75.0
15,Material prep (ZGN_02)_[BD50-5085-007-C]  bracket,0.0166666666666666
16,Milling (FR3_01)_[BD50-5085-007-C]  bracket,0.1
17,BW - Benchwork (BKW_01)_[BD50-5085-007-C]  bracket,0.0333333333333333
18,Packaging (VERP_P)_[BD50-5085-007-C]  bracket,0.0166666666666666
19,Chromising_[BD50-5085-007-C]  bracket,75.0
20,Material prep (ZGN_02)_[BD50-5085-009-C]  bracket,0.0166666666666666
21,Milling (FR3_01)_[BD50-5085-009-C]  bracket,0.1
22,BW - Benchwork (BKW_01)_[BD50-5085-009-C]  bracket,0.0333333333333333
23,Packaging (VERP_P)_[BD50-5085-009-C]  bracket,0.0166666666666666
24,Chromising_[BD50-5085-009-C]  bracket,75.0
25,Material prep (ZGN_02)_[BD50-5085-011-C]  bracket,0.0166666666666666
26,Milling (FR3_01)_[BD50-5085-011-C]  bracket,0.1
27,BW - Benchwork (BKW_01)_[BD50-5085-011-C]  bracket,0.0333333333333333
28,Packaging (VERP_P)_[BD50-5085-011-C]  bracket,0.0166666666666666
29,Chromising_[BD50-5085-011-C]  bracket,75.0
30,Material prep (ZGN_01)_[1078121B]  Block cooling water tmp,0.0166666666666666
31,Milling (FR5_01)_[1078121B]  Block cooling water tmp,0.3333333333333333
32,Milling (FR3_01)_[1078121B]  Block cooling water tmp,0.05
33,BW - Benchwork (BKW_01)_[1078121B]  Block cooling water tmp,0.05
34,Packaging (VERP_P)_[1078121B]  Block cooling water tmp,0.0166666666666666
35,Material prep (ZGN_02)_[4022-335-19371]  Filterhouder Ni 0.02mm,0.0166666666666666
36,Milling (FR4-01)_[4022-335-19371]  Filterhouder Ni 0.02mm,0.05
37,BW - Benchwork (BKW_01)_[4022-335-19371]  Filterhouder Ni 0.02mm,0.0833333333333333
38,Packaging (VERP_P)_[4022-335-19371]  Filterhouder Ni 0.02mm,0.0169444444444444
39,Zagen_[7005-2580-0004]  Stroke Limiter Plate RX-L / 26223907,0.0166666666666666
40,Milling_[7005-2580-0004]  Stroke Limiter Plate RX-L / 26223907,0.4166666666666667
41,Material prep (ZGN_01)_[00236-05-103-C]  geleideblok spanrol,0.0166666666666666
42,Milling (FR4-01)_[00236-05-103-C]  geleideblok spanrol,0.2666666666666666
43,Milling (FR3_02)_[00236-05-103-C]  geleideblok spanrol,0.0333333333333333
44,Anodising_[00236-05-103-C]  geleideblok spanrol,37.5
45,Packaging (VERP_P)_[00236-05-103-C]  geleideblok spanrol,0.0166666666666666
46,Material prep (ZGN_01)_[00385-00-102-C]  Height bearing clamp plate,0.0166666666666666
47,Milling (FR4-01)_[00385-00-102-C]  Height bearing clamp plate,0.1333333333333333
48,Milling (FR3_01)_[00385-00-102-C]  Height bearing clamp plate,0.05
49,Painting_[00385-00-102-C]  Height bearing clamp plate,150.0
50,Packaging (VERP_P)_[00385-00-102-C]  Height bearing clamp plate,0.0166666666666666
51,"Pre-cutted, picking only_[00385-00-113A]  Tensioner plate",0.0166666666666666
52,Milling (FR4-02)_[00385-00-113A]  Tensioner plate,0.25
53,BW - Benchwork (BKW_01)_[00385-00-113A]  Tensioner plate,0.05
54,Packaging (VERP_P)_[00385-00-113A]  Tensioner plate,0.0166666666666666
55,Material prep (ZGN_01)_[00385-00-274-D]  Filling block,0.0166666666666666
56,Milling (FR4-01)_[00385-00-274-D]  Filling block,0.1333333333333333
57,Milling (FR3_01)_[00385-00-274-D]  Filling block,0.05
58,BW - Benchwork (BKW_01)_[00385-00-274-D]  Filling block,0.0166666666666666
59,Packaging (VERP_P)_[00385-00-274-D]  Filling block,0.0166666666666666
60,Material prep (ZGN_01)_[00385-00-320-A]  Plint adjust strip,0.0166666666666666
61,Milling (FR4-01)_[00385-00-320-A]  Plint adjust strip,0.1
62,BW - Benchwork (BKW_01)_[00385-00-320-A]  Plint adjust strip,0.0166666666666666
63,Passivating_[00385-00-320-A]  Plint adjust strip,37.5
64,Packaging (VERP_P)_[00385-00-320-A]  Plint adjust strip,0.0166666666666666
65,Material prep (ZGN_01)_[00385-00-321-A]  Plint fixing strip left,0.0166666666666666
66,Milling (FR4-01)_[00385-00-321-A]  Plint fixing strip left,0.1333333333333333
67,Milling (FR3_01)_[00385-00-321-A]  Plint fixing strip left,0.0666666666666666
68,BW - Benchwork (BKW_01)_[00385-00-321-A]  Plint fixing strip left,0.0333333333333333
69,Passivating_[00385-00-321-A]  Plint fixing strip left,37.5
70,Packaging (VERP_P)_[00385-00-321-A]  Plint fixing strip left,0.0166666666666666
71,Material prep (ZGN_01)_[00385-00-329-A]  End plate finger safety hinge,0.0166666666666666
72,Milling (FR3_01)_[00385-00-329-A]  End plate finger safety hinge,0.05
73,BW - Benchwork (BKW_01)_[00385-00-329-A]  End plate finger safety hinge,0.0166666666666666
74,Passivating_[00385-00-329-A]  End plate finger safety hinge,37.5
75,Packaging (VERP_P)_[00385-00-329-A]  End plate finger safety hinge,0.0166666666666666
76,Automatic Sawing (ZGN_01)_[00385-00-346-A]  Plint fixing strip right,0.0166666666666666
77,Milling (FR4-01)_[00385-00-346-A]  Plint fixing strip right,0.1333333333333333
78,Milling (FR3_01)_[00385-00-346-A]  Plint fixing strip right,0.0666666666666666
79,BW - Benchwork (BKW_01)_[00385-00-346-A]  Plint fixing strip right,0.0333333333333333
80,Passivating_[00385-00-346-A]  Plint fixing strip right,37.5
81,Packaging (VERP_P)_[00385-00-346-A]  Plint fixing strip right,0.0166666666666666
82,Picking (UITG_M)_[00429-00-166 C]  C//[Q] cradle block,0.0
83,Milling (FR3_01)_[00429-00-166 C]  C//[Q] cradle block,0.6666666666666666
84,Packaging (VERP_P)_[00429-00-166 C]  C//[Q] cradle block,0.0166666666666666
85,Material prep (ZGN_01)_[00429-00-249-A]  Plint adjust strip,0.0166666666666666
86,Milling (FR4-01)_[00429-00-249-A]  Plint adjust strip,0.1
87,BW - Benchwork (BKW_01)_[00429-00-249-A]  Plint adjust strip,0.0166666666666666
88,Passivating_[00429-00-249-A]  Plint adjust strip,37.5
89,Packaging (VERP_P)_[00429-00-249-A]  Plint adjust strip,0.0166666666666666
90,Material prep (ZGN_01)_[00429-00-662-B]  Arret lever,0.0166666666666666
91,Milling (FR4-02)_[00429-00-662-B]  Arret lever,0.2333333333333333
92,BW - Benchwork (BKW_01)_[00429-00-662-B]  Arret lever,0.0333333333333333
93,Packaging (VERP_P)_[00429-00-662-B]  Arret lever,0.0166666666666666
94,Material prep (ZGN_01)_[00522-01564-A]  XD F&T plate plug,0.0166666666666666
95,Milling (FR3_01)_[00522-01564-A]  XD F&T plate plug,0.1
96,BW - Benchwork (BKW_01)_[00522-01564-A]  XD F&T plate plug,0.0333333333333333
97,Cleaning_[00522-01564-A]  XD F&T plate plug,37.5
98,Packaging (VERP_P)_[00522-01564-A]  XD F&T plate plug,0.0166666666666666
99,Material prep (ZGN_01)_[00522-01696-A]  bma plug 2,0.0166666666666666
100,Milling (FR4-01)_[00522-01696-A]  bma plug 2,0.25
101,Milling (FR3_01)_[00522-01696-A]  bma plug 2,0.0833333333333333
102,BW - Benchwork (BKW_01)_[00522-01696-A]  bma plug 2,0.05
103,Cleaning_[00522-01696-A]  bma plug 2,37.5
104,Packaging (VERP_P)_[00522-01696-A]  bma plug 2,0.0166666666666666
105,Material prep (ZGN_01)_[00522-01698-A]  F&T Y-D plug 1,0.0166666666666666
106,Milling (FR4-01)_[00522-01698-A]  F&T Y-D plug 1,0.1
107,Milling (FR3_01)_[00522-01698-A]  F&T Y-D plug 1,0.0333333333333333
108,BW - Benchwork (BKW_01)_[00522-01698-A]  F&T Y-D plug 1,0.05
109,Cleaning_[00522-01698-A]  F&T Y-D plug 1,37.5
110,Packaging (VERP_P)_[00522-01698-A]  F&T Y-D plug 1,0.0166666666666666
111,Material prep (ZGN_01)_[00522-01717-A]  RCW plug 1,0.0166666666666666
112,Milling (FR3_01)_[00522-01717-A]  RCW plug 1,0.1166666666666666
113,BW - Benchwork (BKW_01)_[00522-01717-A]  RCW plug 1,0.05
114,Cleaning_[00522-01717-A]  RCW plug 1,37.5
115,Packaging (VERP_P)_[00522-01717-A]  RCW plug 1,0.0166666666666666
116,Material prep (ZGN_01)_[00522-01718-A]  RCW plug 2,0.0166666666666666
117,Milling (FR3_01)_[00522-01718-A]  RCW plug 2,0.1166666666666666
118,BW - Benchwork (BKW_01)_[00522-01718-A]  RCW plug 2,0.05
119,Cleaning_[00522-01718-A]  RCW plug 2,37.5
120,Packaging (VERP_P)_[00522-01718-A]  RCW plug 2,0.0166666666666666
121,Material prep (ZGN_01)_[080-810005-A2]  Valve body 3-way 2 sensors,0.0166666666666666
122,Milling (FR5_01)_[080-810005-A2]  Valve body 3-way 2 sensors,0.2666666666666666
123,Milling (FR3_01)_[080-810005-A2]  Valve body 3-way 2 sensors,0.0333333333333333
124,BW - Benchwork (BKW_01)_[080-810005-A2]  Valve body 3-way 2 sensors,0.0333333333333333
125,Anodising_[080-810005-A2]  Valve body 3-way 2 sensors,37.5
126,Packaging (VERP_P)_[080-810005-A2]  Valve body 3-way 2 sensors,0.0166666666666666
127,Material prep (ZGN_01)_[082-000020-A1]  Manifold coolant banjo M14,0.0166666666666666
128,Milling (FR3_01)_[082-000020-A1]  Manifold coolant banjo M14,0.0166666666666666
129,Milling (FR5_01)_[082-000020-A1]  Manifold coolant banjo M14,0.15
130,BW - Benchwork (BKW_01)_[082-000020-A1]  Manifold coolant banjo M14,0.0166666666666666
131,Anodising_[082-000020-A1]  Manifold coolant banjo M14,37.5
132,Packaging (VERP_P)_[082-000020-A1]  Manifold coolant banjo M14,0.0166666666666666
133,Material prep (ZGN_01)_[095-500029-A 1]  Filler block CNG,0.0166666666666666
134,Milling (FR5_01)_[095-500029-A 1]  Filler block CNG,0.3
135,Milling (FR3_01)_[095-500029-A 1]  Filler block CNG,0.0333333333333333
136,BW - Benchwork (BKW_01)_[095-500029-A 1]  Filler block CNG,0.05
137,Anodising_[095-500029-A 1]  Filler block CNG,37.5
138,Packaging (VERP_P)_[095-500029-A 1]  Filler block CNG,0.0166666666666666
139,Material prep (ZGN_01)_[1001823A]  ADJ.PLATE 2 OBJ.,0.0166666666666666
140,Milling (FR4-01)_[1001823A]  ADJ.PLATE 2 OBJ.,0.4166666666666667
141,Milling (FR3_01)_[1001823A]  ADJ.PLATE 2 OBJ.,0.0833333333333333
142,BW - Benchwork (BKW_01)_[1001823A]  ADJ.PLATE 2 OBJ.,0.0333333333333333
143,Packaging (VERP_P)_[1001823A]  ADJ.PLATE 2 OBJ.,0.0166666666666666
144,Material prep (ZGN_01)_[1011113A]  Cord Bracket,0.0166666666666666
145,Milling (FR4-01)_[1011113A]  Cord Bracket,0.0833333333333333
146,BW - Benchwork (BKW_01)_[1011113A]  Cord Bracket,0.0333333333333333
147,Packaging (VERP_P)_[1011113A]  Cord Bracket,0.0166666666666666
148,"Material prep (ZGN_01)_[1012609B]  CLAMP,PIPE,NIC",0.0166666666666666
149,"Milling (FR4-01)_[1012609B]  CLAMP,PIPE,NIC",0.25
150,"Milling (FR3_02)_[1012609B]  CLAMP,PIPE,NIC",0.1666666666666666
151,"BW - Benchwork (BKW_01)_[1012609B]  CLAMP,PIPE,NIC",0.0333333333333333
152,"Packaging (VERP_P)_[1012609B]  CLAMP,PIPE,NIC",0.0166666666666666
153,Material prep (ZGN_01)_[1082700B]  Block cooling water TMP,0.0166666666666666
154,Milling (FR5_01)_[1082700B]  Block cooling water TMP,0.6
155,Milling (FR3_01)_[1082700B]  Block cooling water TMP,0.0833333333333333
156,BW - Benchwork (BKW_01)_[1082700B]  Block cooling water TMP,0.0833333333333333
157,Packaging (VERP_P)_[1082700B]  Block cooling water TMP,0.0166666666666666
158,Picking (UITG_M)_[1200745A]  base wet stem quatro,0.0
159,Milling (FR5_01)_[1200745A]  base wet stem quatro,0.4166666666666667
160,Milling (FR3_01)_[1200745A]  base wet stem quatro,0.1
161,BW - Benchwork (BKW_01)_[1200745A]  base wet stem quatro,0.1333333333333333
162,Sandblasting_[1200745A]  base wet stem quatro,75.0
163,Nickel plating_[1200745A]  base wet stem quatro,75.0
164,Packaging (VERP_P)_[1200745A]  base wet stem quatro,0.0166666666666666
165,"Material prep - automatic sawing (ZGN_01)_[1202210A]  shackle, height adjust",0.0166666666666666
166,"Milling (FR5_01)_[1202210A]  shackle, height adjust",0.0
167,"Packaging (VERP_P)_[1202210A]  shackle, height adjust",0.0166666666666666
168,"Sawing_[1202211B]  fixing block, actuator",0.0166666666666666
169,"Milling (FR5_01)_[1202211B]  fixing block, actuator",0.0
170,"Packaging (VERP_P)_[1202211B]  fixing block, actuator",0.0166666666666666
171,"Milling_[1202461A]  intercon.panel,R-STEM",0.4166666666666667
172,"Packaging (VERP_P)_[1202461A]  intercon.panel,R-STEM",0.0166666666666666
173,Milling - OP1_[1207568A]  Cable clamp,0.3333333333333333
174,Packaging (VERP_P)_[1207568A]  Cable clamp,0.0166666666666666
175,Material prep (ZGN_01)_[349520-8007-000-0107]  BYPASS (BLOK),0.0166666666666666
176,Milling (FR5_01)_[349520-8007-000-0107]  BYPASS (BLOK),0.8333333333333334
177,Milling (FR3_01)_[349520-8007-000-0107]  BYPASS (BLOK),0.0833333333333333
178,BW - Benchwork (BKW_01)_[349520-8007-000-0107]  BYPASS (BLOK),0.0833333333333333
179,Packaging (VERP_P)_[349520-8007-000-0107]  BYPASS (BLOK),0.0166666666666666
180,Material prep (ZGN_01)_[4022-290-63221-D]  Excenter housing z,0.0166666666666666
181,Milling (FR5_01)_[4022-290-63221-D]  Excenter housing z,0.8333333333333334
182,Milling (FR3_01)_[4022-290-63221-D]  Excenter housing z,0.0833333333333333
183,BW - Benchwork (BKW_01)_[4022-290-63221-D]  Excenter housing z,0.0833333333333333
184,Packaging (VERP_P)_[4022-290-63221-D]  Excenter housing z,0.0166666666666666
185,Material prep (ZGN_01)_[4022-290-63321F]  Bearing housing spindle (rev F),0.0166666666666666
186,Milling (FR5_02)_[4022-290-63321F]  Bearing housing spindle (rev F),0.0166666666666666
187,Milling (FR5_01)_[4022-290-63321F]  Bearing housing spindle (rev F),0.75
188,BW - Benchwork (BKW_01)_[4022-290-63321F]  Bearing housing spindle (rev F),0.0666666666666666
189,Packaging (VERP_P)_[4022-290-63321F]  Bearing housing spindle (rev F),0.0166666666666666
190,Material prep (ZGN_01)_[4022-333-11506]  lagerblok,0.0166666666666666
191,Milling (FR3_01)_[4022-333-11506]  lagerblok,0.0166666666666666
192,Milling (FR5_01)_[4022-333-11506]  lagerblok,0.35
193,BW - Benchwork (BKW_01)_[4022-333-11506]  lagerblok,0.0333333333333333
194,Packaging (VERP_P)_[4022-333-11506]  lagerblok,0.0166666666666666
195,Material prep (ZGN_01)_[4022-333-13805]  dr pnt cilinder,0.0166666666666666
196,Milling (FR5_01)_[4022-333-13805]  dr pnt cilinder,0.25
197,Milling (FR3_01)_[4022-333-13805]  dr pnt cilinder,0.0166666666666666
198,Passivating_[4022-333-13805]  dr pnt cilinder,37.5
199,BW - Benchwork (BKW_01)_[4022-333-13805]  dr pnt cilinder,0.0166666666666666
200,Packaging (VERP_P)_[4022-333-13805]  dr pnt cilinder,0.0166666666666666
201,Picking (UITG_M)_[4022-333-19505]  BRIL,0.0
202,Milling (FR3_01)_[4022-333-19505]  BRIL,0.1666666666666666
203,BW - Benchwork (BKW_01)_[4022-333-19505]  BRIL,0.05
204,Packaging (VERP_P)_[4022-333-19505]  BRIL,0.0166666666666666
205,Material prep (ZGN_01)_[4022-333-40501]  DUMMY KRISTAL,0.0166666666666666
206,Milling (FR3_02)_[4022-333-40501]  DUMMY KRISTAL,0.0166666666666666
207,BW - Benchwork (BKW_01)_[4022-333-40501]  DUMMY KRISTAL,0.0166666666666666
208,Packaging (VERP_P)_[4022-333-40501]  DUMMY KRISTAL,0.0166666666666666
209,Material prep (ZGN_01)_[4022-333-58172]  KIJKERHOUDER,0.0166666666666666
210,Milling (FR5_01)_[4022-333-58172]  KIJKERHOUDER,0.1666666666666666
211,Milling (FR3_01)_[4022-333-58172]  KIJKERHOUDER,0.0333333333333333
212,BW - Benchwork (BKW_01)_[4022-333-58172]  KIJKERHOUDER,0.0333333333333333
213,Anodising_[4022-333-58172]  KIJKERHOUDER,37.5
214,Packaging (VERP_P)_[4022-333-58172]  KIJKERHOUDER,0.0166666666666666
215,Material prep (ZGN_02)_[4022-333-58791]  Filterhouder Cu 0.1,0.0166666666666666
216,Milling (FR4-01)_[4022-333-58791]  Filterhouder Cu 0.1,0.05
217,BW - Benchwork (BKW_01)_[4022-333-58791]  Filterhouder Cu 0.1,0.0833333333333333
218,Packaging (VERP_P)_[4022-333-58791]  Filterhouder Cu 0.1,0.0166666666666666
219,Material prep (ZGN_02)_[4022-335-17991]  Filterh. Cu0.2 Ni0.02,0.0166666666666666
220,Milling (FR4-01)_[4022-335-17991]  Filterh. Cu0.2 Ni0.02,0.05
221,BW - Benchwork (BKW_01)_[4022-335-17991]  Filterh. Cu0.2 Ni0.02,0.0833333333333333
222,Packaging (VERP_P)_[4022-335-17991]  Filterh. Cu0.2 Ni0.02,0.0166666666666666
223,Material prep (ZGN_01)_[4022-335-71012]  filter holder,0.0166666666666666
224,Milling (FR4-01)_[4022-335-71012]  filter holder,0.1
225,Milling (FR3_01)_[4022-335-71012]  filter holder,0.0333333333333333
226,BW - Benchwork (BKW_01)_[4022-335-71012]  filter holder,0.0333333333333333
227,Packaging (VERP_P)_[4022-335-71012]  filter holder,0.0166666666666666
228,Material prep (ZGN_01)_[4022-337-30992]  HOLDER FOR SHUTTER,0.0166666666666666
229,Milling (FR3_01)_[4022-337-30992]  HOLDER FOR SHUTTER,0.05
230,BW - Benchwork (BKW_01)_[4022-337-30992]  HOLDER FOR SHUTTER,0.0333333333333333
231,Packaging (VERP_P)_[4022-337-30992]  HOLDER FOR SHUTTER,0.0166666666666666
232,Material prep (ZGN_01)_[4022-337-33842]  arret holder,0.0166666666666666
233,Milling (FR3_01)_[4022-337-33842]  arret holder,0.0333333333333333
234,Milling (FR5_01)_[4022-337-33842]  arret holder,0.4166666666666667
235,BW - Benchwork (BKW_01)_[4022-337-33842]  arret holder,0.05
236,Packaging (VERP_P)_[4022-337-33842]  arret holder,0.0166666666666666
237,Picking (UITG_M)_[4022-454-25012]  RING,0.0
238,Milling (FR3_01)_[4022-454-25012]  RING,0.25
239,BW - Benchwork (BKW_01)_[4022-454-25012]  RING,0.0833333333333333
240,Nickel plating_[4022-454-25012]  RING,75.0
241,Packaging (VERP_P)_[4022-454-25012]  RING,0.0166666666666666
242,Material prep (ZGN_01)_[4022-455-01702]  Sensorblock,0.0166666666666666
243,Milling (FR5_01)_[4022-455-01702]  Sensorblock,0.8333333333333334
244,Milling (FR4-01)_[4022-455-01702]  Sensorblock,0.1666666666666666
245,BW - Benchwork (BKW_01)_[4022-455-01702]  Sensorblock,0.05
246,Packaging (VERP_P)_[4022-455-01702]  Sensorblock,0.0166666666666666
247,Material prep (ZGN_01)_[4022-455-09992]  POST 2,0.0166666666666666
248,Milling (FR4-01)_[4022-455-09992]  POST 2,0.0666666666666666
249,Milling (FR3_01)_[4022-455-09992]  POST 2,0.0333333333333333
250,BW - Benchwork (BKW_01)_[4022-455-09992]  POST 2,0.0166666666666666
251,Packaging (VERP_P)_[4022-455-09992]  POST 2,0.0166666666666666
252,Material prep (ZGN_01)_[4022-455-099943]  post 4,0.0166666666666666
253,Milling (FR4-01)_[4022-455-099943]  post 4,0.0666666666666666
254,BW - Benchwork (BKW_01)_[4022-455-099943]  post 4,0.0333333333333333
255,Packaging (VERP_P)_[4022-455-099943]  post 4,0.0166666666666666
256,Material prep (ZGN_01)_[4022-455-099953]  post 5,0.0166666666666666
257,Milling (FR4-01)_[4022-455-099953]  post 5,0.0666666666666666
258,BW - Benchwork (BKW_01)_[4022-455-099953]  post 5,0.0333333333333333
259,Packaging (VERP_P)_[4022-455-099953]  post 5,0.0166666666666666
260,Material prep (ZGN_01)_[4022-455-09997-3]  post 7,0.0166666666666666
261,Milling (FR4-01)_[4022-455-09997-3]  post 7,0.1
262,Milling (FR3_01)_[4022-455-09997-3]  post 7,0.0166666666666666
263,Packaging (VERP_P)_[4022-455-09997-3]  post 7,0.0166666666666666
264,Material prep (ZGN_01)_[4022-456-08803]  LENSGAS INTERFACE BLOCK,0.0166666666666666
265,Milling (FR3_01)_[4022-456-08803]  LENSGAS INTERFACE BLOCK,0.0166666666666666
266,Milling (FR5_02)_[4022-456-08803]  LENSGAS INTERFACE BLOCK,0.3333333333333333
267,BW - Benchwork (BKW_01)_[4022-456-08803]  LENSGAS INTERFACE BLOCK,0.0166666666666666
268,Packaging (VERP_P)_[4022-456-08803]  LENSGAS INTERFACE BLOCK,0.0166666666666666
269,Material prep (ZGN_01)_[4022-470-85441]  1/2TE Compens Guide 160mm,0.0166666666666666
270,Milling (FR4-02)_[4022-470-85441]  1/2TE Compens Guide 160mm,0.1666666666666666
271,Milling (FR4-01)_[4022-470-85441]  1/2TE Compens Guide 160mm,0.25
272,BW - Benchwork (BKW_01)_[4022-470-85441]  1/2TE Compens Guide 160mm,0.0166666666666666
273,Packaging (VERP_P)_[4022-470-85441]  1/2TE Compens Guide 160mm,0.0166666666666666
274,Material prep (ZGN_01)_[4022-481-55761]  Temp Sensor Block,0.0166666666666666
275,Milling (FR5_01)_[4022-481-55761]  Temp Sensor Block,0.2
