ResourceID,ResourceType,Name,DailyCapacity
0,Operator,Operator 1,8
1,Operator,Operator 2,8
2,Operator,Operator 3,7
3,Operator,Manual workers,15
4,Manual,MP2 - Material preparation - manual sawing (ZGN_02),15
5,Machine,M3-01 - Accuwell - 3axis - Manual (FR3_01),15
6,Manual,BW - Benchwork (BKW_01),15
7,Manual,PACK - Packaging (VERP_P),15
8,Outsourced,OUT - Outsourced activity_Chromising,10000
9,Manual,MP1 - Material preparation - automatic sawing (ZGN_01),15
10,Machine,M5-01 - Accuwell - 5axis - Pallet automaton (FR5_01),24
11,Machine,M4-01 - Accuwell -  4axis - Conveyor automation (FR4_01),24
12,Machine,M5-03 - Haas - 5axis - Manual (UMC750),15
13,Machine,M3-02 - Accuwell - 3axis - Manual (FR3_02),15
14,Outsourced,OUT - Outsourced activity_Anodising,10000
15,Outsourced,OUT - Outsourced activity_Painting,10000
16,Manual,"MP3 - Material preparation - pre-cutted, only picking (UITG_M)",15
17,Machine,M4-02 - Accuwell - 4axis - Conveyor automation (FR4_02),24
18,Outsourced,OUT - Outsourced activity_Passivating,10000
19,Outsourced,OUT - Outsourced activity_Cleaning,10000
20,Outsourced,OUT - Outsourced activity_Sandblasting,10000
21,Outsourced,OUT - Outsourced activity_Nickel plating,10000
22,Machine,M3-03 - Haas - 3axis - Manual (VF2SS),15
23,Machine,M5-02 - Accuwell - 5axis - Conveyor automation (FR5_02),24
24,Outsourced,OUT - Outsourced activity_Anodising + Cleaning,10000
25,Outsourced,OUT - Outsourced activity_Anodize,10000
26,Outsourced,OUT - Outsourced activity_Chromatize,10000
27,Machine,M5-04 - Haas - 5axis  - Manual (UMC750SS),24
28,Outsourced,OUT - Outsourced activity_CAM,10000
29,Outsourced,OUT - Outsourced activity_Nickel Plating,10000
30,Outsourced,OUT - Outsourced activity_External Milling Tungsten,10000
31,Outsourced,OUT - Outsourced activity_External Cleaning + RGA,10000
32,Outsourced,OUT - Outsourced activity_Anodize (clear),10000
