PN,Quantity,Work Orders/Start,Work Orders/End,Work Orders/Work Center,Work Orders/Expected Duration
[4598-008-08901B POS 1],89,2026-08-24 08:00:00,2026-08-24 12:30:00,BW_(BKW_01),267.0
[4022-637-29301],17,2026-08-24 17:40:00,2026-08-24 18:40:00,BW_(BKW_01),51.0
[4598-008-08901B POS 1],80,2026-08-24 20:00:00,2026-08-25 08:00:00,BW_(BKW_01),240.0
[4022-656-73531],86,2026-08-25 08:10:00,2026-08-25 11:10:00,BW_(BKW_01),172.0
[4022-666-3837-1],200,2026-08-25 16:20:00,2026-08-25 23:00:00,BW_(BKW_01),400.0
[4022-635-87291],315,2026-08-25 23:00:00,2026-08-26 12:20:00,BW_(BKW_01),315.0
[4022-333-58791],64,2026-08-26 12:30:00,2026-08-26 17:50:00,BW_(BKW_01),320.0
[00429-00-662-B],420,2026-08-27 08:00:00,2026-08-27 08:40:00,BW_(BKW_01),40.0
[4512-127-05186B],1000,2026-08-27 10:50:00,2026-08-28 11:30:00,BW_(BKW_01),1000.0
[M0216-01-363-B],90,2026-09-03 16:00:00,2026-09-03 19:00:00,BW_(BKW_01),180.0
[00385-00-113A],700,2026-09-04 08:00:00,2026-09-08 11:00:00,BW_(BKW_01),2100.0
[4022-666-3837-1],200,2026-09-08 11:50:00,2026-09-08 18:30:00,BW_(BKW_01),400.0
[1011113A],134,2026-09-09 08:00:00,2026-09-09 12:30:00,BW_(BKW_01),268.0
[BD50-5075-013F],20,2026-09-09 12:40:00,2026-09-09 13:20:00,BW_(BKW_01),40.0
[BD50-5075-015F],20,2026-09-09 12:40:00,2026-09-09 13:20:00,BW_(BKW_01),40.0
[BD50-5085-009-C],57,2026-09-09 13:30:00,2026-09-09 15:30:00,BW_(BKW_01),114.0
[BD50-5085-013-C],55,2026-09-11 10:40:00,2026-09-11 12:30:00,BW_(BKW_01),110.0
[BD50-5075-011-E],52,2026-09-14 16:00:00,2026-09-14 17:50:00,BW_(BKW_01),104.0
[BD50-5075-013F],50,2026-09-16 08:00:00,2026-09-16 09:40:00,BW_(BKW_01),100.0
[4022-333-11506],86,2026-09-16 12:20:00,2026-09-16 15:20:00,BW_(BKW_01),172.0
[BD50-5085-011-C],20,2026-09-16 21:40:00,2026-09-16 22:20:00,BW_(BKW_01),40.0
[BD50-5075-015F],43,2026-09-16 22:20:00,2026-09-16 23:50:00,BW_(BKW_01),86.0
[1508130 B],134,2026-09-17 16:00:00,2026-09-18 11:10:00,BW_(BKW_01),670.0
[BD50-5085-013-C],45,2026-09-18 11:20:00,2026-09-18 12:50:00,BW_(BKW_01),90.0
[00385-00-321-A],714,2026-09-22 16:00:00,2026-09-23 23:50:00,BW_(BKW_01),1428.0
[4022-333-13805],250,2026-09-29 08:00:00,2026-09-29 12:10:00,BW_(BKW_01),250.0
[4512-127-05186B],967,2026-09-30 08:00:00,2026-10-01 08:10:00,BW_(BKW_01),967.0
[BD50-5085-011-C],50,2026-10-01 08:20:00,2026-10-01 10:00:00,BW_(BKW_01),100.0
[BD50-5085-009-C],30,2026-10-01 12:30:00,2026-10-01 13:30:00,BW_(BKW_01),60.0
[4022-666-65702(R1)],524,2026-10-01 16:00:00,2026-10-01 17:50:00,BW_(BKW_01),105.0
[4022-674-35671],46,2026-10-02 15:00:00,2026-10-02 15:50:00,BW_(BKW_01),46.0
[00385-00-329-A],473,2026-10-02 16:00:00,2026-10-05 08:00:00,BW_(BKW_01),473.0
[4022-337-33842],120,2026-10-05 16:00:00,2026-10-05 16:20:00,BW_(BKW_01),12.0
[BD50-5075-011-E],44,2026-10-05 16:30:00,2026-10-05 18:00:00,BW_(BKW_01),88.0
[4022-335-19371],60,2026-10-05 18:10:00,2026-10-05 23:10:00,BW_(BKW_01),300.0
[4598-008-08901B POS 1],92,2026-10-06 08:00:00,2026-10-06 12:40:00,BW_(BKW_01),276.0
[7005-2480-0070],32,2026-10-06 23:40:00,2026-10-06 23:50:00,BW_(BKW_01),8.0
[00385-00-274-D],616,2026-10-07 08:00:00,2026-10-07 18:20:00,BW_(BKW_01),616.0
[4022-666-18121],342,2026-10-07 18:30:00,2026-10-08 14:00:00,BW_(BKW_01),684.0
[4022-631-99701],134,2026-10-08 18:40:00,2026-10-09 13:50:00,BW_(BKW_01),670.0
[E05537],100,2026-10-09 14:10:00,2026-10-09 15:50:00,BW_(BKW_01),100.0
[GF3116T006L],240,2026-10-09 16:00:00,2026-10-09 20:00:00,BW_(BKW_01),240.0
[00429-00-249-A],420,2026-10-09 23:40:00,2026-10-09 23:50:00,BW_(BKW_01),1.0
