"Product","Reference","BoM Lines/Component","BoM Lines/Component/Unit of Measure","BoM Lines/Quantity","BoM Lines/Product Unit of Measure","BoM Lines/Operations","BoM Lines/Operations/Duration"
"[BD50-5075-011-E] bracket","[BD50-5075-011-E] bracket","[5601-0000-0021] ALU 7075 T79511 hoekprofiel 20x16x1.2","mm","60.0","mm","Material prep (ZGN_02)","1.0"
"","","","","","","Milling (FR3_01)","4.0"
"","","","","","","BW - Benchwork (BKW_01)","2.0"
"","","","","","","Packaging (VERP_P)","1.0"
"","","","","","","Chromising","4500.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[BD50-5075-013F] bracket","[BD50-5075-013F] bracket","[5601-0000-0021] ALU 7075 T79511 hoekprofiel 20x16x1.2","mm","140.0","mm","Material prep (ZGN_02)","1.0"
"","","","","","","Milling (FR3_01)","6.0"
"","","","","","","BW - Benchwork (BKW_01)","2.0"
"","","","","","","Packaging (VERP_P)","1.0"
"","","","","","","Chromising","4500.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[BD50-5075-015F] bracket","[BD50-5075-015F] bracket","[5601-0000-0021] ALU 7075 T79511 hoekprofiel 20x16x1.2","mm","60.0","mm","Material prep (ZGN_02)","1.0"
"","","","","","","Milling (FR3_01)","6.0"
"","","","","","","BW - Benchwork (BKW_01)","2.0"
"","","","","","","Packaging (VERP_P)","1.0"
"","","","","","","Chromising","4500.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[BD50-5085-007-C] bracket","[BD50-5085-007-C] bracket","[5601-0000-0021] ALU 7075 T79511 hoekprofiel 20x16x1.2","mm","84.0","mm","Material prep (ZGN_02)","1.0"
"","","","","","","Milling (FR3_01)","6.0"
"","","","","","","BW - Benchwork (BKW_01)","2.0"
"","","","","","","Packaging (VERP_P)","1.0"
"","","","","","","Chromising","4500.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[BD50-5085-009-C] bracket","[BD50-5085-009-C] bracket","[5601-0000-0021] ALU 7075 T79511 hoekprofiel 20x16x1.2","mm","60.0","mm","Material prep (ZGN_02)","1.0"
"","","","","","","Milling (FR3_01)","6.0"
"","","","","","","BW - Benchwork (BKW_01)","2.0"
"","","","","","","Packaging (VERP_P)","1.0"
"","","","","","","Chromising","4500.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[BD50-5085-011-C] bracket","[BD50-5085-011-C] bracket","[5601-0000-0021] ALU 7075 T79511 hoekprofiel 20x16x1.2","mm","84.0","mm","Material prep (ZGN_02)","1.0"
"","","","","","","Milling (FR3_01)","6.0"
"","","","","","","BW - Benchwork (BKW_01)","2.0"
"","","","","","","Packaging (VERP_P)","1.0"
"","","","","","","Chromising","4500.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[1078121B] Block cooling water tmp","[1078121B] Block cooling water tmp","[5602-0000-0033] RVS 316L wgw plat 60x25","mm","53.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR5_01)","20.0"
"","","","","","","Milling (FR3_01)","3.0"
"","","","","","","BW - Benchwork (BKW_01)","3.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-335-19371] Filterhouder Ni 0.02mm","[4022-335-19371] Filterhouder Ni 0.02mm","[5604-0000-0005] MESSING CuZn40Pb3 plat 16x2","mm","91.0","mm","Material prep (ZGN_02)","1.0"
"","","","","","","Milling (FR4-01)","3.0"
"","","","","","","BW - Benchwork (BKW_01)","5.0"
"","","","","","","Packaging (VERP_P)","1.0166666666666666"
