BufferName,BufferID,Machine,Time,No.Items
Central_Output,,Central Inventory,0,17
Central_Output,,Central Inventory,0,17
Central_Output,,Central Inventory,0,63
Central_Output,,Central Inventory,0,63
Central_Output,,Central Inventory,0,143
Central_Output,,Central Inventory,0,143
Central_Output,,Central Inventory,0,167
Central_Output,,Central Inventory,0,167
Central_Output,,Central Inventory,0,259
Central_Output,,Central Inventory,0,259
Central_Output,,Central Inventory,481,242
Central_Output,,Central Inventory,481,162
Central_Output,,Central Inventory,481,70
Central_Output,,Central Inventory,482,24
BW_(BKW_01)_Input,,BW_(BKW_01),483,17
BW_(BKW_01)_Input,,BW_(BKW_01),483,97
BW_(BKW_01)_Input,,BW_(BKW_01),483,189
OUT - Outsourced activity_(OUT - Outsourced)_Input,,OUT - Outsourced activity_(OUT - Outsourced),484,46
Central_Output,,Central Inventory,486,0
BW_(BKW_01)_Input,,BW_(BKW_01),487,109
OUT - Outsourced activity_(OUT - Outsourced)_Input,,OUT - Outsourced activity_(OUT - Outsourced),488,0
OUT - Outsourced activity_(OUT - Outsourced)_Input,,OUT - Outsourced activity_(OUT - Outsourced),488,24
OUT - Outsourced activity_(OUT - Outsourced)_Input,,OUT - Outsourced activity_(OUT - Outsourced),492,0
BW_(BKW_01)_Output,,BW_(BKW_01),727,80
BW_(BKW_01)_Output,,BW_(BKW_01),729,0
BW_(BKW_01)_Input,,BW_(BKW_01),731,92
OUT - Outsourced activity_(OUT - Outsourced)_Input,,OUT - Outsourced activity_(OUT - Outsourced),731,80
OUT - Outsourced activity_(OUT - Outsourced)_Input,,OUT - Outsourced activity_(OUT - Outsourced),735,0
BW_(BKW_01)_Output,,BW_(BKW_01),782,17
BW_(BKW_01)_Input,,BW_(BKW_01),786,0
BW_(BKW_01)_Output,,BW_(BKW_01),786,0
PACK_(VERP_P)_Input,,PACK_(VERP_P),788,17
PACK_(VERP_P)_Input,,PACK_(VERP_P),792,0
PACK_(VERP_P)_Output,,PACK_(VERP_P),809,17
PACK_(VERP_P)_Output,,PACK_(VERP_P),811,0
Central_Input,,Central Inventory,813,17
BW_(BKW_01)_Output,,BW_(BKW_01),1066,92
BW_(BKW_01)_Output,,BW_(BKW_01),1070,0
PACK_(VERP_P)_Input,,PACK_(VERP_P),1072,92
PACK_(VERP_P)_Input,,PACK_(VERP_P),1076,0
PACK_(VERP_P)_Output,,PACK_(VERP_P),1168,92
PACK_(VERP_P)_Output,,PACK_(VERP_P),1170,0
Central_Input,,Central Inventory,1172,109
OUT - Outsourced activity_(OUT - Outsourced)_Output,,OUT - Outsourced activity_(OUT - Outsourced),5623,46
OUT - Outsourced activity_(OUT - Outsourced)_Output,,OUT - Outsourced activity_(OUT - Outsourced),5627,0
PACK_(VERP_P)_Input,,PACK_(VERP_P),5629,46
PACK_(VERP_P)_Input,,PACK_(VERP_P),5633,0
PACK_(VERP_P)_Output,,PACK_(VERP_P),5679,46
PACK_(VERP_P)_Output,,PACK_(VERP_P),5681,0
Central_Input,,Central Inventory,5683,155
OUT - Outsourced activity_(OUT - Outsourced)_Output,,OUT - Outsourced activity_(OUT - Outsourced),15273,24
OUT - Outsourced activity_(OUT - Outsourced)_Output,,OUT - Outsourced activity_(OUT - Outsourced),15277,0
Central_Input,,Central Inventory,15279,179
OUT - Outsourced activity_(OUT - Outsourced)_Output,,OUT - Outsourced activity_(OUT - Outsourced),15531,80
OUT - Outsourced activity_(OUT - Outsourced)_Output,,OUT - Outsourced activity_(OUT - Outsourced),15535,0
PACK_(VERP_P)_Input,,PACK_(VERP_P),15537,80
PACK_(VERP_P)_Input,,PACK_(VERP_P),15541,0
PACK_(VERP_P)_Output,,PACK_(VERP_P),15621,80
PACK_(VERP_P)_Output,,PACK_(VERP_P),15623,0
Central_Input,,Central Inventory,15625,259
