EventName,EventID,ProgressSteps,Items,Resource,Equipment,Location
Trailer Loading,1,3360-3361,1~2~3~4~5~6~7~8~9~10~11~12~13~14~15~16~17~18~19~20~21~22~23~24~25,Operator 1,Trailer_60,CentralBuffer_Location
Trailer Transport,3,3361-3362,1~2~3~4~5~6~7~8~9~10~11~12~13~14~15~16~17~18~19~20~21~22~23~24~25,Operator 1,Trailer_60,Trailer_60
Trailer Loading,2,3362-3363,26~27~28~29~30~31~32~33~34~35~36~37~38~39~40~41~42,Operator 2,Trailer_61,CentralBuffer_Location
Trailer Unloading,4,3362-3363,1~2~3~4~5~6~7~8~9~10~11~12~13~14~15~16~17~18~19~20~21~22~23~24~25,Operator 1,Trailer_60,BW_(BKW_01)_Location
Trailer Transport,5,3363-3364,26~27~28~29~30~31~32~33~34~35~36~37~38~39~40~41~42,Operator 2,Trailer_61,Trailer_61
Machine Setup,6,3364-3365,1~2~3~4~5~6~7~8~9~10~11~12~13~14~15~16~17~18~19~20~21~22~23~24~25,Operator 1,BW_(BKW_01),BW_(BKW_01)_Location
Trailer Unloading,7,3364-3365,26~27~28~29~30~31~32~33~34~35~36~37~38~39~40~41~42,Operator 2,Trailer_61,BW_(BKW_01)_Location
Machine Loading,8,3366-3367,1~2~3~4~5~6~7~8~9~10~11~12~13~14~15~16~17~18~19~20~21~22~23~24~25,Operator 1,BW_(BKW_01),BW_(BKW_01)_Location
Machine Processing,9,3366-3490.0~3490-3491,1~2~3~4~5~6~7~8~9~10~11~12~13~14~15~16~17~18~19~20~21~22~23~24~25,BW_(BKW_01),BW_(BKW_01),BW_(BKW_01)_Location
Machine Unloading,10,3490-3491,1~2~3~4~5~6~7~8~9~10~11~12~13~14~15~16~17~18~19~20~21~22~23~24~25,Operator 1,BW_(BKW_01),BW_(BKW_01)_Location
Trailer Loading,11,3492-3493,1~2~3~4~5~6~7~8~9~10~11~12~13~14~15~16~17~18~19~20~21~22~23~24~25,Operator 1,Trailer_60,BW_(BKW_01)_Location
Machine Setup,12,3493-3494,26~27~28~29~30~31~32~33~34~35~36~37~38~39~40~41~42,Operator 2,BW_(BKW_01),BW_(BKW_01)_Location
Trailer Transport,13,3493-3494,1~2~3~4~5~6~7~8~9~10~11~12~13~14~15~16~17~18~19~20~21~22~23~24~25,Operator 1,Trailer_60,Trailer_60
Trailer Unloading,15,3494-3495,1~2~3~4~5~6~7~8~9~10~11~12~13~14~15~16~17~18~19~20~21~22~23~24~25,Operator 1,Trailer_60,PACK_(VERP_P)_Location
Machine Loading,14,3495-3496,26~27~28~29~30~31~32~33~34~35~36~37~38~39~40~41~42,Operator 2,BW_(BKW_01),BW_(BKW_01)_Location
Machine Setup,16,3496-3497,1~2~3~4~5~6~7~8~9~10~11~12~13~14~15~16~17~18~19~20~21~22~23~24~25,Operator 1,PACK_(VERP_P),PACK_(VERP_P)_Location
Machine Loading,19,3498-3499,1~2~3~4~5~6~7~8~9~10~11~12~13~14~15~16~17~18~19~20~21~22~23~24~25,Operator 1,PACK_(VERP_P),PACK_(VERP_P)_Location
Machine Processing,20,3498-3522.0~3522-3523,1~2~3~4~5~6~7~8~9~10~11~12~13~14~15~16~17~18~19~20~21~22~23~24~25,PACK_(VERP_P),PACK_(VERP_P),PACK_(VERP_P)_Location
Machine Unloading,21,3522-3523,1~2~3~4~5~6~7~8~9~10~11~12~13~14~15~16~17~18~19~20~21~22~23~24~25,Operator 1,PACK_(VERP_P),PACK_(VERP_P)_Location
Trailer Loading,22,3524-3525,1~2~3~4~5~6~7~8~9~10~11~12~13~14~15~16~17~18~19~20~21~22~23~24~25,Operator 1,Trailer_60,PACK_(VERP_P)_Location
Trailer Transport,23,3525-3526,1~2~3~4~5~6~7~8~9~10~11~12~13~14~15~16~17~18~19~20~21~22~23~24~25,Operator 1,Trailer_60,Trailer_60
Trailer Unloading,24,3526-3527,1~2~3~4~5~6~7~8~9~10~11~12~13~14~15~16~17~18~19~20~21~22~23~24~25,Operator 1,Trailer_60,CentralBuffer_Location
Machine Processing,17,3495-3545.0~3545-3546,26~27~28~29~30~31~32~33~34~35~36~37~38~39~40~41~42,BW_(BKW_01),BW_(BKW_01),BW_(BKW_01)_Location
Machine Unloading,18,3545-3546,26~27~28~29~30~31~32~33~34~35~36~37~38~39~40~41~42,Operator 1,BW_(BKW_01),BW_(BKW_01)_Location
Trailer Loading,25,3547-3548,26~27~28~29~30~31~32~33~34~35~36~37~38~39~40~41~42,Operator 1,Trailer_60,BW_(BKW_01)_Location
Trailer Transport,26,3548-3549,26~27~28~29~30~31~32~33~34~35~36~37~38~39~40~41~42,Operator 1,Trailer_60,Trailer_60
Trailer Unloading,27,3549-3550,26~27~28~29~30~31~32~33~34~35~36~37~38~39~40~41~42,Operator 1,Trailer_60,PACK_(VERP_P)_Location
Machine Setup,28,3551-3552,26~27~28~29~30~31~32~33~34~35~36~37~38~39~40~41~42,Operator 1,PACK_(VERP_P),PACK_(VERP_P)_Location
Machine Loading,29,3553-3554,26~27~28~29~30~31~32~33~34~35~36~37~38~39~40~41~42,Operator 1,PACK_(VERP_P),PACK_(VERP_P)_Location
Machine Processing,30,3553-3569.0~3569-3570,26~27~28~29~30~31~32~33~34~35~36~37~38~39~40~41~42,PACK_(VERP_P),PACK_(VERP_P),PACK_(VERP_P)_Location
Machine Unloading,31,3569-3570,26~27~28~29~30~31~32~33~34~35~36~37~38~39~40~41~42,Operator 1,PACK_(VERP_P),PACK_(VERP_P)_Location
Trailer Loading,32,3571-3572,26~27~28~29~30~31~32~33~34~35~36~37~38~39~40~41~42,Operator 1,Trailer_60,PACK_(VERP_P)_Location
Trailer Transport,33,3572-3573,26~27~28~29~30~31~32~33~34~35~36~37~38~39~40~41~42,Operator 1,Trailer_60,Trailer_60
Trailer Unloading,34,3573-3574,26~27~28~29~30~31~32~33~34~35~36~37~38~39~40~41~42,Operator 1,Trailer_60,CentralBuffer_Location
