ShipmentBatch,ShipmentType,Arrival Date,Priority,Weight,Destination
0,Bag,2026-09-18,3,12,4
0,Bag,2026-09-18,3,14,11
0,Bag,2026-09-18,2,13,2
0,Bag,2026-09-18,2,11,2
0,Bag,2026-09-18,3,14,8
0,Box,2026-09-18,3,32,13
0,Bag,2026-09-18,2,10,14
0,Box,2026-09-18,2,28,12
0,Box,2026-09-18,3,34,9
0,Box,2026-09-18,3,26,0
0,Box,2026-09-18,3,37,11
0,Box,2026-09-18,3,25,10
0,Box,2026-09-18,1,33,1
0,Box,2026-09-18,3,38,10
0,Box,2026-09-18,3,36,7
0,Box,2026-09-18,1,36,4
0,Box,2026-09-18,3,30,14
0,Bag,2026-09-18,1,14,13
0,Box,2026-09-18,3,31,1
0,Bag,2026-09-18,3,12,1
0,Bag,2026-09-18,3,13,13
0,Bag,2026-09-18,3,14,4
1,Box,2026-09-18,3,28,14
1,Bag,2026-09-18,3,11,12
1,Box,2026-09-18,3,27,10
1,Bag,2026-09-18,3,11,11
1,Bag,2026-09-18,3,14,9
1,Box,2026-09-18,3,31,11
1,Bag,2026-09-18,1,13,14
1,Bag,2026-09-18,1,12,1
1,Bag,2026-09-18,1,13,0
1,Box,2026-09-18,3,35,14
1,Box,2026-09-18,3,32,14
1,Box,2026-09-18,3,25,12
1,Bag,2026-09-18,3,11,12
1,Box,2026-09-18,3,37,13
1,Box,2026-09-18,3,36,13
1,Bag,2026-09-18,3,10,0
1,Bag,2026-09-18,2,11,3
1,Bag,2026-09-18,3,13,2
1,Box,2026-09-18,3,31,4
1,Bag,2026-09-18,3,13,14
1,Bag,2026-09-18,3,13,11
1,Box,2026-09-18,3,29,4
1,Box,2026-09-18,1,25,4
1,Bag,2026-09-18,1,13,0
1,Bag,2026-09-18,3,14,14
2,Box,2026-09-18,3,27,13
2,Bag,2026-09-18,3,10,14
2,Box,2026-09-18,3,35,1
2,Bag,2026-09-18,2,14,14
2,Bag,2026-09-18,3,13,13
2,Bag,2026-09-18,1,12,0
2,Bag,2026-09-18,2,13,3
2,Box,2026-09-18,3,34,7
2,Box,2026-09-18,1,30,12
2,Box,2026-09-18,2,32,14
2,Bag,2026-09-18,3,14,14
2,Bag,2026-09-18,3,12,4
2,Bag,2026-09-18,3,10,12
2,Bag,2026-09-18,3,11,4
2,Bag,2026-09-18,2,10,0
2,Bag,2026-09-18,3,12,14
2,Box,2026-09-18,3,31,14
2,Box,2026-09-18,2,35,5
2,Bag,2026-09-18,3,12,12
2,Box,2026-09-18,2,29,4
2,Box,2026-09-18,3,28,4
2,Bag,2026-09-18,3,14,14
2,Bag,2026-09-18,3,13,14
2,Box,2026-09-18,2,25,10
2,Bag,2026-09-18,2,10,4
2,Bag,2026-09-18,3,13,12
2,Box,2026-09-18,3,34,10
3,Bag,2026-09-18,3,14,1
3,Box,2026-09-18,3,36,1
3,Box,2026-09-18,1,28,4
3,Box,2026-09-18,2,32,4
3,Box,2026-09-18,3,38,13
3,Bag,2026-09-18,3,14,10
3,Box,2026-09-18,2,30,4
3,Bag,2026-09-18,3,14,14
3,Bag,2026-09-18,2,11,1
3,Bag,2026-09-18,2,12,1
3,Bag,2026-09-18,3,10,12
3,Bag,2026-09-18,1,13,12
3,Box,2026-09-18,3,25,11
3,Bag,2026-09-18,3,14,12
3,Bag,2026-09-18,3,13,9
3,Bag,2026-09-18,3,13,0
3,Box,2026-09-18,2,37,9
3,Box,2026-09-18,3,37,10
3,Bag,2026-09-18,2,13,0
3,Box,2026-09-18,2,37,12
3,Bag,2026-09-18,3,11,7
3,Bag,2026-09-18,2,13,14
3,Bag,2026-09-18,1,14,14
3,Box,2026-09-18,3,26,1
4,Bag,2026-09-18,3,14,14
4,Bag,2026-09-18,3,13,1
4,Box,2026-09-18,2,33,4
4,Box,2026-09-18,2,36,9
4,Box,2026-09-18,3,28,14
4,Bag,2026-09-18,3,12,11
4,Bag,2026-09-18,3,13,14
4,Box,2026-09-18,2,38,4
4,Bag,2026-09-18,2,11,10
4,Box,2026-09-18,2,26,0
4,Bag,2026-09-18,2,13,10
4,Bag,2026-09-18,2,13,11
4,Bag,2026-09-18,2,11,13
4,Bag,2026-09-18,3,10,12
4,Bag,2026-09-18,1,10,11
4,Box,2026-09-18,3,32,14
4,Bag,2026-09-18,3,13,13
4,Box,2026-09-18,2,31,1
4,Bag,2026-09-18,2,10,9
4,Bag,2026-09-18,3,14,12
4,Box,2026-09-18,3,26,2
4,Box,2026-09-18,3,39,10
4,Box,2026-09-18,3,28,9
4,Box,2026-09-18,1,35,12
5,Box,2026-09-18,3,28,11
5,Bag,2026-09-18,2,14,3
5,Box,2026-09-18,3,26,14
5,Bag,2026-09-18,3,10,9
5,Bag,2026-09-18,3,14,4
5,Bag,2026-09-18,2,14,10
5,Box,2026-09-18,3,36,8
5,Box,2026-09-18,3,36,12
5,Box,2026-09-18,3,32,2
5,Bag,2026-09-18,3,10,4
5,Bag,2026-09-18,1,14,1
5,Bag,2026-09-18,3,14,13
5,Box,2026-09-18,3,30,4
5,Box,2026-09-18,1,38,12
5,Bag,2026-09-18,3,10,11
5,Bag,2026-09-18,3,13,6
5,Bag,2026-09-18,3,11,14
5,Bag,2026-09-18,3,14,11
5,Box,2026-09-18,3,38,4
5,Box,2026-09-18,1,25,14
5,Bag,2026-09-18,3,10,14
5,Box,2026-09-18,3,38,9
5,Box,2026-09-18,3,31,14
6,Bag,2026-09-18,2,12,10
6,Bag,2026-09-18,3,13,10
6,Bag,2026-09-18,3,13,0
6,Box,2026-09-18,3,36,14
6,Bag,2026-09-18,3,13,13
6,Bag,2026-09-18,1,14,9
6,Bag,2026-09-18,1,14,10
6,Bag,2026-09-18,3,13,8
6,Bag,2026-09-18,3,13,14
6,Box,2026-09-18,3,29,10
6,Bag,2026-09-18,1,12,12
6,Bag,2026-09-18,2,11,14
6,Bag,2026-09-18,2,11,4
6,Bag,2026-09-18,1,12,11
6,Bag,2026-09-18,3,13,11
6,Bag,2026-09-18,2,14,12
6,Bag,2026-09-18,3,13,7
6,Box,2026-09-18,3,32,14
6,Bag,2026-09-18,1,13,12
6,Bag,2026-09-18,3,14,0
6,Bag,2026-09-18,2,10,10
6,Box,2026-09-18,3,36,1
6,Bag,2026-09-18,3,10,1
6,Box,2026-09-18,1,39,0
6,Bag,2026-09-18,3,12,12
6,Box,2026-09-18,2,37,1
6,Bag,2026-09-18,2,11,11
6,Bag,2026-09-18,2,10,0
6,Bag,2026-09-18,3,11,10
6,Bag,2026-09-18,3,12,0
7,Box,2026-09-18,1,25,12
7,Bag,2026-09-18,3,11,14
7,Bag,2026-09-18,2,10,9
7,Box,2026-09-18,3,39,14
7,Box,2026-09-18,2,38,0
7,Box,2026-09-18,3,26,14
7,Box,2026-09-18,3,30,1
7,Bag,2026-09-18,3,11,14
7,Box,2026-09-18,3,34,0
7,Box,2026-09-18,2,36,10
7,Bag,2026-09-18,3,10,7
7,Bag,2026-09-18,3,12,11
7,Bag,2026-09-18,2,11,13
7,Box,2026-09-18,3,34,14
7,Bag,2026-09-18,3,12,1
7,Box,2026-09-18,1,36,12
7,Bag,2026-09-18,3,10,6
7,Bag,2026-09-18,3,12,2
7,Bag,2026-09-18,3,12,12
7,Bag,2026-09-18,3,11,0
7,Bag,2026-09-18,1,12,10
7,Bag,2026-09-18,3,13,0
7,Bag,2026-09-18,3,10,7
7,Box,2026-09-18,3,33,4
7,Box,2026-09-18,3,26,14
8,Box,2026-09-18,3,38,12
8,Box,2026-09-18,3,39,4
8,Bag,2026-09-18,1,11,11
8,Box,2026-09-18,3,29,4
8,Bag,2026-09-18,2,13,0
8,Box,2026-09-18,3,31,12
8,Bag,2026-09-18,3,11,9
8,Bag,2026-09-18,2,12,13
8,Box,2026-09-18,3,37,14
8,Bag,2026-09-18,3,14,13
8,Bag,2026-09-18,3,11,1
8,Box,2026-09-18,2,38,14
8,Box,2026-09-18,3,34,7
8,Bag,2026-09-18,3,10,9
8,Bag,2026-09-18,3,12,11
8,Bag,2026-09-18,2,10,7
8,Bag,2026-09-18,3,14,12
8,Bag,2026-09-18,3,14,13
8,Box,2026-09-18,3,33,13
8,Bag,2026-09-18,3,14,11
8,Box,2026-09-18,3,35,12
8,Box,2026-09-18,3,34,7
8,Box,2026-09-18,3,38,13
9,Box,2026-09-18,3,32,2
9,Box,2026-09-18,3,31,14
9,Bag,2026-09-18,2,12,1
9,Box,2026-09-18,3,30,4
9,Bag,2026-09-18,3,13,12
9,Bag,2026-09-18,3,10,14
9,Bag,2026-09-18,3,14,4
9,Bag,2026-09-18,3,14,4
9,Bag,2026-09-18,2,11,9
9,Bag,2026-09-18,3,14,10
9,Bag,2026-09-18,1,10,4
9,Box,2026-09-18,3,27,11
9,Box,2026-09-18,1,35,12
9,Box,2026-09-18,3,38,1
9,Box,2026-09-18,3,31,0
9,Box,2026-09-18,3,35,14
9,Box,2026-09-18,3,29,10
9,Box,2026-09-18,3,30,2
9,Bag,2026-09-18,3,14,10
9,Bag,2026-09-18,2,12,11
9,Bag,2026-09-18,1,13,10
9,Bag,2026-09-18,3,12,14
9,Box,2026-09-18,2,26,13
9,Box,2026-09-18,3,31,1
10,Box,2026-09-18,3,31,13
10,Bag,2026-09-18,3,10,13
10,Bag,2026-09-18,2,12,11
10,Box,2026-09-18,3,29,4
10,Bag,2026-09-18,3,10,10
10,Bag,2026-09-18,3,11,14
10,Box,2026-09-18,3,30,6
10,Bag,2026-09-18,2,13,7
10,Bag,2026-09-18,2,13,4
10,Bag,2026-09-18,1,12,3
10,Bag,2026-09-18,2,11,12
10,Bag,2026-09-18,3,11,12
10,Box,2026-09-18,3,37,12
10,Bag,2026-09-18,2,11,10
10,Bag,2026-09-18,2,12,14
10,Box,2026-09-18,3,30,0
10,Bag,2026-09-18,3,10,13
10,Box,2026-09-18,3,25,3
10,Box,2026-09-18,3,36,9
10,Bag,2026-09-18,3,10,0
10,Bag,2026-09-18,2,13,4
10,Box,2026-09-18,3,32,0
10,Box,2026-09-18,3,30,14
10,Bag,2026-09-18,1,12,14
10,Box,2026-09-18,3,25,0
10,Bag,2026-09-18,3,13,2
10,Box,2026-09-18,2,30,5
11,Box,2026-09-18,3,29,14
11,Box,2026-09-18,3,29,12
11,Bag,2026-09-18,1,12,11
11,Box,2026-09-18,2,33,0
11,Bag,2026-09-18,3,14,9
11,Box,2026-09-18,3,30,10
11,Box,2026-09-18,3,32,7
11,Bag,2026-09-18,3,13,4
11,Bag,2026-09-18,3,13,11
11,Bag,2026-09-18,1,13,11
11,Box,2026-09-18,3,27,13
11,Bag,2026-09-18,1,11,8
11,Bag,2026-09-18,3,10,4
11,Box,2026-09-18,3,27,14
11,Box,2026-09-18,3,39,9
11,Box,2026-09-18,3,38,12
11,Box,2026-09-18,3,25,14
11,Bag,2026-09-18,3,10,9
11,Box,2026-09-18,1,33,9
11,Bag,2026-09-18,3,13,0
11,Box,2026-09-18,3,34,1
11,Bag,2026-09-18,2,14,9
11,Bag,2026-09-18,3,11,12
12,Bag,2026-09-18,2,12,14
12,Bag,2026-09-18,3,13,4
12,Box,2026-09-18,3,26,7
12,Box,2026-09-18,3,29,14
12,Box,2026-09-18,3,39,4
12,Bag,2026-09-18,3,12,12
12,Box,2026-09-18,3,35,1
12,Bag,2026-09-18,3,10,0
12,Bag,2026-09-18,2,10,4
12,Bag,2026-09-18,1,12,13
12,Box,2026-09-18,3,37,7
12,Box,2026-09-18,3,33,0
12,Bag,2026-09-18,3,13,7
12,Bag,2026-09-18,2,14,10
12,Bag,2026-09-18,3,10,4
12,Box,2026-09-18,3,35,1
12,Box,2026-09-18,3,34,12
12,Bag,2026-09-18,3,10,1
12,Bag,2026-09-18,1,12,13
12,Bag,2026-09-18,3,14,1
12,Bag,2026-09-18,2,12,7
12,Bag,2026-09-18,3,10,1
12,Bag,2026-09-18,2,14,4
12,Bag,2026-09-18,3,13,14
12,Box,2026-09-18,3,39,12
12,Bag,2026-09-18,3,10,2
13,Bag,2026-09-18,1,14,8
13,Bag,2026-09-18,3,12,13
13,Bag,2026-09-18,2,11,7
13,Box,2026-09-18,2,35,4
13,Bag,2026-09-18,3,13,7
13,Bag,2026-09-18,3,13,13
13,Box,2026-09-18,3,34,12
13,Bag,2026-09-18,3,11,2
13,Bag,2026-09-18,1,10,0
13,Bag,2026-09-18,1,12,6
13,Bag,2026-09-18,2,13,0
13,Box,2026-09-18,2,28,14
13,Bag,2026-09-18,1,10,12
13,Box,2026-09-18,2,34,14
13,Bag,2026-09-18,3,11,13
13,Bag,2026-09-18,3,14,1
13,Bag,2026-09-18,1,13,0
13,Bag,2026-09-18,3,12,12
13,Bag,2026-09-18,3,14,12
13,Bag,2026-09-18,3,13,9
13,Box,2026-09-18,3,35,7
13,Box,2026-09-18,3,38,12
13,Bag,2026-09-18,3,10,14
13,Bag,2026-09-18,3,13,4
13,Bag,2026-09-18,2,13,12
13,Bag,2026-09-18,3,14,14
13,Bag,2026-09-18,3,10,13
13,Box,2026-09-18,3,27,10
13,Box,2026-09-18,3,32,12
14,Box,2026-09-18,3,35,13
14,Box,2026-09-18,3,34,12
14,Box,2026-09-18,3,37,14
14,Bag,2026-09-18,3,14,8
14,Box,2026-09-18,3,26,12
14,Box,2026-09-18,3,27,14
14,Bag,2026-09-18,3,10,7
14,Bag,2026-09-18,3,12,14
14,Bag,2026-09-18,2,10,12
14,Bag,2026-09-18,2,12,1
14,Box,2026-09-18,3,35,14
14,Bag,2026-09-18,3,13,0
14,Bag,2026-09-18,3,12,10
14,Box,2026-09-18,2,34,2
14,Bag,2026-09-18,2,11,4
14,Bag,2026-09-18,3,11,1
14,Bag,2026-09-18,2,12,6
14,Box,2026-09-18,1,37,1
14,Box,2026-09-18,1,29,1
14,Bag,2026-09-18,3,14,12
14,Box,2026-09-18,2,31,4
14,Box,2026-09-18,3,27,0
14,Bag,2026-09-18,3,11,0
14,Bag,2026-09-18,3,10,11
15,Box,2026-09-18,2,31,14
15,Box,2026-09-18,3,32,11
15,Bag,2026-09-18,3,14,11
15,Bag,2026-09-18,3,14,4
15,Bag,2026-09-18,3,13,14
15,Bag,2026-09-18,3,10,0
15,Box,2026-09-18,3,38,2
15,Bag,2026-09-18,3,12,6
15,Box,2026-09-18,1,27,14
15,Bag,2026-09-18,3,10,9
15,Bag,2026-09-18,1,10,12
15,Box,2026-09-18,3,28,12
15,Bag,2026-09-18,2,11,2
15,Bag,2026-09-18,3,12,1
15,Box,2026-09-18,3,35,12
15,Box,2026-09-18,3,28,0
15,Bag,2026-09-18,3,11,9
15,Box,2026-09-18,3,35,0
15,Box,2026-09-18,3,28,13
15,Bag,2026-09-18,3,10,2
15,Box,2026-09-18,3,32,13
15,Bag,2026-09-18,3,11,0
15,Bag,2026-09-18,3,13,11
15,Bag,2026-09-18,1,10,10
15,Box,2026-09-18,3,36,0
16,Bag,2026-09-18,3,12,1
16,Box,2026-09-18,1,26,12
16,Box,2026-09-18,3,29,10
16,Box,2026-09-18,3,27,7
16,Box,2026-09-18,3,30,10
16,Box,2026-09-18,3,30,7
16,Bag,2026-09-18,2,10,0
16,Bag,2026-09-18,3,13,4
16,Box,2026-09-18,3,32,13
16,Bag,2026-09-18,3,14,10
16,Bag,2026-09-18,3,12,0
16,Bag,2026-09-18,3,12,11
16,Bag,2026-09-18,3,11,3
16,Bag,2026-09-18,1,11,12
16,Bag,2026-09-18,3,14,12
16,Box,2026-09-18,2,33,13
16,Bag,2026-09-18,3,11,4
16,Box,2026-09-18,1,39,0
16,Bag,2026-09-18,1,10,11
16,Box,2026-09-18,3,29,4
16,Bag,2026-09-18,3,11,14
16,Bag,2026-09-18,2,13,0
16,Bag,2026-09-18,3,10,10
16,Bag,2026-09-18,3,14,0
16,Bag,2026-09-18,2,10,14
16,Box,2026-09-18,3,25,4
16,Bag,2026-09-18,3,13,0
17,Box,2026-09-18,3,27,4
17,Bag,2026-09-18,3,13,12
17,Bag,2026-09-18,3,11,12
17,Bag,2026-09-18,3,14,1
17,Box,2026-09-18,2,26,12
17,Bag,2026-09-18,1,10,13
17,Bag,2026-09-18,2,11,13
17,Bag,2026-09-18,3,14,14
17,Box,2026-09-18,2,36,9
17,Box,2026-09-18,1,39,14
17,Bag,2026-09-18,3,14,4
17,Box,2026-09-18,3,39,4
17,Bag,2026-09-18,3,13,1
17,Box,2026-09-18,3,28,1
17,Bag,2026-09-18,3,13,4
17,Bag,2026-09-18,3,12,9
17,Box,2026-09-18,2,33,0
17,Bag,2026-09-18,3,14,7
17,Bag,2026-09-18,3,13,1
17,Box,2026-09-18,3,39,12
17,Bag,2026-09-18,1,11,11
17,Box,2026-09-18,2,34,13
17,Bag,2026-09-18,1,11,12
17,Bag,2026-09-18,2,14,2
17,Bag,2026-09-18,1,11,14
18,Bag,2026-09-18,3,14,6
18,Bag,2026-09-18,1,13,9
18,Bag,2026-09-18,1,10,13
18,Bag,2026-09-18,3,11,12
18,Bag,2026-09-18,3,11,11
18,Box,2026-09-18,3,36,0
18,Bag,2026-09-18,1,10,6
18,Bag,2026-09-18,3,10,11
18,Bag,2026-09-18,3,13,1
18,Bag,2026-09-18,2,10,1
18,Bag,2026-09-18,3,13,1
18,Box,2026-09-18,3,37,11
18,Box,2026-09-18,3,39,2
18,Bag,2026-09-18,3,13,7
18,Bag,2026-09-18,3,10,12
18,Bag,2026-09-18,1,10,0
18,Box,2026-09-18,3,38,8
18,Bag,2026-09-18,1,14,12
18,Box,2026-09-18,3,26,10
18,Box,2026-09-18,3,37,4
18,Bag,2026-09-18,1,14,9
18,Bag,2026-09-18,3,14,13
18,Bag,2026-09-18,2,10,1
18,Box,2026-09-18,3,34,12
18,Bag,2026-09-18,3,13,9
18,Bag,2026-09-18,3,10,12
18,Box,2026-09-18,2,27,0
18,Box,2026-09-18,3,32,12
19,Bag,2026-09-18,2,12,14
19,Bag,2026-09-18,3,14,14
19,Box,2026-09-18,3,37,0
19,Bag,2026-09-18,3,11,13
19,Bag,2026-09-18,2,12,11
19,Box,2026-09-18,3,25,12
19,Bag,2026-09-18,3,13,4
19,Bag,2026-09-18,3,11,1
19,Box,2026-09-18,3,28,4
19,Box,2026-09-18,3,31,5
19,Box,2026-09-18,3,39,9
19,Bag,2026-09-18,3,13,13
19,Bag,2026-09-18,3,12,2
19,Bag,2026-09-18,3,14,4
19,Bag,2026-09-18,2,10,12
19,Bag,2026-09-18,3,12,0
19,Bag,2026-09-18,2,13,4
19,Box,2026-09-18,3,36,0
19,Box,2026-09-18,1,36,0
19,Bag,2026-09-18,3,12,11
19,Bag,2026-09-18,2,13,12
19,Bag,2026-09-18,1,12,14
19,Box,2026-09-18,3,29,4
19,Box,2026-09-18,3,36,9
19,Bag,2026-09-18,1,13,10
19,Bag,2026-09-18,3,10,4
