PN,Quantity,Work Orders/Start,Work Orders/End,Work Orders/Work Center,Work Orders/Expected Duration
[4022-666-65702(R1)],524,2026-08-24 08:00:00,2026-08-24 11:20:00,M3-01_(FR3_01),195.0
[4022-637-32081],20,2026-08-24 11:30:00,2026-08-24 15:40:00,M3-01_(FR3_01),250.0
[4022-455-09997-3],40,2026-08-24 17:00:00,2026-08-24 19:10:00,M3-01_(FR3_01),130.0
[4023-001-43251B],15,2026-08-24 19:20:00,2026-08-24 22:50:00,M3-01_(FR3_01),210.0
[4022-635-87291],315,2026-08-25 10:00:00,2026-08-25 16:50:00,M3-01_(FR3_01),405.0
[4022-671-49061],54,2026-08-25 17:00:00,2026-08-26 11:30:00,M3-01_(FR3_01),630.0
[4023-002-16111],10,2026-08-26 11:40:00,2026-08-26 13:10:00,M3-01_(FR3_01),90.0
[4022-451-22801B],6,2026-08-26 11:40:00,2026-08-26 13:10:00,M3-01_(FR3_01),90.0
[00429-00-662-B],400,2026-08-26 13:20:00,2026-08-26 16:30:00,M3-01_(FR3_01),190.0
[7001-2580-0023],10,2026-08-26 16:40:00,2026-08-27 13:00:00,M3-01_(FR3_01),740.0
[7001-2580-0002],20,2026-08-27 14:20:00,2026-08-27 15:50:00,M3-01_(FR3_01),90.0
[4022-671-49061],108,2026-08-27 16:00:00,2026-08-28 19:30:00,M3-01_(FR3_01),1170.0
[4022-671-49061],152,2026-08-28 21:00:00,2026-09-01 15:50:00,M3-01_(FR3_01),1610.0
[4022-337-33842],120,2026-09-01 16:00:00,2026-09-01 18:10:00,M3-01_(FR3_01),122.0
[4022-333-11506],86,2026-09-01 18:20:00,2026-09-01 21:20:00,M3-01_(FR3_01),176.0
[4022.737.00811/AA],3,2026-09-01 21:30:00,2026-09-01 23:00:00,M3-01_(FR3_01),90.0
[7001-2580-0023],10,2026-09-01 23:10:00,2026-09-03 15:30:00,M3-01_(FR3_01),1460.0
[4022-671-49061],108,2026-09-03 18:00:00,2026-09-04 12:30:00,M3-01_(FR3_01),630.0
[4022-666-3837-1],200,2026-09-04 14:00:00,2026-09-07 16:10:00,M3-01_(FR3_01),1090.0
[4022-666-3837-1],200,2026-09-07 16:20:00,2026-09-08 11:50:00,M3-01_(FR3_01),690.0
[BD50-5075-013F],20,2026-09-08 12:00:00,2026-09-08 15:30:00,M3-01_(FR3_01),210.0
[4022-671-49061],54,2026-09-08 16:00:00,2026-09-08 22:00:00,M3-01_(FR3_01),360.0
[BD50-5085-009-C],57,2026-09-08 22:10:00,2026-09-09 13:30:00,M3-01_(FR3_01),432.0
[4022-674-35671],46,2026-09-09 16:00:00,2026-09-10 13:00:00,M3-01_(FR3_01),780.0
[BD50-5085-013-C],55,2026-09-10 13:10:00,2026-09-10 20:10:00,M3-01_(FR3_01),420.0
[00002033- 04],3,2026-09-10 20:20:00,2026-09-10 21:50:00,M3-01_(FR3_01),90.0
[4022.622.19821],5,2026-09-10 20:20:00,2026-09-10 21:50:00,M3-01_(FR3_01),90.0
[BD50-5075-011-E],52,2026-09-10 22:00:00,2026-09-11 11:00:00,M3-01_(FR3_01),298.0
[BD50-5075-013F],50,2026-09-11 18:40:00,2026-09-14 09:10:00,M3-01_(FR3_01),390.0
[4022-333-13805],250,2026-09-14 09:20:00,2026-09-14 19:10:00,M3-01_(FR3_01),590.0
[BD50-5085-013-C],45,2026-09-14 21:20:00,2026-09-15 11:20:00,M3-01_(FR3_01),360.0
[BD50-5085-011-C],20,2026-09-15 16:00:00,2026-09-15 19:30:00,M3-01_(FR3_01),210.0
[4022-333-11506],86,2026-09-15 19:40:00,2026-09-16 12:20:00,M3-01_(FR3_01),520.0
[BD50-5075-015F],43,2026-09-16 16:00:00,2026-09-16 21:50:00,M3-01_(FR3_01),348.0
[4022-637-32081],33,2026-09-17 08:00:00,2026-09-17 14:00:00,M3-01_(FR3_01),354.0
[00385-00-321-A],714,2026-09-17 14:10:00,2026-09-22 15:20:00,M3-01_(FR3_01),2946.0
[4022-666-18121],342,2026-09-24 16:00:00,2026-09-29 20:50:00,M3-01_(FR3_01),3168.0
[7001-2580-0044],20,2026-09-29 21:00:00,2026-09-30 10:30:00,M3-01_(FR3_01),326.67
[BD50-5085-011-C],50,2026-09-30 10:40:00,2026-09-30 17:10:00,M3-01_(FR3_01),390.0
[BD50-5075-011-E],44,2026-09-30 17:20:00,2026-09-30 21:50:00,M3-01_(FR3_01),266.0
[BD50-5085-009-C],30,2026-10-01 08:00:00,2026-10-01 12:30:00,M3-01_(FR3_01),270.0
[4022-671-49061],152,2026-10-08 08:00:00,2026-10-08 22:10:00,M3-01_(FR3_01),850.0
[7007-2500-0010],1,2026-10-09 16:00:00,2026-10-09 18:30:00,M3-01_(FR3_01),150.0
[4022-455-09992],60,2026-10-09 20:10:00,2026-10-09 23:40:00,M3-01_(FR3_01),210.0
