ID,Product,Operation,Resource,Start,End
__export__.mrp_production_5680_ed5f1e28,[4022.622.61481] RH RED GRIPPER TUNGSTEN MASS ,External Milling Tungsten,OUT - Outsourced activity_(OUT - Outsourced),2026-08-28 08:00:00,2026-09-23 14:00:00
__export__.mrp_production_6020_2cead996,[4598-008-08901B POS 1] CEILING INLET*,BW - Benchwork (BKW_01),BW_(BKW_01),2026-08-28 09:00:00,2026-08-28 13:00:00
__export__.mrp_production_6020_2cead996,[4598-008-08901B POS 1] CEILING INLET*,Material prep (ZGN_01),MP1 - Material preparation - automatic sawing (ZGN_01),2026-08-28 13:00:00,2026-08-28 14:40:00
__export__.mrp_production_6020_2cead996,[4598-008-08901B POS 1] CEILING INLET*,Milling (FR4-02),M4-02_(FR4_02),2026-08-28 21:00:00,2026-09-01 07:50:00
__export__.mrp_production_6020_2cead996,[4598-008-08901B POS 1] CEILING INLET*,Painting,OUT - Outsourced activity_(OUT - Outsourced),2026-09-01 08:00:00,2026-09-25 14:00:00
__export__.mrp_production_6020_2cead996,[4598-008-08901B POS 1] CEILING INLET*,Packaging (VERP_P),PACK_(VERP_P),2026-10-16 16:00:00,2026-10-16 17:20:00
__export__.mrp_production_6192_3443eb6e,[M0216-01-363-B] nul-graden arretsegment,Passivating,OUT - Outsourced activity_(OUT - Outsourced),2026-08-28 08:00:00,2026-09-03 13:30:00
__export__.mrp_production_6192_3443eb6e,[M0216-01-363-B] nul-graden arretsegment,Packaging (VERP_P),PACK_(VERP_P),2026-09-03 16:00:00,2026-09-03 16:50:00
__export__.mrp_production_6199_a3feca82,[4598-008-08901B POS 1] CEILING INLET*,BW - Benchwork (BKW_01),BW_(BKW_01),2026-09-02 16:00:00,2026-09-02 20:40:00
__export__.mrp_production_6199_a3feca82,[4598-008-08901B POS 1] CEILING INLET*,Packaging (VERP_P),PACK_(VERP_P),2026-08-28 08:00:00,2026-08-28 09:40:00
__export__.mrp_production_6300_645dbbde,[4022-637-29301] Hinge Block Fixed RM,BW - Benchwork (BKW_01),BW_(BKW_01),2026-08-28 08:00:00,2026-08-28 09:00:00
__export__.mrp_production_6300_645dbbde,[4022-637-29301] Hinge Block Fixed RM,Packaging (VERP_P),PACK_(VERP_P),2026-10-16 08:00:00,2026-10-16 08:20:00
