PN,Quantity,Work Orders/Start,Work Orders/End,Work Orders/Work Center,Work Orders/Expected Duration
[4022-333-58791],64,2026-08-24 08:00:00,2026-08-24 09:10:00,MP2_(ZGN_02),64.0
[7005-2580-0005],30,2026-08-25 17:20:00,2026-08-25 17:30:00,MP2_(ZGN_02),2.0
[BD50-5075-015F],20,2026-09-08 08:00:00,2026-09-08 08:20:00,MP2_(ZGN_02),20.0
[BD50-5085-013-C],55,2026-09-08 08:20:00,2026-09-08 09:20:00,MP2_(ZGN_02),55.0
[BD50-5075-013F],50,2026-09-08 09:40:00,2026-09-08 10:30:00,MP2_(ZGN_02),50.0
[BD50-5075-013F],20,2026-09-08 11:20:00,2026-09-08 11:40:00,MP2_(ZGN_02),20.0
[BD50-5085-011-C],20,2026-09-08 12:40:00,2026-09-08 13:00:00,MP2_(ZGN_02),20.0
[BD50-5075-011-E],52,2026-09-08 13:40:00,2026-09-08 14:40:00,MP2_(ZGN_02),52.0
[BD50-5075-011-E],44,2026-09-08 14:50:00,2026-09-08 15:40:00,MP2_(ZGN_02),44.0
[BD50-5085-009-C],57,2026-09-08 17:20:00,2026-09-08 18:20:00,MP2_(ZGN_02),57.0
[BD50-5085-013-C],45,2026-09-08 18:30:00,2026-09-08 19:20:00,MP2_(ZGN_02),45.0
[BD50-5075-015F],43,2026-09-08 20:10:00,2026-09-08 21:00:00,MP2_(ZGN_02),43.0
[4022-335-19371],60,2026-09-23 16:00:00,2026-09-23 17:00:00,MP2_(ZGN_02),60.0
[BD50-5085-009-C],30,2026-09-23 22:40:00,2026-09-23 23:10:00,MP2_(ZGN_02),30.0
[BD50-5085-011-C],50,2026-09-24 18:00:00,2026-09-24 18:50:00,MP2_(ZGN_02),50.0
[4022-335-17991],35,2026-10-09 16:00:00,2026-10-09 16:40:00,MP2_(ZGN_02),35.0
[BD50-5085-007-C],30,2026-10-09 20:30:00,2026-10-09 21:00:00,MP2_(ZGN_02),30.0
[BD50-5085-007-C],62,2026-10-09 22:40:00,2026-10-09 23:50:00,MP2_(ZGN_02),62.0
