Machine,ProcessTime,AvailableTime,Utilization
BW_(BKW_01),10451.0,26880,0.3888020833333333
PACK_(VERP_P),6444.0,26880,0.23973214285714287
M3-01_(FR3_01),11902.0,26880,0.4427827380952381
MP1 - Material preparation - automatic sawing (ZGN_01),2826.0,26880,0.10513392857142857
MP2_(ZGN_02),20.0,26880,0.000744047619047619
MP3_(UITG_M),1220.0,26880,0.04538690476190476
M4-02_(FR4_02),21615.0,40321,0.5360730140621512
UMC750_(M5-03),26337.0,26880,0.9797991071428571
M5-01_(FR5_01),390.0,40321,0.009672379157262965
M3-02_(FR3_02),2570.0,26880,0.09561011904761904
M4-01_(FR4_01),7354.0,40321,0.18238634954490215
OUT - Outsourced activity_(OUT - Outsourced),65841.0,13440,4.898883928571428
M5-02_(FR5_02),16296.0,40321,0.40415664294040327
UMC750SS_(M5-05),26324.0,26880,0.9793154761904762
