PN,Quantity,Work Orders/Start,Work Orders/End,Work Orders/Work Center,Work Orders/Expected Duration
[M0216-01-363-B],46,2026-08-27 08:00:00,2026-09-02 13:30:00,OUT - Outsourced activity_(OUT - Outsourced),2250.0
[4022.622.61481],24,2026-08-27 08:00:00,2026-09-22 14:00:00,OUT - Outsourced activity_(OUT - Outsourced),9000.0
[4022.620.02663],1,2026-08-27 08:00:00,2026-09-02 13:30:00,OUT - Outsourced activity_(OUT - Outsourced),2250.0
[00385-00-102-C],581,2026-08-27 08:00:00,2026-09-22 14:00:00,OUT - Outsourced activity_(OUT - Outsourced),9000.0
[4022.474.05521],20,2026-08-27 08:00:00,2026-09-02 13:30:00,OUT - Outsourced activity_(OUT - Outsourced),2250.0
[4022.474.05551],24,2026-08-27 08:00:00,2026-09-02 13:30:00,OUT - Outsourced activity_(OUT - Outsourced),2250.0
[4022.704.19332],80,2026-08-27 08:00:00,2026-09-09 11:00:00,OUT - Outsourced activity_(OUT - Outsourced),4500.0
[7005-2540-0007],14,2026-08-27 08:00:00,2026-09-02 13:30:00,OUT - Outsourced activity_(OUT - Outsourced),2250.0
[4022.645.53391],24,2026-08-27 08:00:00,2026-09-02 13:30:00,OUT - Outsourced activity_(OUT - Outsourced),2250.0
[4022.645.57761],25,2026-08-27 08:00:00,2026-09-16 08:30:00,OUT - Outsourced activity_(OUT - Outsourced),6750.0
[4022.684.28993],1,2026-08-27 08:00:00,2026-09-09 11:00:00,OUT - Outsourced activity_(OUT - Outsourced),4500.0
[4022.684.29043],1,2026-08-27 08:00:00,2026-09-09 11:00:00,OUT - Outsourced activity_(OUT - Outsourced),4500.0
[4022.684.28962],1,2026-08-27 08:00:00,2026-09-09 11:00:00,OUT - Outsourced activity_(OUT - Outsourced),4500.0
[4022.684.28842],1,2026-08-27 08:00:00,2026-09-09 11:00:00,OUT - Outsourced activity_(OUT - Outsourced),4500.0
[00236-05-103-C],109,2026-08-27 08:00:00,2026-09-02 13:30:00,OUT - Outsourced activity_(OUT - Outsourced),2250.0
[4022.704.19282],60,2026-08-27 08:00:00,2026-09-02 13:30:00,OUT - Outsourced activity_(OUT - Outsourced),2250.0
[7001-2580-0025],12,2026-08-27 08:00:00,2026-09-02 13:30:00,OUT - Outsourced activity_(OUT - Outsourced),2250.0
[7001-2580-0028],22,2026-08-27 08:00:00,2026-09-02 13:30:00,OUT - Outsourced activity_(OUT - Outsourced),2250.0
[7001-2580-0027],11,2026-08-27 08:00:00,2026-09-02 13:30:00,OUT - Outsourced activity_(OUT - Outsourced),2250.0
[7001-2580-0007],20,2026-08-27 10:20:00,2026-08-28 09:50:00,OUT - Outsourced activity_(OUT - Outsourced),450.0
[4598-008-08901B POS 1],89,2026-08-27 14:40:00,2026-09-23 12:40:00,OUT - Outsourced activity_(OUT - Outsourced),9000.0
[4022.632.63021],1430,2026-08-27 15:50:00,2026-09-03 13:20:00,OUT - Outsourced activity_(OUT - Outsourced),2250.0
[4022.632.63021],1430,2026-08-27 15:50:00,2026-09-03 13:20:00,OUT - Outsourced activity_(OUT - Outsourced),2250.0
[7001-2580-0024],10,2026-09-01 08:00:00,2026-09-07 13:30:00,OUT - Outsourced activity_(OUT - Outsourced),2250.0
[4022.684.32042],80,2026-09-01 08:00:00,2026-09-14 11:00:00,OUT - Outsourced activity_(OUT - Outsourced),4500.0
[7005-2580-0014],5,2026-09-02 08:00:00,2026-09-08 13:30:00,OUT - Outsourced activity_(OUT - Outsourced),2250.0
[7001-2580-0019],18,2026-09-03 13:20:00,2026-09-10 10:50:00,OUT - Outsourced activity_(OUT - Outsourced),2250.0
[7001-2580-0040],72,2026-09-03 13:20:00,2026-09-10 10:50:00,OUT - Outsourced activity_(OUT - Outsourced),2250.0
[4022-333-13805],250,2026-09-04 08:00:00,2026-09-10 13:30:00,OUT - Outsourced activity_(OUT - Outsourced),2250.0
[4022.684.28993],1,2026-09-10 08:00:00,2026-09-23 11:00:00,OUT - Outsourced activity_(OUT - Outsourced),4500.0
[4022.684.29043],1,2026-09-10 08:00:00,2026-09-23 11:00:00,OUT - Outsourced activity_(OUT - Outsourced),4500.0
[4022.684.28962],1,2026-09-10 08:00:00,2026-09-23 11:00:00,OUT - Outsourced activity_(OUT - Outsourced),4500.0
[4022.684.28842],1,2026-09-10 08:00:00,2026-09-23 11:00:00,OUT - Outsourced activity_(OUT - Outsourced),4500.0
[BD50-5085-011-C],50,2026-09-11 08:00:00,2026-09-24 11:00:00,OUT - Outsourced activity_(OUT - Outsourced),4500.0
[4022.632.63021],1600,2026-09-11 08:00:00,2026-09-17 13:30:00,OUT - Outsourced activity_(OUT - Outsourced),2250.0
[7001-2580-0037],9,2026-09-11 08:00:00,2026-09-17 13:30:00,OUT - Outsourced activity_(OUT - Outsourced),2250.0
[7001-2580-0032],10,2026-09-11 08:00:00,2026-09-17 13:30:00,OUT - Outsourced activity_(OUT - Outsourced),2250.0
[7001-2580-0005],20,2026-09-14 08:00:00,2026-09-14 15:30:00,OUT - Outsourced activity_(OUT - Outsourced),450.0
[7001-2580-0041],20,2026-09-14 08:00:00,2026-09-14 15:30:00,OUT - Outsourced activity_(OUT - Outsourced),450.0
