PN,Quantity,Work Orders/Start,Work Orders/End,Work Orders/Work Center,Work Orders/Expected Duration
[4598-008-08901B POS 1],92,2026-08-24 08:00:00,2026-08-24 09:40:00,PACK_(VERP_P),92.0
[4022-455-09997-3],40,2026-08-24 19:20:00,2026-08-24 20:00:00,PACK_(VERP_P),40.0
[00429-00-662-B],400,2026-08-26 21:20:00,2026-08-26 21:40:00,PACK_(VERP_P),20.0
[M0216-01-363-B],46,2026-08-28 16:00:00,2026-08-28 16:50:00,PACK_(VERP_P),46.0
[4512-127-05186B],1000,2026-08-28 17:00:00,2026-08-31 17:40:00,PACK_(VERP_P),1000.0
[00236-05-103-C],109,2026-08-31 17:50:00,2026-08-31 19:40:00,PACK_(VERP_P),109.0
[1207568A],30,2026-09-03 16:00:00,2026-09-03 16:30:00,PACK_(VERP_P),30.0
[4022-671-49061],54,2026-09-09 08:00:00,2026-09-09 09:00:00,PACK_(VERP_P),54.0
[BD50-5075-013F],20,2026-09-09 13:20:00,2026-09-09 13:40:00,PACK_(VERP_P),20.0
[BD50-5075-015F],20,2026-09-09 13:40:00,2026-09-09 14:00:00,PACK_(VERP_P),20.0
[1011113A],134,2026-09-09 16:00:00,2026-09-09 18:20:00,PACK_(VERP_P),134.0
[E.520002-001],392,2026-09-14 16:00:00,2026-09-14 17:00:00,PACK_(VERP_P),56.0
[00429-00-662-B],420,2026-09-15 08:00:00,2026-09-15 08:20:00,PACK_(VERP_P),20.0
[4022-666-3837-1],200,2026-09-15 10:20:00,2026-09-15 13:40:00,PACK_(VERP_P),200.0
[BD50-5075-011-E],52,2026-09-15 17:00:00,2026-09-15 18:00:00,PACK_(VERP_P),52.0
[BD50-5085-009-C],57,2026-09-15 20:30:00,2026-09-15 21:30:00,PACK_(VERP_P),57.0
[4022.704.19332],80,2026-09-16 09:20:00,2026-09-16 10:40:00,PACK_(VERP_P),80.0
[BD50-5075-013F],50,2026-09-16 11:00:00,2026-09-16 11:50:00,PACK_(VERP_P),50.0
[BD50-5085-011-C],20,2026-09-16 22:20:00,2026-09-16 22:40:00,PACK_(VERP_P),20.0
[4022-637-32081],33,2026-09-17 14:40:00,2026-09-17 15:20:00,PACK_(VERP_P),33.0
[4022-637-32081],20,2026-09-17 15:30:00,2026-09-17 15:50:00,PACK_(VERP_P),20.0
[00385-00-102-C],581,2026-09-17 16:00:00,2026-09-18 09:50:00,PACK_(VERP_P),581.0
[BD50-5075-015F],43,2026-09-18 10:00:00,2026-09-18 10:50:00,PACK_(VERP_P),43.0
[4022-333-11506],86,2026-09-18 11:00:00,2026-09-18 12:30:00,PACK_(VERP_P),86.0
[00385-00-113A],700,2026-09-18 19:00:00,2026-09-21 14:40:00,PACK_(VERP_P),700.0
[4022-656-73531],86,2026-09-22 09:20:00,2026-09-22 10:50:00,PACK_(VERP_P),86.0
[4598-008-08901B POS 1],89,2026-09-28 16:00:00,2026-09-28 17:30:00,PACK_(VERP_P),89.0
[4022-635-87291],315,2026-09-28 17:50:00,2026-09-28 23:10:00,PACK_(VERP_P),315.0
[BD50-5085-009-C],57,2026-09-29 11:20:00,2026-09-29 12:20:00,PACK_(VERP_P),57.0
[BD50-5075-011-E],52,2026-09-29 12:30:00,2026-09-29 13:30:00,PACK_(VERP_P),52.0
[4022-333-13805],250,2026-09-29 13:40:00,2026-09-29 17:50:00,PACK_(VERP_P),250.0
[BD50-5075-013F],50,2026-09-30 11:20:00,2026-09-30 12:10:00,PACK_(VERP_P),50.0
[00385-00-321-A],714,2026-09-30 13:30:00,2026-10-01 09:30:00,PACK_(VERP_P),714.0
[BD50-5085-011-C],50,2026-10-01 16:00:00,2026-10-01 16:50:00,PACK_(VERP_P),50.0
[BD50-5085-009-C],30,2026-10-01 17:00:00,2026-10-01 17:30:00,PACK_(VERP_P),30.0
[4512-127-05186B],967,2026-10-02 08:00:00,2026-10-05 08:10:00,PACK_(VERP_P),967.0
[4022-333-58791],64,2026-10-05 16:00:00,2026-10-05 17:10:00,PACK_(VERP_P),64.0
[BD50-5075-011-E],44,2026-10-05 18:00:00,2026-10-05 18:50:00,PACK_(VERP_P),44.0
[4022-337-33842],120,2026-10-06 08:00:00,2026-10-06 08:10:00,PACK_(VERP_P),4.0
[4022-335-19371],60,2026-10-06 08:20:00,2026-10-06 09:30:00,PACK_(VERP_P),61.0
[1508130 B],134,2026-10-06 16:00:00,2026-10-06 18:20:00,PACK_(VERP_P),134.0
[M0216-01-363-B],90,2026-10-07 13:40:00,2026-10-07 15:10:00,PACK_(VERP_P),90.0
[4022-656-92231],126,2026-10-07 15:50:00,2026-10-07 18:00:00,PACK_(VERP_P),126.0
[BD50-5085-013-C],55,2026-10-07 18:10:00,2026-10-07 19:10:00,PACK_(VERP_P),55.0
[4022-666-3837-1],200,2026-10-07 20:20:00,2026-10-07 23:40:00,PACK_(VERP_P),200.0
[4022-671-49061],108,2026-10-08 12:00:00,2026-10-08 13:50:00,PACK_(VERP_P),108.0
[BD50-5085-013-C],45,2026-10-08 14:00:00,2026-10-08 14:50:00,PACK_(VERP_P),45.0
[00385-00-274-D],616,2026-10-08 16:00:00,2026-10-09 10:20:00,PACK_(VERP_P),616.0
[4022-671-49061],152,2026-10-09 10:40:00,2026-10-09 13:20:00,PACK_(VERP_P),152.0
[4022-666-65702(R1)],524,2026-10-09 13:30:00,2026-10-09 15:20:00,PACK_(VERP_P),105.0
[4023-001-43251B],15,2026-10-09 15:30:00,2026-10-09 15:50:00,PACK_(VERP_P),15.0
[4022-637-29301],17,2026-10-09 16:00:00,2026-10-09 16:20:00,PACK_(VERP_P),17.0
[4022-666-18121],342,2026-10-09 16:30:00,2026-10-09 22:20:00,PACK_(VERP_P),342.0
[4022-674-35671],46,2026-10-09 22:30:00,2026-10-09 23:20:00,PACK_(VERP_P),46.0
[BD50-5085-011-C],20,2026-10-09 23:30:00,2026-10-09 23:50:00,PACK_(VERP_P),20.0
