OperationName,ProcessID,ResourceID,Resource,Start,Completion,DemandID,Product,NrItems
MP1 - Mat. prep - automatic sawing (ZGN_01),1,-,-,2025-02-28 11:30:57,2026-03-23 08:51:57,__export__.mrp_production_1104_d3ae4426,[4022-651-55002A],27
MP1 - Mat. prep - automatic sawing (ZGN_01),10,-,-,2026-02-06 13:37:06,2026-02-06 13:37:06,__export__.mrp_production_5033_ffa23c2e,[4022.684.28993],1
M5-03 - UMC1 - 5axis - Manual (UMC750),11,-,-,2026-02-06 13:38:20,2026-02-06 13:38:20,__export__.mrp_production_5033_ffa23c2e,[4022.684.28993],1
M3-01 - AW - 3axis - Manual (FR3_01),12,-,-,2026-02-06 13:39:12,2026-02-06 13:39:12,__export__.mrp_production_5033_ffa23c2e,[4022.684.28993],1
OUT - Outsourced activity,13,__export__.mrp_workcenter_68_8bff6631,OUT - Outsourced activity_(OUT - Outsourced),2026-06-30 08:15:00,2026-07-13 11:25:00,__export__.mrp_production_5033_ffa23c2e,[4022.684.28993],1
OUT - Outsourced activity,14,__export__.mrp_workcenter_68_8bff6631,OUT - Outsourced activity_(OUT - Outsourced),2026-07-13 11:34:00,2026-07-24 14:44:00,__export__.mrp_production_5033_ffa23c2e,[4022.684.28993],1
"MP3 - Mat. prep - pre-cutted, only picking (UITG_M)",15,-,-,2026-02-06 13:43:14,2026-02-06 13:43:14,__export__.mrp_production_5034_4d53b4c4,[4022.684.29043],1
M5-03 - UMC1 - 5axis - Manual (UMC750),16,-,-,2026-02-06 13:43:09,2026-02-06 13:43:09,__export__.mrp_production_5034_4d53b4c4,[4022.684.29043],1
OUT - Outsourced activity,17,__export__.mrp_workcenter_68_8bff6631,OUT - Outsourced activity_(OUT - Outsourced),2026-06-30 08:19:00,2026-07-13 11:29:00,__export__.mrp_production_5034_4d53b4c4,[4022.684.29043],1
OUT - Outsourced activity,18,__export__.mrp_workcenter_68_8bff6631,OUT - Outsourced activity_(OUT - Outsourced),2026-07-13 11:38:00,2026-07-24 14:48:00,__export__.mrp_production_5034_4d53b4c4,[4022.684.29043],1
"MP3 - Mat. prep - pre-cutted, only picking (UITG_M)",19,-,-,2026-02-06 13:36:30,2026-02-06 13:36:30,__export__.mrp_production_5035_e3dce293,[4022.684.28962],1
