ID,Product,Product/ID,Quantity To Produce,Deadline,Work Orders/Work Center,Work Orders/Work Center/ID,Work Orders/Expected Duration,Work Orders/Start,Work Orders/End,Work Orders/Status,Processing Machine,Scheduled
__export__.mrp_production_1104_d3ae4426,[4022-651-55002A] Gpas preamp CB Box + cover assy,14975.0,27.0,2026-11-19 01:00:00,MP1 - Mat. prep - automatic sawing (ZGN_01),__export__.mrp_workcenter_63_98a7a00b,42.0,2025-02-28 11:30:57,2026-03-23 08:51:57,Finished,-,True
,,,,,M5-02 - AW - 5axis - Pallet Automation (FR5_02),__export__.mrp_workcenter_59_d6deab7b,1710.0,,,To Do,-,True
,,,,,M5-02 - AW - 5axis - Pallet Automation (FR5_02),__export__.mrp_workcenter_59_d6deab7b,1035.0,,,To Do,-,True
,,,,,BW - Benchwork (BKW_01),__export__.mrp_workcenter_66_9f807a30,108.0,,,To Do,-,True
,,,,,PACK - Packaging (VERP_P),__export__.mrp_workcenter_67_d1ac8ce6,27.0,,,To Do,-,True
__export__.mrp_production_1197_849443cd,[1082700B] Block cooling water TMP,14907.0,68.0,2026-11-19 01:00:00,M5-02 - AW - 5axis - Pallet Automation (FR5_02),__export__.mrp_workcenter_59_d6deab7b,2538.0,,,To Do,-,True
,,,,,"MP3 - Mat. prep - pre-cutted, only picking (UITG_M)",__export__.mrp_workcenter_65_c1e1b939,340.0,,,To Do,-,True
,,,,,BW - Benchwork (BKW_01),__export__.mrp_workcenter_66_9f807a30,340.0,,,To Do,-,True
,,,,,PACK - Packaging (VERP_P),__export__.mrp_workcenter_67_d1ac8ce6,68.0,,,To Do,-,True
__export__.mrp_production_5033_ffa23c2e,[4022.684.28993] RS C+H SLAB STAT PLT IL SIDE / CLS,18261.0,1.0,2026-05-29 02:00:00,MP1 - Mat. prep - automatic sawing (ZGN_01),__export__.mrp_workcenter_63_98a7a00b,16.0,2026-02-06 13:37:06,2026-02-06 13:37:06,Finished,-,True
,,,,,M5-03 - UMC1 - 5axis - Manual (UMC750),__export__.mrp_workcenter_61_bcb50df3,405.0,2026-02-06 13:38:20,2026-02-06 13:38:20,Finished,-,True
,,,,,M3-01 - AW - 3axis - Manual (FR3_01),__export__.mrp_workcenter_54_3f0243e1,113.0,2026-02-06 13:39:12,2026-02-06 13:39:12,Finished,-,True
,,,,,OUT - Outsourced activity,__export__.mrp_workcenter_68_8bff6631,4500.0,2026-07-10 08:00:00,2026-07-23 11:00:00,Finished,OUT - Outsourced activity_(OUT - Outsourced),True
,,,,,OUT - Outsourced activity,__export__.mrp_workcenter_68_8bff6631,4500.0,2026-07-24 08:00:00,2026-08-06 11:00:00,Finished,OUT - Outsourced activity_(OUT - Outsourced),True
__export__.mrp_production_5034_4d53b4c4,[4022.684.29043] RS C+H DYN ATTACH PLT IL SIDE / CLS,18342.0,1.0,2026-05-29 02:00:00,"MP3 - Mat. prep - pre-cutted, only picking (UITG_M)",__export__.mrp_workcenter_65_c1e1b939,1.0,2026-02-06 13:43:14,2026-02-06 13:43:14,Finished,-,True
,,,,,M5-03 - UMC1 - 5axis - Manual (UMC750),__export__.mrp_workcenter_61_bcb50df3,335.0,2026-02-06 13:43:09,2026-02-06 13:43:09,Finished,-,True
,,,,,OUT - Outsourced activity,__export__.mrp_workcenter_68_8bff6631,4500.0,2026-07-10 08:00:00,2026-07-23 11:00:00,Finished,OUT - Outsourced activity_(OUT - Outsourced),True
,,,,,OUT - Outsourced activity,__export__.mrp_workcenter_68_8bff6631,4500.0,2026-07-24 08:00:00,2026-08-06 11:00:00,Finished,OUT - Outsourced activity_(OUT - Outsourced),True
__export__.mrp_production_5035_e3dce293,[4022.684.28962] RS C+H DYN ATTACH PLT RH SIDE / CLS,18348.0,1.0,2026-05-29 02:00:00,"MP3 - Mat. prep - pre-cutted, only picking (UITG_M)",__export__.mrp_workcenter_65_c1e1b939,1.0,2026-02-06 13:36:30,2026-02-06 13:36:30,Finished,-,True
