ID,Product,Product/ID,Quantity To Produce,Deadline,Work Orders/Work Center,Processing Machine,Work Orders/Work Center/ID,Work Orders/Expected Duration,Work Orders/Start(ORG),Work Orders/Start,Work Orders/End(ORG),Work Orders/End,Work Orders/Status,Scheduled
__export__.mrp_production_1104_d3ae4426,[4022-651-55002A] Gpas preamp CB Box + cover assy,14975.0,27.0,2027-02-08 12:00:00,MP1 - Mat. prep - automatic sawing (ZGN_01),-,__export__.mrp_workcenter_63_98a7a00b,42.0,2025-02-28 11:30:57,2025-02-28 11:30:57,2026-03-23 08:51:57,2026-03-23 08:51:57,Finished,True
,,,,,M5-02 - AW - 5axis - Pallet Automation (FR5_02),UMC400_(M5-06),__export__.mrp_workcenter_59_d6deab7b,1710.0,2025-02-28 12:42:57,2026-08-24 19:40:00,2025-03-06 10:42:57,2026-08-26 16:10:00,Scheduled,True
,,,,,M5-02 - AW - 5axis - Pallet Automation (FR5_02),M5-01_(FR5_01),__export__.mrp_workcenter_59_d6deab7b,1035.0,2025-03-06 10:42:57,2026-08-26 18:00:00,2025-03-10 14:27:57,2026-08-27 11:15:00,Scheduled,True
,,,,,BW - Benchwork (BKW_01),BW_(BKW_01),__export__.mrp_workcenter_66_9f807a30,108.0,2025-03-07 14:27:57,2026-08-31 10:40:00,2025-03-10 09:45:57,2026-08-31 12:28:00,Scheduled,True
,,,,,PACK - Packaging (VERP_P),PACK_(VERP_P),__export__.mrp_workcenter_67_d1ac8ce6,27.0,2025-03-10 09:45:57,2026-08-31 12:38:00,2025-03-10 10:12:57,2026-08-31 13:05:00,Scheduled,True
__export__.mrp_production_5033_ffa23c2e,[4022.684.28993] RS C+H SLAB STAT PLT IL SIDE / CLS,18261.0,1.0,2026-08-10 02:00:00,MP1 - Mat. prep - automatic sawing (ZGN_01),-,__export__.mrp_workcenter_63_98a7a00b,16.0,2026-02-06 13:37:06,2026-02-06 13:37:06,2026-02-06 13:37:06,2026-02-06 13:37:06,Finished,True
,,,,,M5-03 - UMC1 - 5axis - Manual (UMC750),-,__export__.mrp_workcenter_61_bcb50df3,405.0,2026-02-06 13:38:20,2026-02-06 13:38:20,2026-02-06 13:38:20,2026-02-06 13:38:20,Finished,True
,,,,,M3-01 - AW - 3axis - Manual (FR3_01),-,__export__.mrp_workcenter_54_3f0243e1,113.0,2026-02-06 13:39:12,2026-02-06 13:39:12,2026-02-06 13:39:12,2026-02-06 13:39:12,Finished,True
,,,,,OUT - Outsourced activity,OUT - Outsourced activity_(OUT - Outsourced),__export__.mrp_workcenter_68_8bff6631,4500.0,2026-07-16 09:47:47,2026-08-06 08:00:00,2026-07-30 08:47:47,2026-08-19 11:00:00,Scheduled,True
,,,,,OUT - Outsourced activity,OUT - Outsourced activity_(OUT - Outsourced),__export__.mrp_workcenter_68_8bff6631,4500.0,,2026-08-20 08:00:00,,2026-09-02 11:00:00,Scheduled,True
__export__.mrp_production_5034_4d53b4c4,[4022.684.29043] RS C+H DYN ATTACH PLT IL SIDE / CLS,18342.0,1.0,2026-08-10 02:00:00,"MP3 - Mat. prep - pre-cutted, only picking (UITG_M)",-,__export__.mrp_workcenter_65_c1e1b939,1.0,2026-02-06 13:43:14,2026-02-06 13:43:14,2026-02-06 13:43:14,2026-02-06 13:43:14,Finished,True
,,,,,M5-03 - UMC1 - 5axis - Manual (UMC750),-,__export__.mrp_workcenter_61_bcb50df3,335.0,2026-02-06 13:43:09,2026-02-06 13:43:09,2026-02-06 13:43:09,2026-02-06 13:43:09,Finished,True
,,,,,OUT - Outsourced activity,OUT - Outsourced activity_(OUT - Outsourced),__export__.mrp_workcenter_68_8bff6631,4500.0,2026-07-16 09:49:04,2026-08-06 08:00:00,2026-07-30 08:49:04,2026-08-19 11:00:00,Scheduled,True
,,,,,OUT - Outsourced activity,OUT - Outsourced activity_(OUT - Outsourced),__export__.mrp_workcenter_68_8bff6631,4500.0,,2026-08-20 08:00:00,,2026-09-02 11:00:00,Scheduled,True
__export__.mrp_production_5035_e3dce293,[4022.684.28962] RS C+H DYN ATTACH PLT RH SIDE / CLS,18348.0,1.0,2026-08-10 02:00:00,"MP3 - Mat. prep - pre-cutted, only picking (UITG_M)",-,__export__.mrp_workcenter_65_c1e1b939,1.0,2026-02-06 13:36:30,2026-02-06 13:36:30,2026-02-06 13:36:30,2026-02-06 13:36:30,Finished,True
,,,,,M5-03 - UMC1 - 5axis - Manual (UMC750),-,__export__.mrp_workcenter_61_bcb50df3,335.0,2026-02-06 13:36:38,2026-02-06 13:36:38,2026-02-06 13:36:38,2026-02-06 13:36:38,Finished,True
,,,,,OUT - Outsourced activity,OUT - Outsourced activity_(OUT - Outsourced),__export__.mrp_workcenter_68_8bff6631,4500.0,2026-07-16 09:49:53,2026-08-06 08:00:00,2026-07-30 08:49:53,2026-08-19 11:00:00,Scheduled,True
,,,,,OUT - Outsourced activity,OUT - Outsourced activity_(OUT - Outsourced),__export__.mrp_workcenter_68_8bff6631,4500.0,,2026-08-20 08:00:00,,2026-09-02 11:00:00,Scheduled,True
__export__.mrp_production_5036_bec2ca68,[4022.684.28842] RS C+H SLAB STAT PLT RH SIDE / CLS,18349.0,1.0,2026-08-10 02:00:00,MP1 - Mat. prep - automatic sawing (ZGN_01),-,__export__.mrp_workcenter_63_98a7a00b,16.0,2026-02-06 13:44:01,2026-02-06 13:44:01,2026-02-06 13:44:01,2026-02-06 13:44:01,Finished,True
