PN,Quantity,Work Orders/Start,Work Orders/End,Work Orders/Work Center,Work Orders/Expected Duration
[7001-2580-0007],20,2026-08-24 08:00:00,2026-08-24 10:20:00,UMC750SS_(M5-05),136.0
[7001-2580-0016],12,2026-08-26 10:40:00,2026-08-26 12:10:00,UMC750SS_(M5-05),86.0
[7001-2580-0026],10,2026-08-27 16:00:00,2026-08-27 22:40:00,UMC750SS_(M5-05),395.0
[7001-2580-0032],10,2026-08-31 08:00:00,2026-08-31 12:10:00,UMC750SS_(M5-05),250.0
[4022.632.63021],1430,2026-09-21 08:00:00,2026-09-21 15:50:00,UMC750SS_(M5-05),464.0
[4022.684.32042],80,2026-10-02 16:00:00,2026-10-08 17:00:00,UMC750SS_(M5-05),3900.0
[7005-2580-0007],8,2026-10-09 08:00:00,2026-10-09 13:30:00,UMC750SS_(M5-05),324.0
[7001-2580-0019],18,2026-10-09 13:40:00,2026-10-09 15:40:00,UMC750SS_(M5-05),111.0
[7001-2580-0045],20,2026-10-09 16:00:00,2026-10-09 21:20:00,UMC750SS_(M5-05),316.0
[7005-2580-0005],30,2026-10-09 21:30:00,2026-10-09 22:50:00,UMC750SS_(M5-05),72.0
