PN,Quantity,Work Orders/Start,Work Orders/End,Work Orders/Work Center,Work Orders/Expected Duration
N26241006V01-00 - Spacer B,16,2026-08-27 08:00:00,2026-08-27 12:20:00,UMC750_(M5-03),252.0
[7001-2580-0044],20,2026-08-27 13:50:00,2026-08-27 20:10:00,UMC750_(M5-03),379.67
N26241005V02-00 - Spacer,16,2026-08-27 20:20:00,2026-08-28 08:50:00,UMC750_(M5-03),268.0
[7001-2580-0024],10,2026-08-28 09:00:00,2026-08-31 18:30:00,UMC750_(M5-03),1530.0
[4023-001-43251B],15,2026-08-31 18:40:00,2026-08-31 21:40:00,UMC750_(M5-03),180.0
[4022.683.44771],1,2026-08-31 21:50:00,2026-08-31 23:10:00,UMC750_(M5-03),78.0
[4022-674-35671],46,2026-09-01 22:00:00,2026-09-02 19:00:00,UMC750_(M5-03),780.0
[7005-2580-0007],8,2026-09-04 08:00:00,2026-09-07 13:30:00,UMC750_(M5-03),1290.0
[7001-2580-0016],12,2026-09-09 16:00:00,2026-09-09 17:30:00,UMC750_(M5-03),86.0
[7001-2580-0005],20,2026-09-10 08:00:00,2026-09-11 10:20:00,UMC750_(M5-03),1100.0
[7001-2580-0022],9,2026-09-14 14:00:00,2026-09-15 08:30:00,UMC750_(M5-03),621.0
[7001-2580-0045],20,2026-09-24 08:00:00,2026-09-24 13:20:00,UMC750_(M5-03),316.0
[7001-2580-0026],10,2026-10-02 08:00:00,2026-10-02 14:40:00,UMC750_(M5-03),395.0
[7001-2580-0042],20,2026-10-05 16:00:00,2026-10-05 19:30:00,UMC750_(M5-03),203.67
[4022.622.61092],68,2026-10-13 08:00:00,2026-10-15 13:20:00,UMC750_(M5-03),2236.0
[4022-455-09997-3],40,2026-10-15 16:00:00,2026-10-15 21:30:00,UMC750_(M5-03),330.0
[7001-2580-0020],18,2026-10-15 21:40:00,2026-10-15 23:30:00,UMC750_(M5-03),104.0
