OperationID,Name,ProcessTime
__export__.mrp_workcenter_63_98a7a00b,[4022-666-65702(R1)] MP1 - Material preparation - automatic sawing (ZGN_01),1.015
1,[4022-666-65702(R1)] M4-01 - Accuwell -  4axis - Conveyor automation (FR4_01),13.09
2,[4022-666-65702(R1)] M3-01 - Accuwell - 3axis - Manual (FR3_01),5.09
3,[4022-666-65702(R1)] BW - Benchwork (BKW_01),1.0
4,[4022-666-65702(R1)] OUT - Outsourced activity,2.25
5,[4022-666-65702(R1)] PACK - Packaging (VERP_P),1.0
__export__.mrp_workcenter_55_15609e22,[7005-2480-0090] M3-02 - Accuwell - 3axis - Manual (FR3_02),382.5
35,[7005-2480-0090] M5-04 - Haas - 5axis  - Manual (UMC750SS),715.0
__export__.mrp_workcenter_64_95992ef5,[4022-671-49051] MP2 - Material preparation - manual sawing (ZGN_02),1.0
9,[4022-671-49051] BW - Benchwork (BKW_01),1.0
11,[4022-671-49051] M3-02 - Accuwell - 3axis - Manual (FR3_02),4.363636363636363
12,[4022-671-49051] PACK - Packaging (VERP_P),1.0
__export__.mrp_workcenter_63_98a7a00b,[4022-651-55002A] MP1 - Material preparation - automatic sawing (ZGN_01),1.5555555555555556
14,[4022-651-55002A] M5-01 - Accuwell - 5axis - Pallet automaton (FR5_01),63.333333333333336
15,[4022-651-55002A] M5-02 - Accuwell - 5axis - Conveyor automation (FR5_02),38.333333333333336
16,[4022-651-55002A] BW - Benchwork (BKW_01),4.0
17,[4022-651-55002A] PACK - Packaging (VERP_P),1.0
__export__.mrp_workcenter_63_98a7a00b,[4022-333-11506] MP1 - Material preparation - automatic sawing (ZGN_01),1.05
21,[4022-333-11506] M3-01 - Accuwell - 3axis - Manual (FR3_01),5.3
20,[4022-333-11506] M5-01 - Accuwell - 5axis - Pallet automaton (FR5_01),21.3
22,[4022-333-11506] BW - Benchwork (BKW_01),2.0
23,[4022-333-11506] PACK - Packaging (VERP_P),1.0
__export__.mrp_workcenter_63_98a7a00b,[1508130 B] MP1 - Material preparation - automatic sawing (ZGN_01),1.1071428571428572
25,[1508130 B] M5-01 - Accuwell - 5axis - Pallet automaton (FR5_01),50.642857142857146
26,[1508130 B] M3-01 - Accuwell - 3axis - Manual (FR3_01),5.642857142857143
27,[1508130 B] BW - Benchwork (BKW_01),5.0
28,[1508130 B] PACK - Packaging (VERP_P),1.0
__export__.mrp_workcenter_63_98a7a00b,[349520-8007-000-0107] MP1 - Material preparation - automatic sawing (ZGN_01),1.1685393258426966
53,[349520-8007-000-0107] M5-01 - Accuwell - 5axis - Pallet automaton (FR5_01),50.481283422459896
54,[349520-8007-000-0107] M3-01 - Accuwell - 3axis - Manual (FR3_01),5.481283422459893
55,[349520-8007-000-0107] BW - Benchwork (BKW_01),5.0
56,[349520-8007-000-0107] PACK - Packaging (VERP_P),1.0
__export__.mrp_workcenter_54_3f0243e1,[7005-2480-0090] M3-01 - Accuwell - 3axis - Manual (FR3_01),382.5
__export__.mrp_workcenter_63_98a7a00b,[216121-0006] MP1 - Material preparation - automatic sawing (ZGN_01),2.5
37,[216121-0006] M5-01 - Accuwell - 5axis - Pallet automaton (FR5_01),9.0
38,[216121-0006] PACK - Packaging (VERP_P),1.0
__export__.mrp_workcenter_63_98a7a00b,[4022-656-73531] MP1 - Material preparation - automatic sawing (ZGN_01),1.1744186046511629
40,[4022-656-73531] M4-02 - Accuwell - 4axis - Conveyor automation (FR4_02),5.046511627906977
41,[4022-656-73531] BW - Benchwork (BKW_01),2.0
42,[4022-656-73531] PACK - Packaging (VERP_P),1.0
__export__.mrp_workcenter_63_98a7a00b,[216121-0007] MP1 - Material preparation - automatic sawing (ZGN_01),1.2112676056338028
45,[216121-0007] M5-02 - Accuwell - 5axis - Conveyor automation (FR5_02),6.267605633802817
46,[216121-0007] BW - Benchwork (BKW_01),3.0
47,[216121-0007] PACK - Packaging (VERP_P),1.0
__export__.mrp_workcenter_63_98a7a00b,[4022-637-24142] MP1 - Material preparation - automatic sawing (ZGN_01),1.3409090909090908
49,[4022-637-24142] M5-02 - Accuwell - 5axis - Conveyor automation (FR5_02),32.04545454545455
50,[4022-637-24142] M4-02 - Accuwell - 4axis - Conveyor automation (FR4_02),12.045454545454545
51,[4022-637-24142] BW - Benchwork (BKW_01),3.0
52,[4022-637-24142] PACK - Packaging (VERP_P),1.0
__export__.mrp_workcenter_65_c1e1b939,"[4022-656-74553] MP3 - Material preparation - pre-cutted, only picking (UITG_M)",1.0
58,[4022-656-74553] M5-01 - Accuwell - 5axis - Pallet automaton (FR5_01),26.8
59,[4022-656-74553] BW - Benchwork (BKW_01),2.0
60,[4022-656-74553] PACK - Packaging (VERP_P),1.0
__export__.mrp_workcenter_59_d6deab7b,[1082700B] M5-01 - Accuwell - 5axis - Pallet automaton (FR5_01),37.3235294117647
62,[1082700B] M3-01 - Accuwell - 3axis - Manual (FR3_01),6.323529411764706
63,[1082700B] BW - Benchwork (BKW_01),5.0
64,[1082700B] PACK - Packaging (VERP_P),1.0
__export__.mrp_workcenter_63_98a7a00b,[00385-00-321-A] MP1 - Material preparation - automatic sawing (ZGN_01),1.0793650793650793
66,[00385-00-321-A] M4-01 - Accuwell -  4axis - Conveyor automation (FR4_01),8.476190476190476
67,[00385-00-321-A] M3-01 - Accuwell - 3axis - Manual (FR3_01),4.476190476190476
68,[00385-00-321-A] BW - Benchwork (BKW_01),2.0
69,[00385-00-321-A] OUT - Outsourced activity,11.904761904761905
70,[00385-00-321-A] PACK - Packaging (VERP_P),1.0
__export__.mrp_workcenter_63_98a7a00b,[00385-00-346-A] MP1 - Material preparation - automatic sawing (ZGN_01),1.029940119760479
72,[00385-00-346-A] M4-01 - Accuwell -  4axis - Conveyor automation (FR4_01),8.179640718562874
73,[00385-00-346-A] M3-01 - Accuwell - 3axis - Manual (FR3_01),4.179640718562874
74,[00385-00-346-A] BW - Benchwork (BKW_01),2.0
75,[00385-00-346-A] OUT - Outsourced activity,4.491017964071856
76,[00385-00-346-A] PACK - Packaging (VERP_P),1.0
__export__.mrp_workcenter_65_c1e1b939,"[216121-0005] MP3 - Material preparation - pre-cutted, only picking (UITG_M)",0.0
78,[216121-0005] M5-01 - Accuwell - 5axis - Pallet automaton (FR5_01),26.836734693877553
80,[216121-0005] M3-01 - Accuwell - 3axis - Manual (FR3_01),5.836734693877551
84,[216121-0005] BW - Benchwork (BKW_01),5.0
83,[216121-0005] OUT - Outsourced activity,91.83673469387755
85,[216121-0005] PACK - Packaging (VERP_P),1.0
__export__.mrp_workcenter_63_98a7a00b,[P1538-M9011-01] MP1 - Material preparation - automatic sawing (ZGN_01),67.5
__export__.mrp_workcenter_63_98a7a00b,[P1538-M9010-00] MP1 - Material preparation - automatic sawing (ZGN_01),67.5
88,[P1538-M9010-00] M5-04 - Haas - 5axis  - Manual (UMC750SS),129.0
91,[P1538-M9010-00] OUT - Outsourced activity,1125.0
90,[P1538-M9010-00] M5-03 - Haas - 5axis - Manual (UMC750),129.0
__export__.mrp_workcenter_63_98a7a00b,[4022-635-87282] MP1 - Material preparation - automatic sawing (ZGN_01),1.0350467289719627
93,[4022-635-87282] M5-02 - Accuwell - 5axis - Conveyor automation (FR5_02),4.210280373831775
