PredecessorID,SuccessorID,Multiplier
__export__.product_product_14151_f981158c,1,1
__export__.product_product_16215_287d75f5,3,1
__export__.product_product_14160_dc40221b,5,1
__export__.product_product_14190_b2f6cfa7,7,1
__export__.product_product_15120_10aecd71,9,1
__export__.product_product_14154_75692b32,12,1
__export__.product_product_14179_b017bfd8,14,1
__export__.product_product_15116_26d7d7fd,16,1
__export__.product_product_14180_b574d432,18,1
__export__.product_product_14182_446dd894,20,1
__export__.product_product_14170_ab4f36b5,22,1
__export__.product_product_14191_eab5834c,25,1
__export__.product_product_14199_79840166,27,1
__export__.product_product_14199_79840166,29,1
__export__.product_product_15090_ae4a700a,30,1
__export__.product_product_17989_ba0534bc,32,1
__export__.product_product_17990_28ad82dc,34,1
__export__.product_product_14203_67d906dd,36,1
__export__.product_product_15108_e3fe93a6,38,1
__export__.product_product_17402_254f1ca1,40,1
__export__.product_product_14712_cb29254c,42,1
__export__.product_product_16324_074c9bd6,44,1
__export__.product_product_17868_74bb9865,46,1
__export__.product_product_14198_828edea3,48,1
__export__.product_product_17605_d1ef1d9f,50,1
__export__.product_product_17604_d75bd19d,52,1
__export__.product_product_15101_5dce5b8d,54,1
__export__.product_product_15088_16503d30,56,1
__export__.product_product_14165_af7aab6e,58,1
__export__.product_product_14163_0ce7bbea,60,1
__export__.product_product_14466_8c617159,62,1
__export__.product_product_14467_e8bbb011,64,1
__export__.product_product_14184_848b2c42,66,1
__export__.product_product_17542_b05df8a1,68,1
__export__.product_product_17986_29e78a81,70,1
__export__.product_product_14485_407ff3ad,72,1
__export__.product_product_14384_d92cbc88,74,1
__export__.product_product_18072_2a47d3d4,76,1
__export__.product_product_14384_d92cbc88,78,1
__export__.product_product_14382_ec76d96c,79,1
__export__.product_product_14384_d92cbc88,81,1
__export__.product_product_18070_329af9d4,82,1
__export__.product_product_14379_b8846587,84,1
__export__.product_product_18066_0a832a0c,86,1
__export__.product_product_14382_ec76d96c,88,1
__export__.product_product_18091_3d87dd1c,89,1
__export__.product_product_18092_2c7a9ed8,91,1
__export__.product_product_15113_f0f788d6,93,1
__export__.product_product_17313_9cdb5eb7,95,1
__export__.product_product_14149_55705e3a,97,1
__export__.product_product_17381_95528666,99,1
__export__.product_product_14463_f928d0e0,101,1
__export__.product_product_14470_eacf2e83,103,1
__export__.product_product_15113_f0f788d6,105,1
__export__.product_product_14460_69202c49,106,1
__export__.product_product_14392_8b21e679,109,1
__export__.product_product_14163_0ce7bbea,111,1
__export__.product_product_17009_eae1abf8,112,1
__export__.product_product_14191_eab5834c,114,1
__export__.product_product_16581_30702b4a,115,1
__export__.product_product_14155_0d2c4ba1,120,1
__export__.product_product_15131_791d3010,122,1
__export__.product_product_14200_70254936,124,1
__export__.product_product_14412_72e466c9,157,1
__export__.product_product_14172_f3527b5e,159,1
__export__.product_product_15107_d0c7b2b3,164,1
__export__.product_product_14163_0ce7bbea,176,1
__export__.product_product_14163_0ce7bbea,177,1
