ProductID,OperationID,OperationIndex
1,__export__.mrp_workcenter_63_98a7a00b,0
1,1,1
1,2,2
1,3,3
1,4,4
1,5,5
3,__export__.mrp_workcenter_55_15609e22,0
3,7,1
3,__export__.mrp_workcenter_54_3f0243e1,2
3,35,3
5,__export__.mrp_workcenter_64_95992ef5,0
5,9,1
5,10,2
5,11,3
5,12,4
7,__export__.mrp_workcenter_63_98a7a00b,0
7,14,1
7,15,2
7,16,3
7,17,4
9,__export__.mrp_workcenter_63_98a7a00b,0
9,19,1
9,20,2
9,21,3
9,22,4
9,23,5
12,__export__.mrp_workcenter_63_98a7a00b,0
12,25,1
12,26,2
12,27,3
12,28,4
14,__export__.mrp_workcenter_63_98a7a00b,0
14,30,1
14,31,2
14,32,3
14,33,4
14,53,5
14,54,6
14,55,7
14,56,8
16,__export__.mrp_workcenter_63_98a7a00b,0
16,37,1
16,38,2
18,__export__.mrp_workcenter_63_98a7a00b,0
18,40,1
18,41,2
18,42,3
20,__export__.mrp_workcenter_63_98a7a00b,0
20,44,1
20,45,2
20,46,3
20,47,4
22,__export__.mrp_workcenter_63_98a7a00b,0
22,49,1
22,50,2
22,51,3
22,52,4
24,__export__.mrp_workcenter_65_c1e1b939,0
24,58,1
24,59,2
24,60,3
25,__export__.mrp_workcenter_59_d6deab7b,0
25,62,1
25,63,2
25,64,3
27,__export__.mrp_workcenter_63_98a7a00b,0
27,66,1
27,67,2
27,68,3
27,69,4
27,70,5
29,__export__.mrp_workcenter_63_98a7a00b,0
29,72,1
29,73,2
29,74,3
29,75,4
29,76,5
30,__export__.mrp_workcenter_65_c1e1b939,0
30,78,1
30,79,2
30,80,3
30,81,4
30,82,5
30,83,6
30,84,7
30,85,8
32,__export__.mrp_workcenter_63_98a7a00b,0
34,__export__.mrp_workcenter_63_98a7a00b,0
34,88,1
34,89,2
34,90,3
34,91,4
36,__export__.mrp_workcenter_63_98a7a00b,0
36,93,1
36,94,2
36,95,3
36,96,4
36,97,5
36,98,6
36,99,7
38,__export__.mrp_workcenter_63_98a7a00b,0
38,101,1
38,102,2
38,103,3
38,104,4
38,105,5
40,__export__.mrp_workcenter_65_c1e1b939,0
40,107,1
42,__export__.mrp_workcenter_65_c1e1b939,0
42,109,1
44,__export__.mrp_workcenter_65_c1e1b939,0
44,111,1
44,112,2
44,113,3
44,114,4
46,__export__.mrp_workcenter_63_98a7a00b,0
46,116,1
46,117,2
48,__export__.mrp_workcenter_63_98a7a00b,0
48,119,1
48,120,2
48,121,3
48,122,4
50,__export__.mrp_workcenter_65_c1e1b939,0
50,124,1
52,__export__.mrp_workcenter_65_c1e1b939,0
54,__export__.mrp_workcenter_65_c1e1b939,0
54,127,1
54,128,2
54,129,3
56,__export__.mrp_workcenter_65_c1e1b939,0
56,131,1
56,132,2
56,133,3
58,__export__.mrp_workcenter_63_98a7a00b,0
58,135,1
58,136,2
58,137,3
58,138,4
60,__export__.mrp_workcenter_64_95992ef5,0
60,140,1
60,141,2
60,142,3
60,143,4
60,144,5
62,__export__.mrp_workcenter_63_98a7a00b,0
62,146,1
62,147,2
64,__export__.mrp_workcenter_63_98a7a00b,0
64,149,1
64,150,2
66,__export__.mrp_workcenter_63_98a7a00b,0
66,152,1
66,153,2
66,154,3
68,__export__.mrp_workcenter_61_bcb50df3,0
70,__export__.mrp_workcenter_65_c1e1b939,0
70,157,1
70,158,2
72,__export__.mrp_workcenter_63_98a7a00b,0
72,160,1
72,161,2
72,162,3
72,163,4
72,164,5
72,165,6
74,__export__.mrp_workcenter_63_98a7a00b,0
74,167,1
74,168,2
76,__export__.mrp_workcenter_65_c1e1b939,0
76,170,1
78,__export__.mrp_workcenter_63_98a7a00b,0
78,172,1
78,173,2
79,__export__.mrp_workcenter_63_98a7a00b,0
79,175,1
81,__export__.mrp_workcenter_63_98a7a00b,0
81,177,1
81,178,2
82,__export__.mrp_workcenter_65_c1e1b939,0
82,180,1
82,181,2
84,__export__.mrp_workcenter_63_98a7a00b,0
84,183,1
84,184,2
86,__export__.mrp_workcenter_65_c1e1b939,0
86,186,1
88,__export__.mrp_workcenter_63_98a7a00b,0
88,188,1
88,189,2
89,__export__.mrp_workcenter_65_c1e1b939,0
89,191,1
89,192,2
91,__export__.mrp_workcenter_65_c1e1b939,0
93,__export__.mrp_workcenter_64_95992ef5,0
93,195,1
93,196,2
93,197,3
95,__export__.mrp_workcenter_63_98a7a00b,0
95,199,1
97,__export__.mrp_workcenter_63_98a7a00b,0
97,201,1
97,202,2
97,203,3
99,__export__.mrp_workcenter_65_c1e1b939,0
99,205,1
99,206,2
99,230,3
101,__export__.mrp_workcenter_63_98a7a00b,0
101,208,1
103,__export__.mrp_workcenter_63_98a7a00b,0
103,210,1
105,__export__.mrp_workcenter_64_95992ef5,0
105,212,1
105,213,2
105,214,3
106,__export__.mrp_workcenter_63_98a7a00b,0
106,216,1
106,217,2
106,218,3
108,__export__.mrp_workcenter_61_bcb50df3,0
109,__export__.mrp_workcenter_63_98a7a00b,0
111,__export__.mrp_workcenter_64_95992ef5,0
111,222,1
111,223,2
111,224,3
111,225,4
111,226,5
112,__export__.mrp_workcenter_65_c1e1b939,0
112,228,1
112,229,2
