OrderID,ProductID,ProductName,Name,Quantity,Deadline,Component
__export__.mrp_production_3837_9d0480b5,1,[4022-666-65702(R1)]  LSPH coverplate stud block,[4022-666-65702(R1)]  LSPH coverplate stud block_1000.0,1000,2025-01-15 12:00:00,Available
__export__.mrp_production_1064_688e92e1,3,[7005-2480-0090]  METROFRAME BODY V02-00-B / 0119073001 ,[7005-2480-0090]  METROFRAME BODY V02-00-B / 0119073001 _4.0,4,2025-02-28 01:00:00,Available
__export__.mrp_production_1927_52ea08e3,5,[4022-671-49051]  Bpam cover,[4022-671-49051]  Bpam cover_66.0,66,2025-01-17 09:43:35,Available
__export__.mrp_production_1104_d3ae4426,7,[4022-651-55002A]  Gpas preamp CB Box + cover assy,[4022-651-55002A]  Gpas preamp CB Box + cover assy_27.0,27,2025-12-31 00:00:00,Available
__export__.mrp_production_1936_a4c4d921,9,[4022-333-11506]  lagerblok,[4022-333-11506]  lagerblok_300.0,300,2025-03-26 14:00:00,Available
__export__.mrp_production_3892_cec21dc3,11,[7351522]  Impact cover-6_rev-0 alleen base voor export-AP214.step,[7351522]  Impact cover-6_rev-0 alleen base voor export-AP214.step_1.0,1,2025-04-14 02:00:00,
__export__.mrp_production_4738_6a3434f8,12,[1508130 B]  [Q] excenter housing z,[1508130 B]  [Q] excenter housing z_140.0,140,2025-05-14 13:28:22,Available
__export__.mrp_production_4220_edb0630a,14,[349520-8007-000-0107]  BYPASS (BLOK),[349520-8007-000-0107]  BYPASS (BLOK)_89.0,89,2025-05-27 09:26:33,Available
__export__.mrp_production_4371_a96fc1a8,16,"[216121-0006]  fixing block, actuator","[216121-0006]  fixing block, actuator_10.0",10,2025-07-09 02:00:00,Available
__export__.mrp_production_4331_24679a18,18,[4022-656-73531]  Pipe clamp exhaust FW 1980,[4022-656-73531]  Pipe clamp exhaust FW 1980_86.0,86,2025-06-26 02:00:00,Available
__export__.mrp_production_4372_507a54db,20,[216121-0007]  YS gripper detect mirro block,[216121-0007]  YS gripper detect mirro block_71.0,71,2025-07-09 02:00:00,Available
__export__.mrp_production_4315_9685bbb0,22,[4022-637-24142]  HINGE BLOCK FIXED RF,[4022-637-24142]  HINGE BLOCK FIXED RF_44.0,44,2025-07-11 02:00:00,Available
__export__.mrp_production_4353_d89b44b5,14,[349520-8007-000-0107]  BYPASS (BLOK),[349520-8007-000-0107]  BYPASS (BLOK)_187.0,187,2025-07-24 02:00:00,Available
__export__.mrp_production_4488_2c73b7e5,24,[4022-656-74553]  Assy support guide FW 1980,[4022-656-74553]  Assy support guide FW 1980_50.0,50,2025-07-28 02:00:00,
__export__.mrp_production_1197_849443cd,25,[1082700B]  Block cooling water TMP,[1082700B]  Block cooling water TMP_68.0,68,2025-12-31 00:00:00,Available
__export__.mrp_production_4537_9e9f5b4c,27,[00385-00-321-A]  Plint fixing strip left,[00385-00-321-A]  Plint fixing strip left_189.0,189,2025-08-20 11:13:57,Available
__export__.mrp_production_4538_1037cce1,29,[00385-00-346-A]  Plint fixing strip right,[00385-00-346-A]  Plint fixing strip right_501.0,501,2025-08-20 11:14:05,Not Available
__export__.mrp_production_4370_ea015248,30,[216121-0005]  base wet stem quatro,[216121-0005]  base wet stem quatro_49.0,49,2025-09-19 02:00:00,Available
__export__.mrp_production_4694_32ee4fbd,32,[P1538-M9011-01]  Probe Holder TYPE AA,[P1538-M9011-01]  Probe Holder TYPE AA_2.0,2,2025-08-22 02:00:00,Exp 04/09/2025
__export__.mrp_production_4695_6a7cbaf5,34,[P1538-M9010-00]  Base_Plate,[P1538-M9010-00]  Base_Plate_2.0,2,2025-08-22 02:00:00,Available
__export__.mrp_production_4542_91f6e67f,36,[4022-635-87282]  LOCKING PLATE,[4022-635-87282]  LOCKING PLATE_428.0,428,2025-09-05 13:00:00,Available
__export__.mrp_production_4593_b4e857db,38,[4598-008-08901B POS 1]  CEILING INLET*,[4598-008-08901B POS 1]  CEILING INLET*_761.0,761,2025-12-31 00:00:00,Available
__export__.mrp_production_4501_d08a63ff,40,[4022.666.20971-TBRM MCH]  WTP IM MK6 BRACKET RING,[4022.666.20971-TBRM MCH]  WTP IM MK6 BRACKET RING_500.0,500,2025-09-02 02:00:00,Available
__export__.mrp_production_4808_a7f1fb7f,42,[4022.644.9779]  NXE NH Gripper LVL Tool Cover,[4022.644.9779]  NXE NH Gripper LVL Tool Cover_1.0,1,2025-09-02 09:34:29,Exp 16/09/2025
__export__.mrp_production_4654_d6430928,44,[4022.622.61761]  RH RED EBOX MONO,[4022.622.61761]  RH RED EBOX MONO_1.0,1,2025-09-04 02:00:00,Available
__export__.mrp_production_4751_66f93fbe,46,"[7005-2540-0007]  C beam v01-03 / 07201507 - Drawing in RED (40 x 40 x 5mm, welded tube)","[7005-2540-0007]  C beam v01-03 / 07201507 - Drawing in RED (40 x 40 x 5mm, welded tube)_16.0",16,2025-09-08 02:00:00,Available
__export__.mrp_production_4690_a8692658,48,[00385-00-102-C]  Height bearing clamp plate,[00385-00-102-C]  Height bearing clamp plate_374.0,374,2025-10-09 14:11:50,Available
__export__.mrp_production_4431_8f774222,50,[4022.689.94931]  RH RED DP PT LOWER COVER ,[4022.689.94931]  RH RED DP PT LOWER COVER _1.0,1,2025-09-12 02:00:00,Available
__export__.mrp_production_4432_1b0065fa,52,[4022.689.94981]  RH RED DP PT UPPER COVER ,[4022.689.94981]  RH RED DP PT UPPER COVER _1.0,1,2025-09-12 02:00:00,Exp 16/09/2025
