PredecessorID,SuccessorID,Multiplier
__export__.product_product_16215_287d75f5,15889.0,1
__export__.product_product_14190_b2f6cfa7,14975.0,1
__export__.product_product_14154_75692b32,16893.0,1
__export__.product_product_15116_26d7d7fd,14910.0,1
__export__.product_product_14170_ab4f36b5,14961.0,1
__export__.product_product_14191_eab5834c,14907.0,1
__export__.product_product_15090_ae4a700a,14908.0,1
__export__.product_product_15101_5dce5b8d,15021.0,1
__export__.product_product_14485_407ff3ad,7366.0,1
__export__.product_product_14149_55705e3a,14895.0,1
__export__.product_product_15108_e3fe93a6,15022.0,1
__export__.product_product_18353_f07b016c,18212.0,1
__export__.product_product_17313_9cdb5eb7,7034.0,1
__export__.product_product_18408_336c82d0,18304.0,1
__export__.product_product_14199_79840166,14892.0,1
__export__.product_product_14198_828edea3,14886.0,1
__export__.product_product_17605_d1ef1d9f,17481.0,1
__export__.product_product_17604_d75bd19d,17484.0,1
__export__.product_product_14407_1cda6887,17465.0,1
__export__.product_product_14407_1cda6887,17477.0,1
__export__.product_product_14407_1cda6887,17459.0,1
__export__.product_product_18569_1917b1b9,18475.0,1
__export__.product_product_17606_b972fa2d,17519.0,1
__export__.product_product_14180_b574d432,14976.0,1
__export__.product_product_14168_8e5a951b,14958.0,1
__export__.product_product_14178_606b24aa,14954.0,1
__export__.product_product_15094_490f9528,15041.0,1
__export__.product_product_14152_7df8680e,14888.0,1
__export__.product_product_14199_79840166,14890.0,1
__export__.product_product_14201_02d1168d,14891.0,1
__export__.product_product_17624_73707cca,17087.0,1
__export__.product_product_16616_0f026687,18142.0,1
__export__.product_product_16262_062fd235,16257.0,1
__export__.product_product_14167_a3f963d3,14923.0,1
__export__.product_product_17008_b36cccae,17993.0,1
__export__.product_product_17403_35732fb0,18484.0,1
__export__.product_product_17381_95528666,14210.0,1
__export__.product_product_15106_3345092e,14894.0,1
__export__.product_product_15120_10aecd71,14932.0,1
__export__.product_product_16323_9b13f8a6,16115.0,1
__export__.product_product_15112_c44437c2,14985.0,1
__export__.product_product_14206_bee047c5,14969.0,1
__export__.product_product_15109_d51d8015,14918.0,1
__export__.product_product_14176_d2113b2d,14962.0,1
__export__.product_product_18250_19c78435,18078.0,1
__export__.product_product_14170_ab4f36b5,14950.0,1
__export__.product_product_17397_606c4f38,17395.0,1
__export__.product_product_14169_f83ba71e,15023.0,1
__export__.product_product_15107_d0c7b2b3,15017.0,1
__export__.product_product_14150_a5d5cc8b,15017.0,1
