JobID,Quantity,Deadline,OrderID,ProductID,OperationID
2,4,2025-10-22,__export__.mrp_production_4703_9eee2266,120,217
3,4,2025-10-20,__export__.mrp_production_4703_9eee2266,120,216
4,4,2025-10-20,__export__.mrp_production_4703_9eee2266,120,215
5,4,2025-10-31,__export__.mrp_production_4848_336bef31,157,228
6,4,2025-10-31,__export__.mrp_production_4848_336bef31,157,227
7,633,2025-10-31,__export__.mrp_production_4692_3ecd6c55,124,226
8,633,2025-10-29,__export__.mrp_production_4692_3ecd6c55,124,225
9,633,2025-10-29,__export__.mrp_production_4692_3ecd6c55,124,224
10,633,2025-10-27,__export__.mrp_production_4692_3ecd6c55,124,223
11,633,2025-10-27,__export__.mrp_production_4692_3ecd6c55,124,222
12,40,2025-11-03,__export__.mrp_production_4875_38ec7d1f,72,145
13,40,2025-10-30,__export__.mrp_production_4875_38ec7d1f,72,144
14,40,2025-10-29,__export__.mrp_production_4875_38ec7d1f,72,143
15,40,2025-10-29,__export__.mrp_production_4875_38ec7d1f,72,142
16,40,2025-10-29,__export__.mrp_production_4875_38ec7d1f,72,141
17,27,2025-12-31,__export__.mrp_production_1104_d3ae4426,7,16
18,27,2025-12-31,__export__.mrp_production_1104_d3ae4426,7,15
19,27,2025-12-31,__export__.mrp_production_1104_d3ae4426,7,14
20,27,2025-12-30,__export__.mrp_production_1104_d3ae4426,7,13
21,27,2025-12-30,__export__.mrp_production_1104_d3ae4426,7,12
22,68,2025-12-31,__export__.mrp_production_1197_849443cd,25,56
23,68,2025-12-31,__export__.mrp_production_1197_849443cd,25,55
24,68,2025-12-31,__export__.mrp_production_1197_849443cd,25,54
25,68,2025-12-30,__export__.mrp_production_1197_849443cd,25,53
26,761,2025-12-31,__export__.mrp_production_4593_b4e857db,38,91
27,761,2025-12-18,__export__.mrp_production_4593_b4e857db,38,90
28,761,2025-12-16,__export__.mrp_production_4593_b4e857db,38,89
29,761,2025-12-11,__export__.mrp_production_4593_b4e857db,38,88
30,761,2025-11-21,__export__.mrp_production_4593_b4e857db,38,87
31,761,2025-11-21,__export__.mrp_production_4593_b4e857db,38,86
32,14,2025-12-29,__export__.mrp_production_4893_d2806c1c,99,186
33,14,2025-12-18,__export__.mrp_production_4893_d2806c1c,99,185
34,14,2025-12-18,__export__.mrp_production_4893_d2806c1c,99,184
35,40,2026-01-02,__export__.mrp_production_4686_6722c6ae,176,236
36,40,2026-01-02,__export__.mrp_production_4686_6722c6ae,176,235
37,40,2026-01-02,__export__.mrp_production_4686_6722c6ae,176,234
38,40,2026-01-02,__export__.mrp_production_4686_6722c6ae,176,233
39,40,2026-01-02,__export__.mrp_production_4686_6722c6ae,176,232
40,40,2026-02-09,__export__.mrp_production_4683_3c974083,111,205
41,40,2026-02-09,__export__.mrp_production_4683_3c974083,111,204
42,40,2026-02-09,__export__.mrp_production_4683_3c974083,111,203
43,40,2026-02-09,__export__.mrp_production_4683_3c974083,111,202
44,40,2026-02-09,__export__.mrp_production_4683_3c974083,111,201
45,40,2026-02-09,__export__.mrp_production_4682_124f4246,177,241
46,40,2026-02-09,__export__.mrp_production_4682_124f4246,177,240
47,40,2026-02-09,__export__.mrp_production_4682_124f4246,177,239
48,40,2026-02-09,__export__.mrp_production_4682_124f4246,177,238
49,40,2026-02-09,__export__.mrp_production_4682_124f4246,177,237
