ResourceID,Day,ShiftNo,JobID,SchStart,SchCompletion
__export__.mrp_workcenter_63_98a7a00b,2025-11-24,1,5,9.0,9.7
__export__.mrp_workcenter_63_98a7a00b,2025-11-24,1,15,9.7,17.0
__export__.mrp_workcenter_63_98a7a00b,2025-11-24,2,15,17.0,22.633333333333333
__export__.mrp_workcenter_54_3f0243e1,2025-11-24,1,22,9.666666666666666,15.166666666666666
__export__.mrp_workcenter_54_3f0243e1,2025-11-24,1,27,15.166666666666666,17.0
__export__.mrp_workcenter_54_3f0243e1,2025-11-24,2,27,17.0,19.333333333333332
__export__.mrp_workcenter_54_3f0243e1,2025-11-24,2,32,19.333333333333332,23.5
__export__.mrp_workcenter_54_3f0243e1,2025-11-26,1,8,57.0,64.16666666666667
__export__.mrp_workcenter_54_3f0243e1,2025-12-08,1,13,345.0,353.0
__export__.mrp_workcenter_54_3f0243e1,2025-12-08,2,13,353.0,361.0
__export__.mrp_workcenter_54_3f0243e1,2025-12-09,1,13,369.0,377.0
__export__.mrp_workcenter_54_3f0243e1,2025-12-09,2,13,377.0,385.0
__export__.mrp_workcenter_54_3f0243e1,2025-12-10,1,13,393.0,401.0
__export__.mrp_workcenter_54_3f0243e1,2025-12-10,2,13,401.0,409.0
__export__.mrp_workcenter_54_3f0243e1,2025-12-11,1,13,417.0,421.23333333333335
__export__.mrp_workcenter_66_9f807a30,2025-11-24,1,21,15.166666666666666,16.5
__export__.mrp_workcenter_66_9f807a30,2025-11-24,2,26,19.333333333333332,20.666666666666664
__export__.mrp_workcenter_66_9f807a30,2025-11-24,2,31,23.5,24.833333333333332
__export__.mrp_workcenter_66_9f807a30,2025-11-26,2,7,65.0,70.66666666666667
__export__.mrp_workcenter_66_9f807a30,2025-11-28,1,2,105.0,106.8
__export__.mrp_workcenter_68_8bff6631,2025-11-24,2,19,17.666666666666668,25.0
__export__.mrp_workcenter_68_8bff6631,2025-11-24,2,24,21.333333333333332,25.0
__export__.mrp_workcenter_68_8bff6631,2025-11-25,1,19,33.0,41.0
__export__.mrp_workcenter_68_8bff6631,2025-11-25,1,24,33.0,41.0
__export__.mrp_workcenter_68_8bff6631,2025-11-25,1,29,33.666666666666664,41.0
__export__.mrp_workcenter_68_8bff6631,2025-11-25,2,19,41.0,49.0
__export__.mrp_workcenter_68_8bff6631,2025-11-25,2,24,41.0,49.0
__export__.mrp_workcenter_68_8bff6631,2025-11-25,2,29,41.0,49.0
__export__.mrp_workcenter_68_8bff6631,2025-11-26,1,19,57.0,65.0
__export__.mrp_workcenter_68_8bff6631,2025-11-26,1,24,57.0,65.0
__export__.mrp_workcenter_68_8bff6631,2025-11-26,1,29,57.0,65.0
__export__.mrp_workcenter_68_8bff6631,2025-11-26,2,19,65.0,73.0
__export__.mrp_workcenter_68_8bff6631,2025-11-26,2,24,65.0,73.0
__export__.mrp_workcenter_68_8bff6631,2025-11-26,2,29,65.0,73.0
__export__.mrp_workcenter_68_8bff6631,2025-11-27,1,19,81.0,89.0
__export__.mrp_workcenter_68_8bff6631,2025-11-27,1,24,81.0,89.0
__export__.mrp_workcenter_68_8bff6631,2025-11-27,1,29,81.0,89.0
__export__.mrp_workcenter_68_8bff6631,2025-11-27,2,19,89.0,97.0
__export__.mrp_workcenter_68_8bff6631,2025-11-27,2,24,89.0,97.0
__export__.mrp_workcenter_68_8bff6631,2025-11-27,2,29,89.0,97.0
__export__.mrp_workcenter_68_8bff6631,2025-11-28,1,19,105.0,113.0
__export__.mrp_workcenter_68_8bff6631,2025-11-28,1,24,105.0,113.0
__export__.mrp_workcenter_68_8bff6631,2025-11-28,1,29,105.0,113.0
__export__.mrp_workcenter_68_8bff6631,2025-11-28,2,19,113.0,121.0
__export__.mrp_workcenter_68_8bff6631,2025-11-28,2,24,113.0,121.0
