OperationID,Name,ProcessTime
0,Material prep _ bracket,0
1,Milling _ bracket,0
2,BW - Benchwork _ bracket,0
3,Packaging _ bracket,0
4,Chromisin_ bracket,0
5,Material prep _ Block cooling water tmp,0
6,Milling _ Block cooling water tmp,0
7,BW - Benchwork _ Block cooling water tmp,0
8,Packaging _ Block cooling water tmp,0
9,Material prep _ Filterhouder Ni 0.02mm,0
10,Milling _ Filterhouder Ni 0.02mm,0
11,BW - Benchwork _ Filterhouder Ni 0.02mm,0
12,Packaging _ Filterhouder Ni 0.02mm,0
13,Zage_ Stroke Limiter Plate RX-L / 26223907,0
14,Millin_ Stroke Limiter Plate RX-L / 26223907,0
15,Material prep _ geleideblok spanrol,0
16,Milling _ geleideblok spanrol,0
17,Anodisin_ geleideblok spanrol,0
18,Packaging _ geleideblok spanrol,0
19,Material prep _ Height bearing clamp plate,0
20,Milling _ Height bearing clamp plate,0
21,Paintin_ Height bearing clamp plate,0
22,Packaging _ Height bearing clamp plate,0
23,"Pre-cutted, picking onl_ Tensioner plate",0
24,Milling _ Tensioner plate,0
25,BW - Benchwork _ Tensioner plate,0
26,Packaging _ Tensioner plate,0
27,Material prep _ Filling block,0
28,Milling _ Filling block,0
29,BW - Benchwork _ Filling block,0
30,Packaging _ Filling block,0
31,Material prep _ Plint adjust strip,0
32,Milling _ Plint adjust strip,0
33,BW - Benchwork _ Plint adjust strip,0
34,Passivatin_ Plint adjust strip,0
35,Packaging _ Plint adjust strip,0
36,Material prep _ Plint fixing strip left,0
37,Milling _ Plint fixing strip left,0
38,BW - Benchwork _ Plint fixing strip left,0
39,Passivatin_ Plint fixing strip left,0
40,Packaging _ Plint fixing strip left,0
41,Material prep _ End plate finger safety hinge,0
42,Milling _ End plate finger safety hinge,0
43,BW - Benchwork _ End plate finger safety hinge,0
44,Passivatin_ End plate finger safety hinge,0
45,Packaging _ End plate finger safety hinge,0
46,Automatic Sawing _ Plint fixing strip right,0
47,Milling _ Plint fixing strip right,0
48,BW - Benchwork _ Plint fixing strip right,0
49,Passivatin_ Plint fixing strip right,0
50,Packaging _ Plint fixing strip right,0
51,Picking _ C//[Q] cradle block,0
52,Milling _ C//[Q] cradle block,0
53,Packaging _ C//[Q] cradle block,0
54,Material prep _ Arret lever,0
55,Milling _ Arret lever,0
56,BW - Benchwork _ Arret lever,0
57,Packaging _ Arret lever,0
58,Material prep _ XD F&T plate plug,0
59,Milling _ XD F&T plate plug,0
60,BW - Benchwork _ XD F&T plate plug,0
61,Cleanin_ XD F&T plate plug,0
62,Packaging _ XD F&T plate plug,0
63,Material prep _ bma plug 2,0
64,Milling _ bma plug 2,0
65,BW - Benchwork _ bma plug 2,0
66,Cleanin_ bma plug 2,0
67,Packaging _ bma plug 2,0
68,Material prep _ F&T Y-D plug 1,0
69,Milling _ F&T Y-D plug 1,0
70,BW - Benchwork _ F&T Y-D plug 1,0
71,Cleanin_ F&T Y-D plug 1,0
72,Packaging _ F&T Y-D plug 1,0
73,Material prep _ RCW plug 1,0
74,Milling _ RCW plug 1,0
75,BW - Benchwork _ RCW plug 1,0
76,Cleanin_ RCW plug 1,0
77,Packaging _ RCW plug 1,0
78,Material prep _ RCW plug 2,0
79,Milling _ RCW plug 2,0
80,BW - Benchwork _ RCW plug 2,0
81,Cleanin_ RCW plug 2,0
82,Packaging _ RCW plug 2,0
83,Material prep _ Valve body 3-way 2 sensors,0
84,Milling _ Valve body 3-way 2 sensors,0
85,BW - Benchwork _ Valve body 3-way 2 sensors,0
86,Anodisin_ Valve body 3-way 2 sensors,0
87,Packaging _ Valve body 3-way 2 sensors,0
88,Material prep _ Manifold coolant banjo M14,0
89,Milling _ Manifold coolant banjo M14,0
90,BW - Benchwork _ Manifold coolant banjo M14,0
91,Anodisin_ Manifold coolant banjo M14,0
92,Packaging _ Manifold coolant banjo M14,0
93,Material prep _ Filler block CNG,0
94,Milling _ Filler block CNG,0
95,BW - Benchwork _ Filler block CNG,0
96,Anodisin_ Filler block CNG,0
97,Packaging _ Filler block CNG,0
98,Material prep _ ADJ.PLATE 2 OBJ.,0
99,Milling _ ADJ.PLATE 2 OBJ.,0
100,BW - Benchwork _ ADJ.PLATE 2 OBJ.,0
101,Packaging _ ADJ.PLATE 2 OBJ.,0
102,Material prep _ Cord Bracket,0
103,Milling _ Cord Bracket,0
104,BW - Benchwork _ Cord Bracket,0
105,Packaging _ Cord Bracket,0
106,"Material prep _ CLAMP,PIPE,NIC",0
107,"Milling _ CLAMP,PIPE,NIC",0
108,"BW - Benchwork _ CLAMP,PIPE,NIC",0
109,"Packaging _ CLAMP,PIPE,NIC",0
110,Material prep _ Block cooling water TMP,0
111,Milling _ Block cooling water TMP,0
112,BW - Benchwork _ Block cooling water TMP,0
113,Packaging _ Block cooling water TMP,0
114,Picking _ base wet stem quatro,0
115,Milling _ base wet stem quatro,0
116,BW - Benchwork _ base wet stem quatro,0
117,Sandblastin_ base wet stem quatro,0
118,Nickel platin_ base wet stem quatro,0
119,Packaging _ base wet stem quatro,0
120,"Material prep - automatic sawing _ shackle, height adjust",0
121,"Milling _ shackle, height adjust",0
122,"Packaging _ shackle, height adjust",0
123,"Sawin_ fixing block, actuator",0
124,"Milling _ fixing block, actuator",0
125,"Packaging _ fixing block, actuator",0
126,"Millin_ intercon.panel,R-STEM",0
127,"Packaging _ intercon.panel,R-STEM",0
128,Milling - OP_ Cable clamp,0
129,Packaging _ Cable clamp,0
130,Material prep _ BYPASS (BLOK),0
131,Milling _ BYPASS (BLOK),0
132,BW - Benchwork _ BYPASS (BLOK),0
133,Packaging _ BYPASS (BLOK),0
134,Material prep _ Excenter housing z,0
135,Milling _ Excenter housing z,0
136,BW - Benchwork _ Excenter housing z,0
137,Packaging _ Excenter housing z,0
138,Material prep _ Bearing housing spindle (rev F),0
139,Milling _ Bearing housing spindle (rev F),0
140,BW - Benchwork _ Bearing housing spindle (rev F),0
141,Packaging _ Bearing housing spindle (rev F),0
142,Material prep _ lagerblok,0
143,Milling _ lagerblok,0
144,BW - Benchwork _ lagerblok,0
145,Packaging _ lagerblok,0
146,Material prep _ dr pnt cilinder,0
147,Milling _ dr pnt cilinder,0
148,Passivatin_ dr pnt cilinder,0
149,BW - Benchwork _ dr pnt cilinder,0
150,Packaging _ dr pnt cilinder,0
151,Picking _ BRIL,0
152,Milling _ BRIL,0
153,BW - Benchwork _ BRIL,0
154,Packaging _ BRIL,0
155,Material prep _ DUMMY KRISTAL,0
156,Milling _ DUMMY KRISTAL,0
157,BW - Benchwork _ DUMMY KRISTAL,0
158,Packaging _ DUMMY KRISTAL,0
159,Material prep _ KIJKERHOUDER,0
160,Milling _ KIJKERHOUDER,0
161,BW - Benchwork _ KIJKERHOUDER,0
162,Anodisin_ KIJKERHOUDER,0
163,Packaging _ KIJKERHOUDER,0
164,Material prep _ Filterhouder Cu 0.1,0
165,Milling _ Filterhouder Cu 0.1,0
166,BW - Benchwork _ Filterhouder Cu 0.1,0
167,Packaging _ Filterhouder Cu 0.1,0
168,Material prep _ Filterh. Cu0.2 Ni0.02,0
169,Milling _ Filterh. Cu0.2 Ni0.02,0
170,BW - Benchwork _ Filterh. Cu0.2 Ni0.02,0
171,Packaging _ Filterh. Cu0.2 Ni0.02,0
172,Material prep _ filter holder,0
173,Milling _ filter holder,0
174,BW - Benchwork _ filter holder,0
175,Packaging _ filter holder,0
176,Material prep _ HOLDER FOR SHUTTER,0
177,Milling _ HOLDER FOR SHUTTER,0
178,BW - Benchwork _ HOLDER FOR SHUTTER,0
179,Packaging _ HOLDER FOR SHUTTER,0
180,Material prep _ arret holder,0
181,Milling _ arret holder,0
182,BW - Benchwork _ arret holder,0
183,Packaging _ arret holder,0
184,Picking _ RING,0
185,Milling _ RING,0
186,BW - Benchwork _ RING,0
187,Nickel platin_ RING,0
188,Packaging _ RING,0
189,Material prep _ Sensorblock,0
190,Milling _ Sensorblock,0
191,BW - Benchwork _ Sensorblock,0
192,Packaging _ Sensorblock,0
193,Material prep _ POST 2,0
194,Milling _ POST 2,0
195,BW - Benchwork _ POST 2,0
196,Packaging _ POST 2,0
197,Material prep _ post 4,0
198,Milling _ post 4,0
199,BW - Benchwork _ post 4,0
200,Packaging _ post 4,0
201,Material prep _ post 5,0
202,Milling _ post 5,0
203,BW - Benchwork _ post 5,0
204,Packaging _ post 5,0
205,Material prep _ post 7,0
206,Milling _ post 7,0
207,Packaging _ post 7,0
208,Material prep _ LENSGAS INTERFACE BLOCK,0
209,Milling _ LENSGAS INTERFACE BLOCK,0
210,BW - Benchwork _ LENSGAS INTERFACE BLOCK,0
211,Packaging _ LENSGAS INTERFACE BLOCK,0
212,Material prep _ 1/2TE Compens Guide 160mm,0
213,Milling _ 1/2TE Compens Guide 160mm,0
214,BW - Benchwork _ 1/2TE Compens Guide 160mm,0
215,Packaging _ 1/2TE Compens Guide 160mm,0
216,Material prep _ Temp Sensor Block,0
217,Milling _ Temp Sensor Block,0
218,BW - Benchwork _ Temp Sensor Block,0
219,Anodisin_ Temp Sensor Block,0
220,Packaging _ Temp Sensor Block,0
221,Material prep _ UPPER CABLE CLAMP,0
222,Milling _ UPPER CABLE CLAMP,0
223,BW - Benchwork _ UPPER CABLE CLAMP,0
224,Anodisin_ UPPER CABLE CLAMP,0
