ProductID,ProductNumber,Name,StockLevel
0,BD50-5075-011-E, bracket,0
1,BD50-5075-013F, bracket,0
2,BD50-5075-015F, bracket,0
3,BD50-5085-007-C, bracket,0
4,BD50-5085-009-C, bracket,0
5,BD50-5085-011-C, bracket,0
6,1078121B, Block cooling water tmp,0
7,4022-335-19371, Filterhouder Ni 0.02mm,0
8,7005-2580-0004, Stroke Limiter Plate RX-L / 26223907,0
9,7005-2480-0110, Top Cover / N26241003V01-01,0
10,7005-2480-0100," Bottom Cover / N26241002V01-01
",0
11,7005-2480-0010, JH Top Cover / N26241508V01-01,0
12,7005-2480-0000, JH Bottom Cover / N26241507V01-01,0
13,00236-05-103-C, geleideblok spanrol,0
14,00385-00-102-C, Height bearing clamp plate,0
15,00385-00-113A, Tensioner plate,0
16,00385-00-274-D, Filling block,0
17,00385-00-320-A, Plint adjust strip,0
18,00385-00-321-A, Plint fixing strip left,0
19,00385-00-329-A, End plate finger safety hinge,0
20,00385-00-346-A, Plint fixing strip right,0
21,00429-00-166 C, C//[Q] cradle block,0
22,00429-00-249-A, Plint adjust strip,0
23,00429-00-662-B, Arret lever,0
24,00522-01564-A, XD F&T plate plug,0
25,00522-01696-A, bma plug 2,0
26,00522-01698-A, F&T Y-D plug 1,0
27,00522-01717-A, RCW plug 1,0
28,00522-01718-A, RCW plug 2,0
29,080-810005-A2, Valve body 3-way 2 sensors,0
30,082-000020-A1, Manifold coolant banjo M14,0
31,095-500029-A 1, Filler block CNG,0
32,1001823A, ADJ.PLATE 2 OBJ.,0
33,1011113A, Cord Bracket,0
34,1012609B," CLAMP,PIPE,NIC",0
35,1082700B, Block cooling water TMP,0
36,1200745A, base wet stem quatro,0
37,1202210A," shackle, height adjust",0
38,1202211B," fixing block, actuator",0
39,1202461A," intercon.panel,R-STEM",0
40,1207568A, Cable clamp,0
41,349520-8007-000-0107, BYPASS (BLOK),0
42,4022-290-63221-D, Excenter housing z,0
43,4022-290-63321F, Bearing housing spindle (rev F),0
44,4022-333-11506, lagerblok,0
45,4022-333-13805, dr pnt cilinder,0
46,4022-333-19505, BRIL,0
47,4022-333-40501, DUMMY KRISTAL,0
48,4022-333-58172, KIJKERHOUDER,0
49,4022-333-58791, Filterhouder Cu 0.1,0
50,4022-335-17991, Filterh. Cu0.2 Ni0.02,0
51,4022-335-71012, filter holder,0
52,4022-337-30992, HOLDER FOR SHUTTER,0
53,4022-337-33842, arret holder,0
54,4022-454-25012, RING,0
55,4022-455-01702, Sensorblock,0
56,4022-455-09992, POST 2,0
57,4022-455-099943, post 4,0
58,4022-455-099953, post 5,0
59,4022-455-09997-3, post 7,0
60,4022-456-08803, LENSGAS INTERFACE BLOCK,0
61,4022-470-85441, 1/2TE Compens Guide 160mm,0
62,4022-481-55761, Temp Sensor Block,0
63,4022-481-65971/20, UPPER CABLE CLAMP,0
64,4022-484-40911, Al fcp anti loss screw plate,0
65,4022-484-40921, Al fcp switch holder,0
66,4022-486-33041, Connector Block,0
67,4022-486-73851/40, Cable Clamp Base (M5),0
