ProductID,OperationID,OperationIndex
0,773,0
0,773,1
0,773,2
0,773,3
0,773,4
0,773,5
1,773,0
1,773,1
1,773,2
1,773,3
1,773,4
1,773,5
2,773,0
2,773,1
2,773,2
2,773,3
2,773,4
2,773,5
3,773,0
3,773,1
3,773,2
3,773,3
3,773,4
3,773,5
4,773,0
4,773,1
4,773,2
4,773,3
4,773,4
4,773,5
5,773,0
5,773,1
5,773,2
5,773,3
5,773,4
5,773,5
6,773,0
6,773,1
6,773,2
6,773,3
6,773,4
7,773,0
7,773,1
7,773,2
7,773,3
8,773,0
8,773,1
13,773,0
13,773,1
13,773,2
13,773,3
13,773,4
14,773,0
14,773,1
14,773,2
14,773,3
14,773,4
15,773,0
15,773,1
15,773,2
15,773,3
16,773,0
16,773,1
16,773,2
16,773,3
16,773,4
17,773,0
17,773,1
17,773,2
17,773,3
17,773,4
18,773,0
18,773,1
18,773,2
18,773,3
18,773,4
18,773,5
19,773,0
19,773,1
19,773,2
19,773,3
19,773,4
20,773,0
20,773,1
20,773,2
20,773,3
20,773,4
20,773,5
21,773,0
21,773,1
21,773,2
22,773,0
22,773,1
22,773,2
22,773,3
22,773,4
23,773,0
23,773,1
23,773,2
23,773,3
24,773,0
24,773,1
24,773,2
24,773,3
24,773,4
24,773,5
25,773,0
25,773,1
25,773,2
25,773,3
25,773,4
25,773,5
26,773,0
26,773,1
26,773,2
26,773,3
26,773,4
26,773,5
27,773,0
27,773,1
27,773,2
27,773,3
27,773,4
27,773,5
28,773,0
28,773,1
28,773,2
28,773,3
28,773,4
28,773,5
29,773,0
29,773,1
29,773,2
29,773,3
29,773,4
29,773,5
29,773,6
30,773,0
30,773,1
30,773,2
30,773,3
30,773,4
30,773,5
31,773,0
31,773,1
31,773,2
31,773,3
31,773,4
31,773,5
32,773,0
32,773,1
32,773,2
32,773,3
32,773,4
33,773,0
33,773,1
33,773,2
33,773,3
33,773,4
34,773,0
34,773,1
34,773,2
34,773,3
34,773,4
35,773,0
35,773,1
35,773,2
35,773,3
35,773,4
36,773,0
36,773,1
36,773,2
36,773,3
36,773,4
36,773,5
36,773,6
36,773,7
36,773,8
37,773,0
37,773,1
37,773,2
38,773,0
38,773,1
38,773,2
39,773,0
39,773,1
40,773,0
40,773,1
41,773,0
41,773,1
41,773,2
41,773,3
41,773,4
42,773,0
42,773,1
42,773,2
42,773,3
42,773,4
43,773,0
43,773,1
43,773,2
43,773,3
43,773,4
43,773,5
44,773,0
44,773,1
44,773,2
44,773,3
44,773,4
44,773,5
45,773,0
45,773,1
45,773,2
45,773,3
45,773,4
45,773,5
46,773,0
46,773,1
46,773,2
46,773,3
47,773,0
47,773,1
47,773,2
47,773,3
48,773,0
48,773,1
48,773,2
48,773,3
48,773,4
48,773,5
49,773,0
49,773,1
49,773,2
49,773,3
50,773,0
50,773,1
50,773,2
50,773,3
51,773,0
51,773,1
51,773,2
51,773,3
51,773,4
52,773,0
52,773,1
52,773,2
52,773,3
52,773,4
52,773,5
52,773,6
53,773,0
53,773,1
53,773,2
53,773,3
53,773,4
53,773,5
53,773,6
54,773,0
54,773,1
54,773,2
54,773,3
54,773,4
54,773,5
55,773,0
55,773,1
55,773,2
55,773,3
55,773,4
56,773,0
56,773,1
56,773,2
56,773,3
56,773,4
57,773,0
57,773,1
57,773,2
57,773,3
57,773,4
58,773,0
58,773,1
58,773,2
58,773,3
58,773,4
59,773,0
59,773,1
59,773,2
59,773,3
60,773,0
60,773,1
60,773,2
60,773,3
60,773,4
60,773,5
61,773,0
61,773,1
61,773,2
61,773,3
61,773,4
62,773,0
62,773,1
62,773,2
62,773,3
62,773,4
62,773,5
63,773,0
63,773,1
63,773,2
63,773,3
63,773,4
63,773,5
65,773,0
65,773,1
65,773,2
65,773,3
65,773,4
65,773,5
66,773,0
66,773,1
66,773,2
66,773,3
66,773,4
66,773,5
67,773,0
67,773,1
67,773,2
67,773,3
67,773,4
67,773,5
68,773,0
68,773,1
68,773,2
68,773,3
69,773,0
69,773,1
69,773,2
69,773,3
69,773,4
70,773,0
70,773,1
70,773,2
70,773,3
70,773,4
71,773,0
71,773,1
71,773,2
71,773,3
71,773,4
72,773,0
72,773,1
72,773,2
72,773,3
72,773,4
73,773,0
73,773,1
73,773,2
73,773,3
73,773,4
211,773,0
211,773,1
211,773,2
211,773,3
211,773,4
211,773,5
75,773,0
75,773,1
75,773,2
75,773,3
75,773,4
76,773,0
76,773,1
76,773,2
76,773,3
76,773,4
77,773,0
77,773,1
77,773,2
77,773,3
77,773,4
78,773,0
78,773,1
78,773,2
78,773,3
78,773,4
79,773,0
79,773,1
79,773,2
79,773,3
79,773,4
80,773,0
80,773,1
80,773,2
80,773,3
80,773,4
81,773,0
81,773,1
81,773,2
81,773,3
81,773,4
82,773,0
82,773,1
82,773,2
82,773,3
82,773,4
83,773,0
83,773,1
83,773,2
83,773,3
83,773,4
84,773,0
84,773,1
84,773,2
84,773,3
84,773,4
84,773,5
85,773,0
85,773,1
85,773,2
85,773,3
85,773,4
85,773,5
85,773,6
85,773,7
86,773,0
86,773,1
86,773,2
86,773,3
86,773,4
87,773,0
87,773,1
87,773,2
87,773,3
87,773,4
88,773,0
88,773,1
88,773,2
88,773,3
88,773,4
89,773,0
89,773,1
89,773,2
89,773,3
89,773,4
90,773,0
90,773,1
90,773,2
90,773,3
90,773,4
91,773,0
91,773,1
91,773,2
91,773,3
91,773,4
92,773,0
92,773,1
92,773,2
92,773,3
92,773,4
92,773,5
93,773,0
93,773,1
93,773,2
93,773,3
93,773,4
94,773,0
94,773,1
94,773,2
94,773,3
94,773,4
94,773,5
96,773,0
96,773,1
96,773,2
96,773,3
96,773,4
96,773,5
97,773,0
97,773,1
97,773,2
97,773,3
97,773,4
98,773,0
98,773,1
98,773,2
98,773,3
98,773,4
99,773,0
99,773,1
99,773,2
99,773,3
99,773,4
99,773,5
99,773,6
100,773,0
100,773,1
100,773,2
100,773,3
100,773,4
101,773,0
101,773,1
101,773,2
101,773,3
101,773,4
102,773,0
102,773,1
102,773,2
102,773,3
102,773,4
102,773,5
103,773,0
103,773,1
103,773,2
103,773,3
103,773,4
104,773,0
104,773,1
104,773,2
104,773,3
106,773,0
106,773,1
106,773,2
106,773,3
106,773,4
107,773,0
107,773,1
107,773,2
107,773,3
107,773,4
108,773,0
108,773,1
108,773,2
108,773,3
111,773,0
111,773,1
111,773,2
111,773,3
111,773,4
112,773,0
112,773,1
112,773,2
112,773,3
113,773,0
113,773,1
113,773,2
113,773,3
114,773,0
114,773,1
114,773,2
114,773,3
114,773,4
114,773,5
115,773,0
115,773,1
115,773,2
115,773,3
115,773,4
116,773,0
116,773,1
116,773,2
116,773,3
117,773,0
117,773,1
117,773,2
117,773,3
118,773,0
118,773,1
118,773,2
118,773,3
118,773,4
118,773,5
118,773,6
119,773,0
119,773,1
119,773,2
119,773,3
119,773,4
120,773,0
120,773,1
120,773,2
120,773,3
120,773,4
120,773,5
120,773,6
121,773,0
121,773,1
121,773,2
121,773,3
121,773,4
121,773,5
124,773,0
124,773,1
124,773,2
125,773,0
125,773,1
125,773,2
126,773,0
126,773,1
126,773,2
126,773,3
126,773,4
126,773,5
126,773,6
126,773,7
126,773,8
126,773,9
127,773,0
127,773,1
127,773,2
127,773,3
127,773,4
128,773,0
128,773,1
128,773,2
128,773,3
128,773,4
129,773,0
129,773,1
129,773,2
129,773,3
129,773,4
130,773,0
130,773,1
130,773,2
130,773,3
130,773,4
130,773,5
131,773,0
131,773,1
131,773,2
131,773,3
131,773,4
131,773,5
133,773,0
133,773,1
133,773,2
133,773,3
133,773,4
133,773,5
134,773,0
134,773,1
134,773,2
134,773,3
134,773,4
134,773,5
135,773,0
135,773,1
135,773,2
135,773,3
135,773,4
135,773,5
136,773,0
136,773,1
136,773,2
136,773,3
137,773,0
137,773,1
137,773,2
137,773,3
137,773,4
140,773,0
140,773,1
140,773,2
140,773,3
141,773,0
141,773,1
141,773,2
141,773,3
142,773,0
