OrderID,ProductID,ProductName,Name,Quantity,Deadline
0,13, geleideblok spanrol_[00236-05-103-C],S02854(00236-05-103-C),125,2025-04-23
1,23, Arret lever_[00429-00-662-B],S02854(00429-00-662-B),100,2025-04-30
2,368, [Q] excenter housing z_[1508130 B],S02854(1508130 B),50,2025-05-20
3,94, Hinge block fixed LM_[4022-637-29391],S02854(4022-637-29391),36,2025-06-04
4,187, bracket_[BD50-5085-013-C],S02849(BD50-5085-013-C),50,2025-05-14
5,107, Non loosable block M5_[4022-656-75212],S02847(4022-656-75212),40,2025-04-04
6,106, Non loosable block M4_[4022-656-75183],S02845(4022-656-75183),40,2025-04-04
7,5, bracket_[BD50-5085-011-C],S02842(BD50-5085-011-C),50,2025-05-14
8,3, bracket_[BD50-5085-007-C],S02840(BD50-5085-007-C),73,2025-05-28
9,4, bracket_[BD50-5085-009-C],S02838(BD50-5085-009-C),73,2025-05-21
10,2, bracket_[BD50-5075-015F],S02836(BD50-5075-015F),50,2025-05-28
11,1, bracket_[BD50-5075-013F],S02834(BD50-5075-013F),50,2025-05-21
12,46, BRIL_[4022-333-19505],S02832(4022-333-19505),100,2025-06-27
13,156, Carriage_[GF3116T006L],S02829(GF3116T006L),60,2025-04-25
14,38," fixing block, actuator_[1202211B]",S02818(1202211B),10,2025-05-16
15,92, Hinge Block Fixed RM_[4022-637-29301],S02818(4022-637-29301),52,2025-06-11
16,93, Hinge Block LM_[4022-637-29381],S02818(4022-637-29381),65,2025-04-22
17,361, C beam v01-03 / 07201507_[7005-2540-0001],S02814(7005-2540-0001),34,2025-04-01
18,14, Height bearing clamp plate_[00385-00-102-C],S02812(00385-00-102-C),150,2025-05-02
19,17, Plint adjust strip_[00385-00-320-A],S02812(00385-00-320-A),150,2025-04-23
20,18, Plint fixing strip left_[00385-00-321-A],S02812(00385-00-321-A),100,2025-05-07
21,19, End plate finger safety hinge_[00385-00-329-A],S02812(00385-00-329-A),275,2025-05-02
22,20, Plint fixing strip right_[00385-00-346-A],S02812(00385-00-346-A),100,2025-05-07
23,42, Excenter housing z_[4022-290-63221-D],S02812(4022-290-63221-D),82,2025-04-14
24,114, LSPH coverplate stud block_[4022-666-65702(R1)],S02812(4022-666-65702(R1)),75,2025-05-26
25,163, nul-graden arretsegment_[M0216-01-363-B],S02812(M0216-01-363-B),25,2025-05-21
26,355, gearbox side cover_[10005158B],S02807(10005158B),2,2025-03-27
27,356, bearing block small_[10007537A],S02807(10007537A),2,2025-03-27
28,297, TL 1 – Feet B / IAH _[7007-2500-0001],S02798(7007-2500-0001),1,2025-04-01
29,362, NXE RH Gripper LVL Tool Base_[4022.644.3272],S02793(4022.644.3272),1,2025-05-01
30,363, NXE NH Gripper LVL Tool Cover_[4022.644.9779],S02793(4022.644.9779),1,2025-05-01
31,364, RMFT Y-actuator power plug_[10007433A],S02779(10007433A),9,2025-04-14
32,56, POST 2_[4022-455-09992],S02777(4022-455-09992),12,2025-04-11
33,211, INTERFACE (ADJUSTABLE)_[4022-631-54801],S02775(4022-631-54801),10,2025-05-02
34,59, post 7_[4022-455-09997-3],S02773(4022-455-09997-3),10,2025-04-11
35,73, Interface (FIXED)_[4022-631-47801],S02771(4022-631-47801),12,2025-04-11
36,55, Sensorblock_[4022-455-01702],S02759(4022-455-01702),10,2025-05-28
37,77, Hinge Block LR2 (fixed)_[4022-631-80301],S02757(4022-631-80301),40,2025-04-18
38,33, Cord Bracket_[1011113A],S02755(1011113A),150,2025-05-09
39,35, Block cooling water TMP_[1082700B],S02753(1082700B),25,2025-05-15
40,358, HALFFAB_M_BLOCK_RH_RIGHT_[104009581],S02748(104009581),1,2025-04-01
41,359, HALFFAB_M_MOUNTING_BLCK_FRNT_R_[104009583],S02748(104009583),1,2025-04-01
42,360, HALFFAB_M_MOUNTING_BLCK_FRNT_L_[104009584],S02748(104009584),1,2025-04-01
43,357, HALFFAB_M_BLOCK_RH_LEFT_[104009586],S02748(104009586),1,2025-04-01
44,348, 02200903 encoder scale mount bracket V01-01 electropolished / 02200903 V01-01_[7005-2400-0100],S02723(7005-2400-0100),42,2025-04-01
45,342, P1464-M2060-01.stp_[7314593],S02739(7314593),2,2025-03-12
46,82, LCW ABS PRES SENS CONN BLOCK_[4022-631-99701],S02737(4022-631-99701),20,2025-04-11
47,155, bracket_[BD50-5075-009-E],S02735(BD50-5075-009-E),24,2025-04-04
48,15, Tensioner plate_[00385-00-113A],S02731(00385-00-113A),200,2025-04-09
49,22, Plint adjust strip_[00429-00-249-A],S02731(00429-00-249-A),200,2025-04-29
50,23, Arret lever_[00429-00-662-B],S02731(00429-00-662-B),100,2025-04-09
51,1, bracket_[BD50-5075-013F],S02729(BD50-5075-013F),16,2025-04-04
52,2, bracket_[BD50-5075-015F],S02722(BD50-5075-015F),24,2025-04-16
53,335, P1464-M1022-00.stp_[7308680],S02717(7308680),6,2025-03-11
54,334, P1464-M1012-00.stp_[7302598],S02715(7302598),6,2025-03-07
55,330, P1464-M2068-00.stp_[7289337],S02713(7289337),2,2025-03-10
56,331, P1464-M3030-00.stp_[7290605],S02713(7290605),14,2025-03-10
57,332, P1464-M3055-00.stp_[7291692],S02713(7291692),12,2025-03-10
58,333, P1464-M3201-00.stp_[7292240],S02713(7292240),4,2025-03-10
59,323, P1464-M2066-00.stp_[7282747],S02711(7282747),1,2025-03-12
60,324, P1464-M3103-00.stp_[7283800],S02711(7283800),4,2025-03-12
61,325, P1464-M3105-00.stp_[7284774],S02711(7284774),6,2025-03-12
62,326, P1464-M3203-00.stp_[7285159],S02711(7285159),8,2025-03-12
63,327, P1464-M3204-00.stp_[7286825],S02711(7286825),8,2025-03-12
64,328, P1464-M4001-00.stp_[7287806],S02711(7287806),2,2025-03-12
65,329, P1464-M4011-00.stp_[7288826],S02711(7288826),7,2025-03-12
66,314, P1464-M2020-00.stp_[7271654],S02709(7271654),2,2025-03-12
67,315, P1464-M2025-00.stp_[7272248],S02709(7272248),4,2025-03-12
68,316, P1464-M2029-00.stp_[7273889],S02709(7273889),1,2025-03-12
69,317, P1464-M2031-00.stp_[7274976],S02709(7274976),1,2025-03-12
70,318, P1464-M2045-00.stp_[7275100],S02709(7275100),1,2025-03-12
71,319, P1464-M2054-00.stp_[7276589],S02709(7276589),1,2025-03-12
72,320, P1464-M2055-00.stp_[7277682],S02709(7277682),1,2025-03-12
