ProductID,OperationID,OperationIndex
0,0,0
0,1,1
0,2,2
0,3,3
0,4,4
0,5,5
1,5,0
1,6,1
1,7,2
1,8,3
1,9,4
1,10,5
2,10,0
2,11,1
2,12,2
2,13,3
2,14,4
2,15,5
3,15,0
3,16,1
3,17,2
3,18,3
3,19,4
3,20,5
4,20,0
4,21,1
4,22,2
4,23,3
4,24,4
4,25,5
5,25,0
5,26,1
5,27,2
5,28,3
5,29,4
5,30,5
6,30,0
6,31,1
6,32,2
6,32,3
6,33,4
7,34,0
7,35,1
7,36,2
7,37,3
8,38,0
8,39,1
13,40,0
13,41,1
13,42,2
13,42,3
13,43,4
14,44,0
14,45,1
14,46,2
14,46,3
14,47,4
15,48,0
15,49,1
15,50,2
15,51,3
16,52,0
16,53,1
16,54,2
16,54,3
16,55,4
17,56,0
17,57,1
17,58,2
17,59,3
17,60,4
18,61,0
18,62,1
18,63,2
18,63,3
18,64,4
18,65,5
19,66,0
19,67,1
19,68,2
19,69,3
19,70,4
20,71,0
20,72,1
20,73,2
20,73,3
20,74,4
20,75,5
21,76,0
21,77,1
21,78,2
22,79,0
22,80,1
22,81,2
22,82,3
22,83,4
23,84,0
23,85,1
23,86,2
23,87,3
24,88,0
24,89,1
24,90,2
24,90,3
24,91,4
24,92,5
25,93,0
25,94,1
25,95,2
25,95,3
25,96,4
25,97,5
26,98,0
26,99,1
26,100,2
26,100,3
26,101,4
26,102,5
27,103,0
27,104,1
27,105,2
27,105,3
27,106,4
27,107,5
28,108,0
28,109,1
28,110,2
28,110,3
28,111,4
28,112,5
29,113,0
29,114,1
29,115,2
29,115,3
29,115,4
29,116,5
29,117,6
30,118,0
30,119,1
30,120,2
30,120,3
30,121,4
30,122,5
31,123,0
31,124,1
31,125,2
31,125,3
31,126,4
31,127,5
32,128,0
32,129,1
32,130,2
32,130,3
32,131,4
33,132,0
33,133,1
33,134,2
33,134,3
33,135,4
34,136,0
34,137,1
34,138,2
34,138,3
34,139,4
35,140,0
35,141,1
35,142,2
35,142,3
35,143,4
36,144,0
36,145,1
36,146,2
36,146,3
36,146,4
36,147,5
36,148,6
36,149,7
36,149,8
37,150,0
37,151,1
37,152,2
38,153,0
38,154,1
38,155,2
