OperationID,Name,ProcessTime
0,Material prep _ bracket_[BD50-5075-011-E],0
1,Milling _ bracket_[BD50-5075-011-E],0
2,BW - Benchwork _ bracket_[BD50-5075-011-E],0
3,Packaging _ bracket_[BD50-5075-011-E],0
4,Chromisin_ bracket_[BD50-5075-011-E],0
5,Material prep _ bracket_[BD50-5075-013F],0
6,Milling _ bracket_[BD50-5075-013F],0
7,BW - Benchwork _ bracket_[BD50-5075-013F],0
8,Packaging _ bracket_[BD50-5075-013F],0
9,Chromisin_ bracket_[BD50-5075-013F],0
10,Material prep _ bracket_[BD50-5075-015F],0
11,Milling _ bracket_[BD50-5075-015F],0
12,BW - Benchwork _ bracket_[BD50-5075-015F],0
13,Packaging _ bracket_[BD50-5075-015F],0
14,Chromisin_ bracket_[BD50-5075-015F],0
15,Material prep _ bracket_[BD50-5085-007-C],0
16,Milling _ bracket_[BD50-5085-007-C],0
17,BW - Benchwork _ bracket_[BD50-5085-007-C],0
18,Packaging _ bracket_[BD50-5085-007-C],0
19,Chromisin_ bracket_[BD50-5085-007-C],0
20,Material prep _ bracket_[BD50-5085-009-C],0
21,Milling _ bracket_[BD50-5085-009-C],0
22,BW - Benchwork _ bracket_[BD50-5085-009-C],0
23,Packaging _ bracket_[BD50-5085-009-C],0
24,Chromisin_ bracket_[BD50-5085-009-C],0
25,Material prep _ bracket_[BD50-5085-011-C],0
26,Milling _ bracket_[BD50-5085-011-C],0
27,BW - Benchwork _ bracket_[BD50-5085-011-C],0
28,Packaging _ bracket_[BD50-5085-011-C],0
29,Chromisin_ bracket_[BD50-5085-011-C],0
30,Material prep _ Block cooling water tmp_[1078121B],0
31,Milling _ Block cooling water tmp_[1078121B],0
32,BW - Benchwork _ Block cooling water tmp_[1078121B],0
33,Packaging _ Block cooling water tmp_[1078121B],0
34,Material prep _ Filterhouder Ni 0.02mm_[4022-335-19371],0
35,Milling _ Filterhouder Ni 0.02mm_[4022-335-19371],0
36,BW - Benchwork _ Filterhouder Ni 0.02mm_[4022-335-19371],0
37,Packaging _ Filterhouder Ni 0.02mm_[4022-335-19371],0
38,Zage_ Stroke Limiter Plate RX-L / 26223907_[7005-2580-0004],0
39,Millin_ Stroke Limiter Plate RX-L / 26223907_[7005-2580-0004],0
40,Material prep _ geleideblok spanrol_[00236-05-103-C],0
41,Milling _ geleideblok spanrol_[00236-05-103-C],0
42,Anodisin_ geleideblok spanrol_[00236-05-103-C],0
43,Packaging _ geleideblok spanrol_[00236-05-103-C],0
44,Material prep _ Height bearing clamp plate_[00385-00-102-C],0
45,Milling _ Height bearing clamp plate_[00385-00-102-C],0
46,Paintin_ Height bearing clamp plate_[00385-00-102-C],0
47,Packaging _ Height bearing clamp plate_[00385-00-102-C],0
48,"Pre-cutted, picking onl_ Tensioner plate_[00385-00-113A]",0
49,Milling _ Tensioner plate_[00385-00-113A],0
50,BW - Benchwork _ Tensioner plate_[00385-00-113A],0
51,Packaging _ Tensioner plate_[00385-00-113A],0
52,Material prep _ Filling block_[00385-00-274-D],0
53,Milling _ Filling block_[00385-00-274-D],0
54,BW - Benchwork _ Filling block_[00385-00-274-D],0
55,Packaging _ Filling block_[00385-00-274-D],0
56,Material prep _ Plint adjust strip_[00385-00-320-A],0
57,Milling _ Plint adjust strip_[00385-00-320-A],0
58,BW - Benchwork _ Plint adjust strip_[00385-00-320-A],0
59,Passivatin_ Plint adjust strip_[00385-00-320-A],0
60,Packaging _ Plint adjust strip_[00385-00-320-A],0
61,Material prep _ Plint fixing strip left_[00385-00-321-A],0
62,Milling _ Plint fixing strip left_[00385-00-321-A],0
63,BW - Benchwork _ Plint fixing strip left_[00385-00-321-A],0
64,Passivatin_ Plint fixing strip left_[00385-00-321-A],0
65,Packaging _ Plint fixing strip left_[00385-00-321-A],0
66,Material prep _ End plate finger safety hinge_[00385-00-329-A],0
67,Milling _ End plate finger safety hinge_[00385-00-329-A],0
68,BW - Benchwork _ End plate finger safety hinge_[00385-00-329-A],0
69,Passivatin_ End plate finger safety hinge_[00385-00-329-A],0
70,Packaging _ End plate finger safety hinge_[00385-00-329-A],0
71,Automatic Sawing _ Plint fixing strip right_[00385-00-346-A],0
72,Milling _ Plint fixing strip right_[00385-00-346-A],0
73,BW - Benchwork _ Plint fixing strip right_[00385-00-346-A],0
74,Passivatin_ Plint fixing strip right_[00385-00-346-A],0
75,Packaging _ Plint fixing strip right_[00385-00-346-A],0
76,Picking _ C//[Q] cradle block_[00429-00-166 C],0
77,Milling _ C//[Q] cradle block_[00429-00-166 C],0
78,Packaging _ C//[Q] cradle block_[00429-00-166 C],0
79,Material prep _ Plint adjust strip_[00429-00-249-A],0
80,Milling _ Plint adjust strip_[00429-00-249-A],0
81,BW - Benchwork _ Plint adjust strip_[00429-00-249-A],0
82,Passivatin_ Plint adjust strip_[00429-00-249-A],0
83,Packaging _ Plint adjust strip_[00429-00-249-A],0
84,Material prep _ Arret lever_[00429-00-662-B],0
85,Milling _ Arret lever_[00429-00-662-B],0
86,BW - Benchwork _ Arret lever_[00429-00-662-B],0
87,Packaging _ Arret lever_[00429-00-662-B],0
88,Material prep _ XD F&T plate plug_[00522-01564-A],0
89,Milling _ XD F&T plate plug_[00522-01564-A],0
90,BW - Benchwork _ XD F&T plate plug_[00522-01564-A],0
91,Cleanin_ XD F&T plate plug_[00522-01564-A],0
92,Packaging _ XD F&T plate plug_[00522-01564-A],0
93,Material prep _ bma plug 2_[00522-01696-A],0
94,Milling _ bma plug 2_[00522-01696-A],0
95,BW - Benchwork _ bma plug 2_[00522-01696-A],0
96,Cleanin_ bma plug 2_[00522-01696-A],0
97,Packaging _ bma plug 2_[00522-01696-A],0
98,Material prep _ F&T Y-D plug 1_[00522-01698-A],0
99,Milling _ F&T Y-D plug 1_[00522-01698-A],0
100,BW - Benchwork _ F&T Y-D plug 1_[00522-01698-A],0
101,Cleanin_ F&T Y-D plug 1_[00522-01698-A],0
102,Packaging _ F&T Y-D plug 1_[00522-01698-A],0
103,Material prep _ RCW plug 1_[00522-01717-A],0
104,Milling _ RCW plug 1_[00522-01717-A],0
105,BW - Benchwork _ RCW plug 1_[00522-01717-A],0
106,Cleanin_ RCW plug 1_[00522-01717-A],0
107,Packaging _ RCW plug 1_[00522-01717-A],0
108,Material prep _ RCW plug 2_[00522-01718-A],0
109,Milling _ RCW plug 2_[00522-01718-A],0
110,BW - Benchwork _ RCW plug 2_[00522-01718-A],0
111,Cleanin_ RCW plug 2_[00522-01718-A],0
112,Packaging _ RCW plug 2_[00522-01718-A],0
113,Material prep _ Valve body 3-way 2 sensors_[080-810005-A2],0
114,Milling _ Valve body 3-way 2 sensors_[080-810005-A2],0
115,BW - Benchwork _ Valve body 3-way 2 sensors_[080-810005-A2],0
116,Anodisin_ Valve body 3-way 2 sensors_[080-810005-A2],0
117,Packaging _ Valve body 3-way 2 sensors_[080-810005-A2],0
118,Material prep _ Manifold coolant banjo M14_[082-000020-A1],0
119,Milling _ Manifold coolant banjo M14_[082-000020-A1],0
120,BW - Benchwork _ Manifold coolant banjo M14_[082-000020-A1],0
121,Anodisin_ Manifold coolant banjo M14_[082-000020-A1],0
122,Packaging _ Manifold coolant banjo M14_[082-000020-A1],0
123,Material prep _ Filler block CNG_[095-500029-A 1],0
124,Milling _ Filler block CNG_[095-500029-A 1],0
125,BW - Benchwork _ Filler block CNG_[095-500029-A 1],0
126,Anodisin_ Filler block CNG_[095-500029-A 1],0
127,Packaging _ Filler block CNG_[095-500029-A 1],0
128,Material prep _ ADJ.PLATE 2 OBJ._[1001823A],0
129,Milling _ ADJ.PLATE 2 OBJ._[1001823A],0
130,BW - Benchwork _ ADJ.PLATE 2 OBJ._[1001823A],0
131,Packaging _ ADJ.PLATE 2 OBJ._[1001823A],0
132,Material prep _ Cord Bracket_[1011113A],0
133,Milling _ Cord Bracket_[1011113A],0
134,BW - Benchwork _ Cord Bracket_[1011113A],0
135,Packaging _ Cord Bracket_[1011113A],0
136,"Material prep _ CLAMP,PIPE,NIC_[1012609B]",0
137,"Milling _ CLAMP,PIPE,NIC_[1012609B]",0
138,"BW - Benchwork _ CLAMP,PIPE,NIC_[1012609B]",0
139,"Packaging _ CLAMP,PIPE,NIC_[1012609B]",0
140,Material prep _ Block cooling water TMP_[1082700B],0
141,Milling _ Block cooling water TMP_[1082700B],0
142,BW - Benchwork _ Block cooling water TMP_[1082700B],0
143,Packaging _ Block cooling water TMP_[1082700B],0
144,Picking _ base wet stem quatro_[1200745A],0
145,Milling _ base wet stem quatro_[1200745A],0
146,BW - Benchwork _ base wet stem quatro_[1200745A],0
147,Sandblastin_ base wet stem quatro_[1200745A],0
148,Nickel platin_ base wet stem quatro_[1200745A],0
149,Packaging _ base wet stem quatro_[1200745A],0
150,"Material prep - automatic sawing _ shackle, height adjust_[1202210A]",0
151,"Milling _ shackle, height adjust_[1202210A]",0
152,"Packaging _ shackle, height adjust_[1202210A]",0
153,"Sawin_ fixing block, actuator_[1202211B]",0
154,"Milling _ fixing block, actuator_[1202211B]",0
155,"Packaging _ fixing block, actuator_[1202211B]",0
156,"Millin_ intercon.panel,R-STEM_[1202461A]",0
157,"Packaging _ intercon.panel,R-STEM_[1202461A]",0
