ProductID,ProductNumber,Name,StockLevel
0,BD50-5075-011-E, bracket_[BD50-5075-011-E],0
1,5601-0000-0021, ALU 7075 T79511 hoekprofiel 20x16x1.2_[5601-0000-0021],0
2,BD50-5075-013F, bracket_[BD50-5075-013F],0
3,BD50-5075-015F, bracket_[BD50-5075-015F],0
4,BD50-5085-007-C, bracket_[BD50-5085-007-C],0
5,BD50-5085-009-C, bracket_[BD50-5085-009-C],0
6,BD50-5085-011-C, bracket_[BD50-5085-011-C],0
7,1078121B, Block cooling water tmp_[1078121B],0
8,5602-0000-0033, RVS 316L wgw plat 60x25_[5602-0000-0033],0
9,4022-335-19371, Filterhouder Ni 0.02mm_[4022-335-19371],0
10,5604-0000-0005, MESSING CuZn40Pb3 plat 16x2_[5604-0000-0005],0
11,7005-2580-0004, Stroke Limiter Plate RX-L / 26223907_[7005-2580-0004],0
12,5601-0000-0023, ALU 6082 T651 (wgw) gzgd plaat 75x30_[5601-0000-0023],0
13,7005-2480-0110, Top Cover / N26241003V01-01_[7005-2480-0110],0
14,5605-0000-0001, POM-C gzgd plaat 540x460x50_[5605-0000-0001],0
15,7005-2480-0100," Bottom Cover / N26241002V01-01
_[7005-2480-0100]",0
16,5605-0000-0002, POM-C gzgd plaat 540x460x60_[5605-0000-0002],0
17,7005-2480-0010, JH Top Cover / N26241508V01-01_[7005-2480-0010],0
18,7005-2480-0000, JH Bottom Cover / N26241507V01-01_[7005-2480-0000],0
19,00236-05-103-C, geleideblok spanrol_[00236-05-103-C],0
20,5601-0000-0011, ALU 6082 T6 plat 80x25_[5601-0000-0011],0
21,00385-00-102-C, Height bearing clamp plate_[00385-00-102-C],0
22,5603-0000-0003, STAAL S355J2C+C ngl plat 50x20_[5603-0000-0003],0
23,00385-00-113A, Tensioner plate_[00385-00-113A],0
24,5990-0000-0018, Tensioner Plate cutout_[5990-0000-0018],0
25,00385-00-274-D, Filling block_[00385-00-274-D],0
26,5601-0000-0010, ALU 6082 T6 vk 70_[5601-0000-0010],0
27,00385-00-320-A, Plint adjust strip_[00385-00-320-A],0
28,5603-0000-0005, STAAL S235JRC+C blank plat 40x10_[5603-0000-0005],0
29,00385-00-321-A, Plint fixing strip left_[00385-00-321-A],0
30,5603-0000-0004, STAAL S235JRC+C blank plat 30x20_[5603-0000-0004],0
31,00385-00-329-A, End plate finger safety hinge_[00385-00-329-A],0
32,5603-0000-0006, STAAL S235JRC+C blank plat 20x5_[5603-0000-0006],0
33,00385-00-346-A, Plint fixing strip right_[00385-00-346-A],0
34,00429-00-166 C, C//[Q] cradle block_[00429-00-166 C],0
35,5990-0000-0016, Gietwerk CRADLE BLOCK_[5990-0000-0016],0
36,00429-00-249-A, Plint adjust strip_[00429-00-249-A],0
37,5603-0000-0013," S235JRC+C blank plat 40x10 (ca 3-3,5 mtr)_[5603-0000-0013]",0
38,00429-00-662-B, Arret lever_[00429-00-662-B],0
39,5601-0000-0007, ALU 6082 T6 vk 30_[5601-0000-0007],0
40,00522-01564-A, XD F&T plate plug_[00522-01564-A],0
41,5601-0000-0112, ALU 6082 T6 plat 50x20_[5601-0000-0112],0
42,00522-01696-A, bma plug 2_[00522-01696-A],0
43,5602-0000-0006, RVS 304/304L wgw plat 25x12_[5602-0000-0006],0
44,00522-01698-A, F&T Y-D plug 1_[00522-01698-A],0
45,00522-01717-A, RCW plug 1_[00522-01717-A],0
46,00522-01718-A, RCW plug 2_[00522-01718-A],0
47,080-810005-A2, Valve body 3-way 2 sensors_[080-810005-A2],0
48,082-000020-A1, Manifold coolant banjo M14_[082-000020-A1],0
49,5601-0000-0115, ALU 6082 T6 vk 40_[5601-0000-0115],0
50,095-500029-A 1, Filler block CNG_[095-500029-A 1],0
51,5601-0000-0013, ALU 6082 T6 vk 60_[5601-0000-0013],0
52,1001823A, ADJ.PLATE 2 OBJ._[1001823A],0
53,5604-0000-0003, MESSING CuZn40Pb2 plat 80x20_[5604-0000-0003],0
54,1011113A, Cord Bracket_[1011113A],0
55,5604-0000-0002, MESSING CuZn40Pb2 plat 30x20_[5604-0000-0002],0
56,1012609B," CLAMP,PIPE,NIC_[1012609B]",0
57,5602-0000-0004, RVS 304/304L wgw plat 70x12_[5602-0000-0004],0
58,1082700B, Block cooling water TMP_[1082700B],0
59,5602-0000-0024, RVS 316L wgw plat 40x25_[5602-0000-0024],0
60,1200745A, base wet stem quatro_[1200745A],0
61,5601-0000-0107, ALU 5754 H111 gzgd plaat 60x50x50_[5601-0000-0107],0
62,1202210A," shackle, height adjust_[1202210A]",0
63,5602-0000-0010, RVS 304/304L wgw plat 40x20_[5602-0000-0010],0
64,1202211B," fixing block, actuator_[1202211B]",0
65,5602-0000-0037, RVS 304/304L wgw plat 25x20_[5602-0000-0037],0
66,1202461A," intercon.panel,R-STEM_[1202461A]",0
67,5601-0000-0073, ALU 6082 T651 (wgw) gzgd plaat 500x300x15_[5601-0000-0073],0
68,1207568A, Cable clamp_[1207568A],0
69,5606-0000-0002, PTFE Staf FG-10/2011 XT Wit Ø10_[5606-0000-0002],0
70,349520-8007-000-0107, BYPASS (BLOK)_[349520-8007-000-0107],0
71,5602-0000-0012, RVS 304/304L wgw vk 60_[5602-0000-0012],0
72,4022-290-63221-D, Excenter housing z_[4022-290-63221-D],0
73,5601-0000-0012, ALU 6082 T6 plat 60x40_[5601-0000-0012],0
74,4022-290-63321F, Bearing housing spindle (rev F)_[4022-290-63321F],0
75,5601-0000-0116, ALU 6082 T6 vk 80_[5601-0000-0116],0
76,4022-333-11506, lagerblok_[4022-333-11506],0
77,5602-0000-0041, RVS 430F blank rond 50h9_[5602-0000-0041],0
78,4022-333-13805, dr pnt cilinder_[4022-333-13805],0
79,5603-0000-0014, STAAL 11SMn30+C/9SMn28K blank vk 50_[5603-0000-0014],0
80,4022-333-19505, BRIL_[4022-333-19505],0
81,5990-0000-0014, EPRATEX PF CC201 180x140x10_[5990-0000-0014],0
82,4022-333-40501, DUMMY KRISTAL_[4022-333-40501],0
83,5601-0000-0108, ALU 6060 plat 40x6_[5601-0000-0108],0
84,4022-333-58172, KIJKERHOUDER_[4022-333-58172],0
85,5601-0000-0009, ALU 6082 T6 vk 50_[5601-0000-0009],0
86,4022-333-58791, Filterhouder Cu 0.1_[4022-333-58791],0
87,4022-335-17991, Filterh. Cu0.2 Ni0.02_[4022-335-17991],0
88,4022-335-71012, filter holder_[4022-335-71012],0
89,5604-0000-0004, MESSING CuZn40Pb2 plat 20x10_[5604-0000-0004],0
90,4022-337-30992, HOLDER FOR SHUTTER_[4022-337-30992],0
91,5602-0000-0040, RVS 430F blank rond 16h9_[5602-0000-0040],0
92,4022-337-33842, arret holder_[4022-337-33842],0
93,4022-454-25012, RING_[4022-454-25012],0
94,5601-0000-0019, ALU 6082 gzgd plaat 400x400x20_[5601-0000-0019],0
