ProductID,ProductNumber,Name,StockLevel,PrescribedBatchsize,ChosenBatchsize
0,BD50-5075-011-E,[BD50-5075-011-E]  bracket,0.0,,
1,5601-0000-0021,[5601-0000-0021]  ALU 7075 T79511 hoekprofiel 20x16x1.2,96936.0,,
2,BD50-5075-013F,[BD50-5075-013F]  bracket,0.0,,16
3,BD50-5075-015F,[BD50-5075-015F]  bracket,0.0,,24
4,BD50-5085-007-C,[BD50-5085-007-C]  bracket,0.0,,24
5,BD50-5085-009-C,[BD50-5085-009-C]  bracket,0.0,,24
6,BD50-5085-011-C,[BD50-5085-011-C]  bracket,0.0,,50
7,1078121B,[1078121B]  Block cooling water tmp,0.0,,
8,5602-0000-0033,[5602-0000-0033]  RVS 316L wgw plat 60x25,0.0,,
9,4022-335-19371,[4022-335-19371]  Filterhouder Ni 0.02mm,0.0,,
10,5604-0000-0005,[5604-0000-0005]  MESSING CuZn40Pb3 plat 16x2,60000.0,128,
11,7005-2580-0004,[7005-2580-0004]  Stroke Limiter Plate RX-L / 26223907,0.0,,
12,5601-0000-0023,[5601-0000-0023]  ALU 6082 T651 (wgw) gzgd plaat 75x30,2690.0,,
13,7005-2480-0110,[7005-2480-0110]  Top Cover / N26241003V01-01,0.0,,
14,5605-0000-0001,[5605-0000-0001]  POM-C gzgd plaat 540x460x50,0.0,,
15,7005-2480-0100,"[7005-2480-0100]  Bottom Cover / N26241002V01-01
",0.0,,
16,5605-0000-0002,[5605-0000-0002]  POM-C gzgd plaat 540x460x60,0.0,,
17,7005-2480-0010,[7005-2480-0010]  JH Top Cover / N26241508V01-01,0.0,,
18,7005-2480-0000,[7005-2480-0000]  JH Bottom Cover / N26241507V01-01,0.0,,
19,00236-05-103-C,[00236-05-103-C]  geleideblok spanrol,0.0,134,134
20,5601-0000-0011,[5601-0000-0011]  ALU 6082 T6 plat 80x25,15000.0,134,
21,00385-00-102-C,[00385-00-102-C]  Height bearing clamp plate,0.0,600,600
22,5603-0000-0003,[5603-0000-0003]  STAAL S355J2C+C ngl plat 50x20,121000.0,600,
23,00385-00-113A,[00385-00-113A]  Tensioner plate,0.0,700,700
24,5990-0000-0018,[5990-0000-0018]  Tensioner Plate cutout,0.0,700,
25,00385-00-274-D,[00385-00-274-D]  Filling block,0.0,356,356
26,5601-0000-0010,[5601-0000-0010]  ALU 6082 T6 vk 70,27070.91,15,
27,00385-00-320-A,[00385-00-320-A]  Plint adjust strip,0.0,654,654
28,5603-0000-0005,[5603-0000-0005]  STAAL S235JRC+C blank plat 40x10,18180.0,654,
29,00385-00-321-A,[00385-00-321-A]  Plint fixing strip left,0.0,714,714
30,5603-0000-0004,[5603-0000-0004]  STAAL S235JRC+C blank plat 30x20,60600.0,714,
31,00385-00-329-A,[00385-00-329-A]  End plate finger safety hinge,0.0,473,473
32,5603-0000-0006,[5603-0000-0006]  STAAL S235JRC+C blank plat 20x5,49564.12,473,
33,00385-00-346-A,[00385-00-346-A]  Plint fixing strip right,0.0,714,714
34,00429-00-166 C,[00429-00-166 C]  C//[Q] cradle block,0.0,,
35,5990-0000-0016,[5990-0000-0016]  Gietwerk CRADLE BLOCK,0.0,,
36,00429-00-249-A,[00429-00-249-A]  Plint adjust strip,0.0,436,436
37,5603-0000-0013,"[5603-0000-0013]  S235JRC+C blank plat 40x10 (ca 3-3,5 mtr)",0.0,436,
38,00429-00-662-B,[00429-00-662-B]  Arret lever,0.0,400,400
39,5601-0000-0007,[5601-0000-0007]  ALU 6082 T6 vk 30,99000.0,400,
40,00522-01564-A,[00522-01564-A]  XD F&T plate plug,0.0,,
41,5601-0000-0112,[5601-0000-0112]  ALU 6082 T6 plat 50x20,0.0,,
42,00522-01696-A,[00522-01696-A]  bma plug 2,0.0,,
43,5602-0000-0006,[5602-0000-0006]  RVS 304/304L wgw plat 25x12,0.0,,
44,00522-01698-A,[00522-01698-A]  F&T Y-D plug 1,0.0,,
45,00522-01717-A,[00522-01717-A]  RCW plug 1,0.0,,
46,00522-01718-A,[00522-01718-A]  RCW plug 2,0.0,,
47,080-810005-A2,[080-810005-A2]  Valve body 3-way 2 sensors,0.0,,
