ProductID,ProductNumber,Name,StockUnit,StockBatch,StockLevel,PrescribedBatchsize,ChosenBatchsize
0,BD50-5075-011-E,[BD50-5075-011-E]  bracket,mm,3000,0.0,,
1,5601-0000-0021,[5601-0000-0021]  ALU 7075 T79511 hoekprofiel 20x16x1.2,Pcs,1,96936.0,,
2,BD50-5075-013F,[BD50-5075-013F]  bracket,mm,3000,0.0,,16
3,BD50-5075-015F,[BD50-5075-015F]  bracket,mm,3000,0.0,,24
4,BD50-5085-007-C,[BD50-5085-007-C]  bracket,mm,3000,0.0,,24
5,BD50-5085-009-C,[BD50-5085-009-C]  bracket,mm,3000,0.0,,24
6,BD50-5085-011-C,[BD50-5085-011-C]  bracket,mm,3000,0.0,,50
7,1078121B,[1078121B]  Block cooling water tmp,mm,3000,0.0,,
8,5602-0000-0033,[5602-0000-0033]  RVS 316L wgw plat 60x25,Pcs,1,0.0,,
9,4022-335-19371,[4022-335-19371]  Filterhouder Ni 0.02mm,mm,3000,0.0,,
10,5604-0000-0005,[5604-0000-0005]  MESSING CuZn40Pb3 plat 16x2,Pcs,1,60000.0,128,
11,7005-2580-0004,[7005-2580-0004]  Stroke Limiter Plate RX-L / 26223907,mm,3000,0.0,,
12,5601-0000-0023,[5601-0000-0023]  ALU 6082 T651 (wgw) gzgd plaat 75x30,Pcs,1,2690.0,,
13,7005-2480-0110,[7005-2480-0110]  Top Cover / N26241003V01-01,Pcs,1,0.0,,
14,5605-0000-0001,[5605-0000-0001]  POM-C gzgd plaat 540x460x50,Pcs,1,0.0,,
15,7005-2480-0100,"[7005-2480-0100]  Bottom Cover / N26241002V01-01
",Pcs,1,0.0,,
16,5605-0000-0002,[5605-0000-0002]  POM-C gzgd plaat 540x460x60,Pcs,1,0.0,,
17,7005-2480-0010,[7005-2480-0010]  JH Top Cover / N26241508V01-01,Pcs,1,0.0,,
18,7005-2480-0000,[7005-2480-0000]  JH Bottom Cover / N26241507V01-01,Pcs,1,0.0,,
19,00236-05-103-C,[00236-05-103-C]  geleideblok spanrol,mm,3000,0.0,134,134
20,5601-0000-0011,[5601-0000-0011]  ALU 6082 T6 plat 80x25,Pcs,1,15000.0,134,
21,00385-00-102-C,[00385-00-102-C]  Height bearing clamp plate,mm,3000,0.0,600,600
22,5603-0000-0003,[5603-0000-0003]  STAAL S355J2C+C ngl plat 50x20,Pcs,1,121000.0,600,
23,00385-00-113A,[00385-00-113A]  Tensioner plate,Pcs,1,0.0,700,700
24,5990-0000-0018,[5990-0000-0018]  Tensioner Plate cutout,Pcs,1,0.0,700,
25,00385-00-274-D,[00385-00-274-D]  Filling block,mm,3000,0.0,356,356
26,5601-0000-0010,[5601-0000-0010]  ALU 6082 T6 vk 70,Pcs,1,27070.91,15,
27,00385-00-320-A,[00385-00-320-A]  Plint adjust strip,mm,3000,0.0,654,654
