Resource Name,Day,Shift,Job,OperationName,Start in Shift,Completion in Shift
M3-01 - Accuwell - 3axis - Manual (FR3_01),2025-07-28,2,,Milling (FR3_01)_[00385-00-102-C]  Height bearing clamp plate,9.0,16.0
M3-01 - Accuwell - 3axis - Manual (FR3_01),2025-07-28,3,,Milling (FR3_01)_[00385-00-102-C]  Height bearing clamp plate,17.0,24.0
M3-01 - Accuwell - 3axis - Manual (FR3_01),2025-07-29,2,,Milling (FR3_01)_[00385-00-102-C]  Height bearing clamp plate,33.0,40.0
M3-01 - Accuwell - 3axis - Manual (FR3_01),2025-07-29,3,,Milling (FR3_01)_[00385-00-102-C]  Height bearing clamp plate,41.0,47.0
M3-01 - Accuwell - 3axis - Manual (FR3_01),2025-07-29,3,,Milling (FR3_01)_[00385-00-321-A]  Plint fixing strip left,47.0,48.0
M3-01 - Accuwell - 3axis - Manual (FR3_01),2025-07-30,2,,Milling (FR3_01)_[00385-00-321-A]  Plint fixing strip left,57.0,64.0
M3-01 - Accuwell - 3axis - Manual (FR3_01),2025-07-30,3,,Milling (FR3_01)_[00385-00-321-A]  Plint fixing strip left,65.0,72.0
M3-01 - Accuwell - 3axis - Manual (FR3_01),2025-07-31,2,,Milling (FR3_01)_[00385-00-321-A]  Plint fixing strip left,81.0,88.0
M3-01 - Accuwell - 3axis - Manual (FR3_01),2025-07-31,3,,Milling (FR3_01)_[00385-00-321-A]  Plint fixing strip left,89.0,96.0
M3-01 - Accuwell - 3axis - Manual (FR3_01),2025-08-01,2,,Milling (FR3_01)_[00385-00-321-A]  Plint fixing strip left,105.0,112.0
M3-01 - Accuwell - 3axis - Manual (FR3_01),2025-08-01,3,,Milling (FR3_01)_[00385-00-321-A]  Plint fixing strip left,113.0,118.59999999999995
M3-01 - Accuwell - 3axis - Manual (FR3_01),2025-08-01,3,,Milling (FR3_01)_[00385-00-346-A]  Plint fixing strip right,118.59999999999995,120.0
M3-01 - Accuwell - 3axis - Manual (FR3_01),2025-08-02,2,,Milling (FR3_01)_[00385-00-346-A]  Plint fixing strip right,129.0,136.0
M3-01 - Accuwell - 3axis - Manual (FR3_01),2025-08-02,3,,Milling (FR3_01)_[00385-00-346-A]  Plint fixing strip right,137.0,144.0
M3-01 - Accuwell - 3axis - Manual (FR3_01),2025-08-03,2,,Milling (FR3_01)_[00385-00-346-A]  Plint fixing strip right,153.0,160.0
M3-01 - Accuwell - 3axis - Manual (FR3_01),2025-08-03,3,,Milling (FR3_01)_[00385-00-346-A]  Plint fixing strip right,161.0,168.0
M3-01 - Accuwell - 3axis - Manual (FR3_01),2025-08-04,2,,Milling (FR3_01)_[00385-00-346-A]  Plint fixing strip right,177.0,184.0
M3-01 - Accuwell - 3axis - Manual (FR3_01),2025-08-04,3,,Milling (FR3_01)_[00385-00-346-A]  Plint fixing strip right,185.0,190.1999999999999
M3-01 - Accuwell - 3axis - Manual (FR3_01),2025-08-04,3,,Milling (FR3_01)_[4022-455-09992]  POST 2,190.1999999999999,191.1999999999999
BW - Benchwork (BKW_01),2025-07-28,2,,BW - Benchwork (BKW_01)_[GF3116T006L]  Carriage,9.0,12.999999999999984
BW - Benchwork (BKW_01),2025-07-28,2,,BW - Benchwork (BKW_01)_[4598-011-70891B]  ENDPLATE_2,12.999999999999984,16.0
BW - Benchwork (BKW_01),2025-07-28,2,,BW - Benchwork (BKW_01)_[00385-00-320-A]  Plint adjust strip,16.84999999999997,16.0
BW - Benchwork (BKW_01),2025-07-28,3,,BW - Benchwork (BKW_01)_[00385-00-320-A]  Plint adjust strip,17.0,24.0
BW - Benchwork (BKW_01),2025-07-29,2,,BW - Benchwork (BKW_01)_[00385-00-320-A]  Plint adjust strip,33.0,35.74999999999993
BW - Benchwork (BKW_01),2025-07-29,2,,BW - Benchwork (BKW_01)_[00385-00-321-A]  Plint fixing strip left,35.74999999999993,40.0
BW - Benchwork (BKW_01),2025-07-29,3,,BW - Benchwork (BKW_01)_[00385-00-321-A]  Plint fixing strip left,41.0,48.0
