PN,Quantity,Work Orders/Start,Work Orders/End,Work Orders/Work Center,Work Orders/Expected Duration
[4022.666.20971-TBRM MCH],360,2026-08-27 08:00:00,2026-09-08 20:20:00,VF2SS_(M3-03),8412.0
[7005-2480-0070],32,2026-09-08 20:30:00,2026-09-09 08:10:00,VF2SS_(M3-03),212.0
[7005-2580-0010],4,2026-09-09 08:20:00,2026-09-09 10:10:00,VF2SS_(M3-03),101.0
[7001-2580-0043],20,2026-09-09 13:40:00,2026-09-09 18:30:00,VF2SS_(M3-03),290.0
[7005-2580-0015],5,2026-09-09 18:40:00,2026-09-10 15:50:00,VF2SS_(M3-03),785.0
[7001-2580-0037],9,2026-09-10 16:00:00,2026-09-10 22:10:00,VF2SS_(M3-03),366.0
[7001-2580-0039],32,2026-09-10 22:20:00,2026-09-10 23:40:00,VF2SS_(M3-03),72.0
[7001-2580-0041],20,2026-09-11 08:00:00,2026-09-11 11:30:00,VF2SS_(M3-03),200.8
[7001-2580-0029],20,2026-09-11 11:40:00,2026-09-14 12:00:00,VF2SS_(M3-03),980.0
[7001-2580-0030],20,2026-09-15 21:20:00,2026-09-16 15:20:00,VF2SS_(M3-03),600.0
[7001-2580-0017],12,2026-09-17 17:20:00,2026-09-17 19:00:00,VF2SS_(M3-03),94.0
[7001-2580-0031],10,2026-09-18 08:00:00,2026-09-18 23:10:00,VF2SS_(M3-03),910.0
[7001-2580-0034],10,2026-09-22 16:00:00,2026-09-22 21:40:00,VF2SS_(M3-03),340.0
[7001-2580-0047],20,2026-09-24 08:00:00,2026-09-24 09:10:00,VF2SS_(M3-03),68.8
[7001-2580-0045],20,2026-09-24 13:20:00,2026-09-24 17:30:00,VF2SS_(M3-03),248.0
[7001-2580-0047],20,2026-09-24 23:00:00,2026-09-25 09:00:00,VF2SS_(M3-03),120.0
[7001-2580-0035],10,2026-09-25 09:10:00,2026-09-25 19:00:00,VF2SS_(M3-03),590.0
[7001-2580-0036],10,2026-09-29 13:20:00,2026-09-29 18:40:00,VF2SS_(M3-03),320.0
[4022-671-49061],152,2026-09-29 21:00:00,2026-10-01 15:50:00,VF2SS_(M3-03),1610.0
[7001-2580-0038],10,2026-10-01 16:00:00,2026-10-01 21:40:00,VF2SS_(M3-03),340.0
[4022.632.63021],1600,2026-10-02 11:00:00,2026-10-02 18:30:00,VF2SS_(M3-03),450.0
[7001-2580-0018],60,2026-10-05 16:00:00,2026-10-06 16:00:00,VF2SS_(M3-03),960.0
[BD50-5085-009-C],57,2026-10-06 23:50:00,2026-10-07 15:10:00,VF2SS_(M3-03),432.0
[7005-2580-0007],8,2026-10-08 08:00:00,2026-10-08 13:30:00,VF2SS_(M3-03),324.0
[00429-00-662-B],400,2026-10-08 16:00:00,2026-10-08 19:10:00,VF2SS_(M3-03),190.0
[7001-2540-0009],10,2026-10-08 19:20:00,2026-10-09 11:20:00,VF2SS_(M3-03),480.0
[4022.622.61092],68,2026-10-09 13:30:00,2026-10-12 21:10:00,VF2SS_(M3-03),1420.0
[4022.704.19302],124,2026-10-12 21:20:00,2026-10-15 17:50:00,VF2SS_(M3-03),2664.0
[7005-2580-0007],8,2026-10-15 18:10:00,2026-10-15 23:40:00,VF2SS_(M3-03),324.0
