PN,Quantity,Work Orders/Start,Work Orders/End,Work Orders/Work Center,Work Orders/Expected Duration,Product/ID,Quantity,Product,Deadline,Reference
[00385-00-274-D],616,2026-09-03 08:10:00,2026-09-07 08:30:00,M3-01_(FR3_01),1938.0,14888.0,616,[00385-00-274-D] Filling block,2026-05-14 12:00:00,TBRM /MO/01668
[4022-337-33842],120,2026-09-07 10:40:00,2026-09-07 12:50:00,M3-01_(FR3_01),122.0,14925.0,120,[4022-337-33842] arret holder,2026-07-16 12:00:00,TBRM /MO/01824
[4022-635-87291],315,2026-09-07 13:00:00,2026-09-07 19:50:00,M3-01_(FR3_01),405.0,14958.0,315,[4022-635-87291] HANDLE,2026-08-20 02:00:00,TBRM /MO/01940
[4022-333-11506],86,2026-09-07 20:00:00,2026-09-07 23:00:00,M3-01_(FR3_01),176.0,14916.0,86,[4022-333-11506] lagerblok,2026-12-31 12:00:00,TBRM /MO/01615
[4022-455-09997-3],40,2026-09-07 23:20:00,2026-09-08 09:30:00,M3-01_(FR3_01),130.0,14931.0,40,[4022-455-09997-3] post 7,2026-08-18 02:00:00,TBRM /MO/01807
[7001-2580-0023],10,2026-09-08 09:40:00,2026-09-09 18:00:00,M3-01_(FR3_01),1460.0,17773.0,10,[7001-2580-0023] TOP PLATE / FM / FM-02-003-C,2026-09-02 02:00:00,TBRM /MO/01943
[4022-637-32081],33,2026-09-09 18:40:00,2026-09-10 08:40:00,M3-01_(FR3_01),354.0,14967.0,33,[4022-637-32081] IH SERVE MECH HINGE BRACKET,2026-08-28 02:00:00,TBRM /MO/01937
[4022-671-49061],54,2026-09-10 08:50:00,2026-09-10 14:50:00,M3-01_(FR3_01),360.0,14988.0,54,[4022-671-49061] Bpam front 1,2026-09-17 02:00:00,TBRM /MO/02232
[00429-00-662-B],400,2026-09-10 16:00:00,2026-09-10 19:10:00,M3-01_(FR3_01),190.0,14895.0,400,[00429-00-662-B] Arret lever,2026-08-06 12:00:00,TBRM /MO/02299
[4022-637-32081],20,2026-09-10 19:20:00,2026-09-10 23:30:00,M3-01_(FR3_01),250.0,14967.0,20,[4022-637-32081] IH SERVE MECH HINGE BRACKET,2026-08-28 02:00:00,TBRM /MO/02325
[7005-2580-0014],5,2026-09-10 23:40:00,2026-09-14 19:10:00,M3-01_(FR3_01),1650.0,17992.0,5,[7005-2580-0014] Backplate V01-00 / NFI / 27244701,2026-10-05 02:00:00,TBRM /MO/02367
[BD50-5085-007-C],30,2026-09-14 19:20:00,2026-09-14 23:50:00,M3-01_(FR3_01),270.0,15031.0,30,[BD50-5085-007-C] bracket,2026-11-12 01:00:00,TBRM /MO/01833
[BD50-5085-009-C],30,2026-09-14 19:20:00,2026-09-14 23:50:00,M3-01_(FR3_01),270.0,15032.0,30,[BD50-5085-009-C] bracket,2026-11-12 01:00:00,TBRM /MO/01835
[4022-680-50251],26,2026-09-15 08:00:00,2026-09-15 23:50:00,M3-01_(FR3_01),948.0,14997.0,26,[4022-680-50251] MBI WS MK2 F&T BMA CONNECT,2026-07-23 02:00:00,TBRM /MO/01759-002
[4022-671-49061],152,2026-09-16 08:00:00,2026-09-17 18:50:00,M3-01_(FR3_01),1610.0,14988.0,152,[4022-671-49061] Bpam front 1,2026-10-05 02:00:00,TBRM /MO/02308
[4022-671-49061],152,2026-09-17 19:00:00,2026-09-18 17:10:00,M3-01_(FR3_01),850.0,14988.0,152,[4022-671-49061] Bpam front 1,2026-10-05 02:00:00,TBRM /MO/02308
[BD50-5085-011-C],50,2026-09-18 17:20:00,2026-09-18 23:50:00,M3-01_(FR3_01),390.0,15033.0,50,[BD50-5085-011-C] bracket,2026-11-12 01:00:00,TBRM /MO/01837
[BD50-5075-013F],20,2026-09-21 15:00:00,2026-09-21 18:30:00,M3-01_(FR3_01),210.0,15029.0,20,[BD50-5075-013F] bracket,2026-11-12 01:00:00,TBRM /MO/01842
[BD50-5075-011-E],52,2026-09-22 09:20:00,2026-09-22 14:20:00,M3-01_(FR3_01),298.0,15028.0,52,[BD50-5075-011-E] bracket,2026-11-12 01:00:00,TBRM /MO/01840
[BD50-5085-007-C],62,2026-09-23 13:20:00,2026-09-23 21:10:00,M3-01_(FR3_01),462.0,15031.0,62,[BD50-5085-007-C] bracket,2026-11-12 01:00:00,TBRM /MO/01832
[BD50-5075-015F],20,2026-09-24 08:00:00,2026-09-24 11:30:00,M3-01_(FR3_01),210.0,15030.0,20,[BD50-5075-015F] bracket,2026-11-12 01:00:00,TBRM /MO/01844
[1508130 B],174,2026-09-24 11:40:00,2026-09-25 11:40:00,M3-01_(FR3_01),960.0,16893.0,174,[1508130 B] [Q] excenter housing z,2027-02-08 12:00:00,TBRM /MO/02329
[4598-008-08901B POS 1],300,2026-09-25 16:00:00,2026-09-28 21:30:00,M3-01_(FR3_01),1290.0,15022.0,300,[4598-008-08901B POS 1] CEILING INLET*,2026-10-26 01:00:00,TBRM /MO/02307
[00385-00-321-A],714,2026-09-28 21:40:00,2026-10-01 22:50:00,M3-01_(FR3_01),2946.0,14890.0,714,[00385-00-321-A] Plint fixing strip left,2027-02-08 12:00:00,TBRM /MO/02311
