PN,Quantity,Work Orders/Start,Work Orders/End,Work Orders/Work Center,Work Orders/Expected Duration,Product/ID,Quantity,Product,Deadline,Reference
[7001-2580-0002],20,2026-09-09 08:00:00,2026-09-09 08:20:00,MP1 - Material preparation - automatic sawing (ZGN_01),15.0,17687.0,20,[7001-2580-0002] MT Lever / FM / FM2010-M00004 Rev. D,2026-08-10 02:00:00,TBRM /MO/01935
[4022.737.00811/AA],3,2026-09-09 08:30:00,2026-09-09 08:50:00,MP1 - Material preparation - automatic sawing (ZGN_01),15.0,18794.0,3,[4022.737.00811/AA] EXE VS YNOZ DUCT GR1 COVER,2026-08-13 12:38:53,TBRM /MO/02372
[4022-451-22801B],6,2026-09-09 09:00:00,2026-09-09 09:20:00,MP1 - Material preparation - automatic sawing (ZGN_01),15.0,15540.0,6,[4022-451-22801B] RS Lock MF-X Preload Housing,2026-09-15 13:00:00,TBRM /MO/02302
[4023-002-16111],10,2026-09-09 09:20:00,2026-09-09 09:40:00,MP1 - Material preparation - automatic sawing (ZGN_01),15.0,19792.0,10,[4023-002-16111] filter plate wide Zr0.02,2026-08-28 15:00:00,TBRM /MO/02305
[4022.683.44771],1,2026-09-09 09:40:00,2026-09-09 10:00:00,MP1 - Material preparation - automatic sawing (ZGN_01),16.0,16114.0,1,[4022.683.44771] RH NXE RED RZ ENC PLATE SPPRT,2026-09-09 02:00:00,TBRM /MO/02331
[4022-656-92231],126,2026-09-09 10:10:00,2026-09-09 12:40:00,MP1 - Material preparation - automatic sawing (ZGN_01),141.0,14980.0,126,[4022-656-92231] Exhaust fw bridge 1980,2026-10-06 02:00:00,TBRM /MO/02362
[7005-2580-0017],18,2026-09-09 12:50:00,2026-09-09 13:30:00,MP1 - Material preparation - automatic sawing (ZGN_01),33.0,18142.0,18,[7005-2580-0017] GP Z-Adjustment Lever V02-01 / 26241001,2026-10-15 02:00:00,TBRM /MO/02366
[4512-127-05186B],1000,2026-09-09 13:30:00,2026-09-10 14:30:00,MP1 - Material preparation - automatic sawing (ZGN_01),1015.0,15017.0,1000,[4512-127-05186B] Anschlag,2026-10-26 01:00:00,TBRM /MO/02371
[00002033- 04],3,2026-09-10 14:40:00,2026-09-10 15:00:00,MP1 - Material preparation - automatic sawing (ZGN_01),15.0,19696.0,3,[00002033- 04] ADAPTER PLATE,2026-11-20 13:00:00,TBRM /MO/02238
[4022.622.19821],5,2026-09-10 15:00:00,2026-09-10 15:20:00,MP1 - Material preparation - automatic sawing (ZGN_01),15.0,19415.0,5,[4022.622.19821] RH NXE RBI BAFFLE INSERT,2027-02-01 12:00:00,TBRM /MO/02359
[4022.632.63021],1600,2026-09-16 08:00:00,2026-09-16 08:40:00,MP1 - Material preparation - automatic sawing (ZGN_01),39.0,7034.0,1600,[4022.632.63021] WTP LOCKING NUT,2026-10-05 02:00:00,TBRM /MO/02354
[4022.632.63021],1600,2026-09-29 08:00:00,2026-09-29 08:40:00,MP1 - Material preparation - automatic sawing (ZGN_01),39.0,7034.0,1600,[4022.632.63021] WTP LOCKING NUT,2026-11-10 01:00:00,TBRM /MO/02356
