PN,Quantity,Work Orders/Start,Work Orders/End,Work Orders/Work Center,Work Orders/Expected Duration,Product/ID,Quantity,Product,Deadline,Reference
[4022-333-58791],64,2026-09-09 08:00:00,2026-09-09 09:10:00,MP2_(ZGN_02),64.0,14921.0,64,[4022-333-58791] Filterhouder Cu 0.1,2026-09-18 02:00:00,TBRM /MO/02363
[4022-335-19371],60,2026-09-09 09:20:00,2026-09-09 10:20:00,MP2_(ZGN_02),60.0,16241.0,60,[4022-335-19371] Filterhouder Ni 0.02mm,2026-10-06 02:00:00,TBRM /MO/01939
[7005-2580-0005],30,2026-09-09 10:30:00,2026-09-09 10:40:00,MP2_(ZGN_02),2.0,16257.0,30,[7005-2580-0005] Single Rail V01-00-A (IGUS / WSQ-06S) / NFI / 26224401,2026-10-15 02:00:00,TBRM /MO/02369
[BD50-5085-011-C],50,2026-09-09 10:50:00,2026-09-09 11:40:00,MP2_(ZGN_02),50.0,15033.0,50,[BD50-5085-011-C] bracket,2026-11-12 01:00:00,TBRM /MO/01837
[BD50-5085-009-C],30,2026-09-09 12:30:00,2026-09-09 13:00:00,MP2_(ZGN_02),30.0,15032.0,30,[BD50-5085-009-C] bracket,2026-11-12 01:00:00,TBRM /MO/01835
[4022-335-17991],35,2026-09-09 13:30:00,2026-09-09 14:10:00,MP2_(ZGN_02),35.0,14922.0,35,[4022-335-17991] Filterh. Cu0.2 Ni0.02,2026-10-28 01:00:00,TBRM /MO/02373
[BD50-5085-007-C],30,2026-09-09 14:30:00,2026-09-09 15:00:00,MP2_(ZGN_02),30.0,15031.0,30,[BD50-5085-007-C] bracket,2026-11-12 01:00:00,TBRM /MO/01833
[BD50-5085-011-C],20,2026-09-09 15:50:00,2026-09-09 16:10:00,MP2_(ZGN_02),20.0,15033.0,20,[BD50-5085-011-C] bracket,2026-11-12 01:00:00,TBRM /MO/01836
[BD50-5075-015F],20,2026-09-09 17:00:00,2026-09-09 17:20:00,MP2_(ZGN_02),20.0,15030.0,20,[BD50-5075-015F] bracket,2026-11-12 01:00:00,TBRM /MO/01844
[BD50-5075-011-E],52,2026-09-09 18:00:00,2026-09-09 19:00:00,MP2_(ZGN_02),52.0,15028.0,52,[BD50-5075-011-E] bracket,2026-11-12 01:00:00,TBRM /MO/01840
[BD50-5085-009-C],57,2026-09-09 19:40:00,2026-09-09 20:40:00,MP2_(ZGN_02),57.0,15032.0,57,[BD50-5085-009-C] bracket,2026-11-12 01:00:00,TBRM /MO/01834
[BD50-5075-013F],20,2026-09-09 21:00:00,2026-09-09 21:20:00,MP2_(ZGN_02),20.0,15029.0,20,[BD50-5075-013F] bracket,2026-11-12 01:00:00,TBRM /MO/01842
[BD50-5075-011-E],44,2026-09-09 21:30:00,2026-09-09 22:20:00,MP2_(ZGN_02),44.0,15028.0,44,[BD50-5075-011-E] bracket,2026-11-24 01:00:00,TBRM /MO/02375
[BD50-5085-007-C],62,2026-09-09 21:40:00,2026-09-09 22:50:00,MP2_(ZGN_02),62.0,15031.0,62,[BD50-5085-007-C] bracket,2026-11-12 01:00:00,TBRM /MO/01832
[BD50-5075-015F],43,2026-09-09 23:00:00,2026-09-09 23:50:00,MP2_(ZGN_02),43.0,15030.0,43,[BD50-5075-015F] bracket,2026-11-12 01:00:00,TBRM /MO/01843
[BD50-5085-013-C],45,2026-09-10 08:40:00,2026-09-10 09:30:00,MP2_(ZGN_02),45.0,15034.0,45,[BD50-5085-013-C] bracket,2026-11-12 01:00:00,TBRM /MO/01839
[BD50-5075-013F],50,2026-09-10 12:00:00,2026-09-10 12:50:00,MP2_(ZGN_02),50.0,15029.0,50,[BD50-5075-013F] bracket,2026-11-12 01:00:00,TBRM /MO/01841
[BD50-5085-013-C],55,2026-09-10 14:00:00,2026-09-10 15:00:00,MP2_(ZGN_02),55.0,15034.0,55,[BD50-5085-013-C] bracket,2026-11-12 01:00:00,TBRM /MO/01838
