PN,Quantity,Work Orders/Start,Work Orders/End,Work Orders/Work Center,Work Orders/Expected Duration,Product/ID,Quantity,Product,Deadline,Reference
[7001-2580-0041],20,2026-09-09 08:00:00,2026-09-09 11:30:00,UMC750SS_(M5-05),200.8,18718.0,20,[7001-2580-0041] MT Interface Plate / FM/ FM2010-M00003 Rev. E,2026-08-10 02:00:00,TBRM /MO/01852
[4022-455-09997-3],40,2026-09-09 11:40:00,2026-09-09 17:10:00,UMC750SS_(M5-05),330.0,14931.0,40,[4022-455-09997-3] post 7,2026-08-18 02:00:00,TBRM /MO/01807
[4023-001-43251B],15,2026-09-09 17:20:00,2026-09-09 20:20:00,UMC750SS_(M5-05),180.0,15010.0,15,[4023-001-43251B] Block detection RI,2026-09-18 02:00:00,TBRM /MO/01938
[4022.683.44771],1,2026-09-09 20:30:00,2026-09-09 21:50:00,UMC750SS_(M5-05),78.0,16114.0,1,[4022.683.44771] RH NXE RED RZ ENC PLATE SPPRT,2026-09-09 02:00:00,TBRM /MO/02331
[7005-2580-0005],30,2026-09-09 20:30:00,2026-09-09 21:50:00,UMC750SS_(M5-05),72.0,16257.0,30,[7005-2580-0005] Single Rail V01-00-A (IGUS / WSQ-06S) / NFI / 26224401,2026-10-15 02:00:00,TBRM /MO/02369
N26241005V02-00 - Spacer,16,2026-09-09 22:00:00,2026-09-10 10:30:00,UMC750SS_(M5-05),268.0,17535.0,16,N26241005V02-00 - Spacer,2026-08-12 02:00:00,TBRM /MO/02288
N26241006V01-00 - Spacer B,16,2026-09-10 10:40:00,2026-09-10 15:00:00,UMC750SS_(M5-05),252.0,17536.0,16,N26241006V01-00 - Spacer B,2026-08-12 02:00:00,TBRM /MO/02289
[7001-2580-0029],20,2026-09-10 15:10:00,2026-09-11 15:30:00,UMC750SS_(M5-05),980.0,17779.0,20,[7001-2580-0029] Mirror Holder / FM / FM-02-033-B,2026-09-02 02:00:00,TBRM /MO/01957
[7001-2580-0036],10,2026-09-11 16:00:00,2026-09-11 21:20:00,UMC750SS_(M5-05),320.0,17786.0,10,[7001-2580-0036] LS Actuator Arm / FM / FM-02-029-B,2026-09-02 02:00:00,TBRM /MO/01972
[7005-2580-0007],8,2026-09-11 21:30:00,2026-09-14 11:00:00,UMC750SS_(M5-05),324.0,16269.0,8,[7005-2580-0007] Support block  / 07201506 v02-00 - Drawing in RED,2026-09-28 02:00:00,TBRM /MO/02215
[7005-2580-0010],4,2026-09-14 12:00:00,2026-09-14 13:50:00,UMC750SS_(M5-05),101.0,16360.0,4,[7005-2580-0010] Cylinder bracket V01-00 / NFI / 27244703,2026-10-05 02:00:00,TBRM /MO/02370
[7001-2580-0033],10,2026-09-14 14:00:00,2026-09-14 16:40:00,UMC750SS_(M5-05),160.0,17783.0,10,[7001-2580-0033] Detector Mount / FM / FM-02-044-B,2027-02-08 12:00:00,TBRM /MO/02226
[7001-2580-0039],32,2026-09-14 16:50:00,2026-09-14 18:10:00,UMC750SS_(M5-05),72.0,17789.0,32,[7001-2580-0039] Lens Shim / FM / FM-02-061-B,2027-02-08 12:00:00,TBRM /MO/02225
[7001-2580-0030],20,2026-09-14 21:20:00,2026-09-15 15:20:00,UMC750SS_(M5-05),600.0,17780.0,20,[7001-2580-0030] Lens Fix / FM / FM-02-009-B,2026-09-02 02:00:00,TBRM /MO/01958
