PN,Quantity,Work Orders/Start,Work Orders/End,Work Orders/Work Center,Work Orders/Expected Duration,Product/ID,Quantity,Product,Deadline,Reference
[7001-2580-0007],20,2026-09-03 08:00:00,2026-09-03 10:20:00,UMC750SS_(M5-05),136.0,17701.0,20,[7001-2580-0007] ST Interface plate / FM / FM210-M00008 Rev. D,2026-08-10 02:00:00,TBRM /MO/01872
[4022.695.89661],26,2026-09-03 10:30:00,2026-09-04 22:00:00,UMC750SS_(M5-05),1650.0,19106.0,26,[4022.695.89661] MBI WS MK2 AORTA BRACE IF,2026-08-19 02:00:00,TBRM /MO/02303
[7005-2580-0007],8,2026-09-04 22:10:00,2026-09-07 11:40:00,UMC750SS_(M5-05),324.0,16269.0,8,[7005-2580-0007] Support block  / 07201506 v02-00 - Drawing in RED,2026-09-04 02:00:00,TBRM /MO/01711
[7001-2580-0039],32,2026-09-07 11:50:00,2026-09-07 13:10:00,UMC750SS_(M5-05),72.0,17789.0,32,[7001-2580-0039] Lens Shim / FM / FM-02-061-B,2027-02-08 12:00:00,TBRM /MO/02225
[7005-2480-0070],32,2026-09-07 13:20:00,2026-09-07 17:00:00,UMC750SS_(M5-05),212.0,13982.0,32,[7005-2480-0070] GRIPP / 105-46612,2026-08-20 02:00:00,TBRM /MO/01763
[7005-2580-0007],8,2026-09-07 17:10:00,2026-09-07 22:40:00,UMC750SS_(M5-05),324.0,16269.0,8,[7005-2580-0007] Support block  / 07201506 v02-00 - Drawing in RED,2026-09-28 02:00:00,TBRM /MO/02215
[7005-2580-0015],5,2026-09-07 22:40:00,2026-09-08 19:50:00,UMC750SS_(M5-05),785.0,17993.0,5,[7005-2580-0015] Baseplate V01-00 / NFI / 27244702,2026-10-05 02:00:00,TBRM /MO/02368
[7001-2580-0040],72,2026-09-08 20:00:00,2026-09-08 21:40:00,UMC750SS_(M5-05),96.0,17790.0,72,[7001-2580-0040] Window Holder / FM / FM-02-041-B,2027-02-08 12:00:00,TBRM /MO/02223
[7001-2580-0019],18,2026-09-09 16:40:00,2026-09-09 18:40:00,UMC750SS_(M5-05),111.0,17769.0,18,[7001-2580-0019] Monitor Support / FM / FM-02-046-B,2027-02-08 12:00:00,TBRM /MO/02220
[4022.622.61092],68,2026-09-09 21:20:00,2026-09-11 13:00:00,UMC750SS_(M5-05),1420.0,7366.0,68,[4022.622.61092] RH RED GRIPPER CABLE COVER ,2026-11-02 01:00:00,TBRM /MO/01756
[7001-2580-0033],10,2026-09-11 13:10:00,2026-09-11 15:50:00,UMC750SS_(M5-05),160.0,17783.0,10,[7001-2580-0033] Detector Mount / FM / FM-02-044-B,2027-02-08 12:00:00,TBRM /MO/02226
[4022.622.61092],68,2026-09-11 18:20:00,2026-09-15 23:40:00,UMC750SS_(M5-05),2236.0,7366.0,68,[4022.622.61092] RH RED GRIPPER CABLE COVER ,2026-11-02 01:00:00,TBRM /MO/01756
[7001-2580-0042],20,2026-09-16 08:00:00,2026-09-16 12:00:00,UMC750SS_(M5-05),233.33,18719.0,20,[7001-2580-0042] MT Clamp Axle / FM / FM2010-M00005 Rev. E,2026-08-10 02:00:00,TBRM /MO/01853
[7001-2580-0042],20,2026-09-16 12:10:00,2026-09-16 15:40:00,UMC750SS_(M5-05),203.67,18719.0,20,[7001-2580-0042] MT Clamp Axle / FM / FM2010-M00005 Rev. E,2026-08-10 02:00:00,TBRM /MO/01853
[7005-2580-0017],18,2026-09-16 15:50:00,2026-09-18 19:20:00,UMC750SS_(M5-05),2130.0,18142.0,18,[7005-2580-0017] GP Z-Adjustment Lever V02-01 / 26241001,2026-10-15 02:00:00,TBRM /MO/02366
[7001-2580-0005],20,2026-09-29 08:00:00,2026-09-30 10:20:00,UMC750SS_(M5-05),1100.0,17693.0,20,[7001-2580-0005] MT Center Body / FM / FM2010-M00019 Rev. C,2026-08-10 02:00:00,TBRM /MO/01848
[4022.666.20971-TBRM MCH],500,2026-10-01 16:40:00,2026-10-19 19:00:00,UMC750SS_(M5-05),11660.0,13691.0,500,[4022.666.20971-TBRM MCH] WTP IM MK6 BRACKET RING,2026-11-10 01:00:00,TBRM /MO/02355
