PN,Quantity,Work Orders/Start,Work Orders/End,Work Orders/Work Center,Work Orders/Expected Duration,Product/ID,Quantity,Product,Deadline,Reference
[7001-2580-0041],20,2026-09-10 08:00:00,2026-09-10 11:30:00,UMC750_(M5-03),200.8,18718.0,20,[7001-2580-0041] MT Interface Plate / FM/ FM2010-M00003 Rev. E,2026-08-10 02:00:00,TBRM /MO/01852
[7001-2580-0029],20,2026-09-10 11:40:00,2026-09-11 12:00:00,UMC750_(M5-03),980.0,17779.0,20,[7001-2580-0029] Mirror Holder / FM / FM-02-033-B,2026-09-02 02:00:00,TBRM /MO/01957
[4022.683.44771],1,2026-09-11 12:10:00,2026-09-11 13:30:00,UMC750_(M5-03),78.0,16114.0,1,[4022.683.44771] RH NXE RED RZ ENC PLATE SPPRT,2026-09-09 02:00:00,TBRM /MO/02331
[7005-2580-0005],30,2026-09-11 13:30:00,2026-09-11 14:50:00,UMC750_(M5-03),72.0,16257.0,30,[7005-2580-0005] Single Rail V01-00-A (IGUS / WSQ-06S) / NFI / 26224401,2026-10-15 02:00:00,TBRM /MO/02369
N26241005V02-00 - Spacer,16,2026-09-11 16:00:00,2026-09-11 20:30:00,UMC750_(M5-03),268.0,17535.0,16,N26241005V02-00 - Spacer,2026-08-12 02:00:00,TBRM /MO/02288
N26241006V01-00 - Spacer B,16,2026-09-11 21:20:00,2026-09-14 09:40:00,UMC750_(M5-03),252.0,17536.0,16,N26241006V01-00 - Spacer B,2026-08-12 02:00:00,TBRM /MO/02289
[7001-2580-0019],18,2026-09-14 09:50:00,2026-09-14 11:50:00,UMC750_(M5-03),111.0,17769.0,18,[7001-2580-0019] Monitor Support / FM / FM-02-046-B,2027-02-08 12:00:00,TBRM /MO/02220
[7001-2580-0047],20,2026-09-14 13:20:00,2026-09-14 15:20:00,UMC750_(M5-03),120.0,18724.0,20,[7001-2580-0047] ST Lever / FM / FM2010-M00014 Rev. D,2026-08-10 02:00:00,TBRM /MO/01876
[7001-2580-0035],10,2026-09-14 15:30:00,2026-09-15 09:20:00,UMC750_(M5-03),590.0,17785.0,10,[7001-2580-0035] SA Housing / FM / FM-02-017-B,2026-09-02 02:00:00,TBRM /MO/01971
[7005-2580-0007],8,2026-09-15 09:30:00,2026-09-15 15:00:00,UMC750_(M5-03),324.0,16269.0,8,[7005-2580-0007] Support block  / 07201506 v02-00 - Drawing in RED,2026-09-28 02:00:00,TBRM /MO/02215
[7001-2580-0022],9,2026-09-15 15:10:00,2026-09-15 20:40:00,UMC750_(M5-03),324.0,17772.0,9,[7001-2580-0022] HOLDER CREDIT CARD / FM / FM-02-007-C,2027-02-08 12:00:00,TBRM /MO/02218
[7001-2580-0017],12,2026-09-15 20:40:00,2026-09-15 22:20:00,UMC750_(M5-03),94.0,17767.0,12,[7001-2580-0017] Pusher / FM / FM-02-011-B,2027-02-08 12:00:00,TBRM /MO/02221
[7001-2580-0031],10,2026-09-16 08:00:00,2026-09-16 23:10:00,UMC750_(M5-03),910.0,17781.0,10,[7001-2580-0031] Lens Mechanism 2 / FM / FM-02-004-B,2026-09-02 02:00:00,TBRM /MO/01959
[7001-2580-0026],10,2026-09-16 23:20:00,2026-09-17 14:00:00,UMC750_(M5-03),395.0,17776.0,10,[7001-2580-0026] Holder Fresnell / FM / FM-02-035-B,2027-02-08 12:00:00,TBRM /MO/02228
