PN,Quantity,Work Orders/Start,Work Orders/End,Work Orders/Work Center,Work Orders/Expected Duration,Product/ID,Quantity,Product,Deadline,Reference
[7001-2580-0041],20,2026-09-03 08:00:00,2026-09-03 11:30:00,UMC750_(M5-03),200.8,18718.0,20,[7001-2580-0041] MT Interface Plate / FM/ FM2010-M00003 Rev. E,2026-08-10 02:00:00,TBRM /MO/01852
[7001-2580-0029],20,2026-09-03 11:40:00,2026-09-04 12:00:00,UMC750_(M5-03),980.0,17779.0,20,[7001-2580-0029] Mirror Holder / FM / FM-02-033-B,2026-09-02 02:00:00,TBRM /MO/01957
[4022.683.44771],1,2026-09-04 13:00:00,2026-09-04 14:20:00,UMC750_(M5-03),78.0,16114.0,1,[4022.683.44771] RH NXE RED RZ ENC PLATE SPPRT,2026-09-09 02:00:00,TBRM /MO/02331
[7005-2580-0005],30,2026-09-04 14:30:00,2026-09-04 15:50:00,UMC750_(M5-03),72.0,16257.0,30,[7005-2580-0005] Single Rail V01-00-A (IGUS / WSQ-06S) / NFI / 26224401,2026-10-15 02:00:00,TBRM /MO/02369
N26241005V02-00 - Spacer,16,2026-09-04 16:00:00,2026-09-04 20:30:00,UMC750_(M5-03),268.0,17535.0,16,N26241005V02-00 - Spacer,2026-08-12 02:00:00,TBRM /MO/02288
N26241006V01-00 - Spacer B,16,2026-09-04 21:20:00,2026-09-07 09:40:00,UMC750_(M5-03),252.0,17536.0,16,N26241006V01-00 - Spacer B,2026-08-12 02:00:00,TBRM /MO/02289
[7001-2580-0030],20,2026-09-07 09:50:00,2026-09-07 19:50:00,UMC750_(M5-03),600.0,17780.0,20,[7001-2580-0030] Lens Fix / FM / FM-02-009-B,2026-09-02 02:00:00,TBRM /MO/01958
[7005-2580-0010],4,2026-09-07 20:00:00,2026-09-07 21:50:00,UMC750_(M5-03),101.0,16360.0,4,[7005-2580-0010] Cylinder bracket V01-00 / NFI / 27244703,2026-10-05 02:00:00,TBRM /MO/02370
[7001-2580-0020],18,2026-09-07 22:00:00,2026-09-07 23:50:00,UMC750_(M5-03),104.0,17770.0,18,[7001-2580-0020] Monitor Support 2 / FM / FM-02-045-B,2027-02-08 12:00:00,TBRM /MO/02219
[7001-2580-0031],10,2026-09-08 09:20:00,2026-09-09 08:30:00,UMC750_(M5-03),910.0,17781.0,10,[7001-2580-0031] Lens Mechanism 2 / FM / FM-02-004-B,2026-09-02 02:00:00,TBRM /MO/01959
[7001-2580-0022],9,2026-09-09 08:40:00,2026-09-09 14:10:00,UMC750_(M5-03),324.0,17772.0,9,[7001-2580-0022] HOLDER CREDIT CARD / FM / FM-02-007-C,2027-02-08 12:00:00,TBRM /MO/02218
[7001-2580-0034],10,2026-09-09 21:20:00,2026-09-10 11:00:00,UMC750_(M5-03),340.0,17784.0,10,[7001-2580-0034] Base / FM / FM-02-018-B,2026-09-02 02:00:00,TBRM /MO/01970
[7001-2580-0017],12,2026-09-10 11:10:00,2026-09-10 12:50:00,UMC750_(M5-03),94.0,17767.0,12,[7001-2580-0017] Pusher / FM / FM-02-011-B,2027-02-08 12:00:00,TBRM /MO/02221
[7001-2580-0022],9,2026-09-10 13:00:00,2026-09-10 23:30:00,UMC750_(M5-03),621.0,17772.0,9,[7001-2580-0022] HOLDER CREDIT CARD / FM / FM-02-007-C,2027-02-08 12:00:00,TBRM /MO/02218
[7001-2580-0037],9,2026-09-10 23:40:00,2026-09-11 13:50:00,UMC750_(M5-03),366.0,17787.0,9,[7001-2580-0037] SA Lens Mount / FM / FM-02-020-B,2027-02-08 12:00:00,TBRM /MO/02224
[7001-2580-0035],10,2026-09-11 16:00:00,2026-09-14 09:50:00,UMC750_(M5-03),590.0,17785.0,10,[7001-2580-0035] SA Housing / FM / FM-02-017-B,2026-09-02 02:00:00,TBRM /MO/01971
[1207568A],30,2026-09-14 10:00:00,2026-09-14 21:00:00,UMC750_(M5-03),660.0,14912.0,30,[1207568A] Cable clamp,2026-12-31 09:00:00,TBRM /MO/01300
[7001-2580-0016],12,2026-09-14 22:00:00,2026-09-14 23:30:00,UMC750_(M5-03),86.0,17766.0,12,[7001-2580-0016] Pusher Protect / FM / FM-02-012-B,2027-02-08 12:00:00,TBRM /MO/02222
[7001-2580-0036],10,2026-09-15 08:00:00,2026-09-15 13:20:00,UMC750_(M5-03),320.0,17786.0,10,[7001-2580-0036] LS Actuator Arm / FM / FM-02-029-B,2026-09-02 02:00:00,TBRM /MO/01972
[4022.704.19302],124,2026-09-15 13:50:00,2026-09-15 19:00:00,UMC750_(M5-03),308.0,6974.0,124,[4022.704.19302] RH RED STATIC STRAIN RELIEF A,2026-10-06 02:00:00,TBRM /MO/02217
[7001-2580-0032],10,2026-09-15 19:10:00,2026-09-15 23:20:00,UMC750_(M5-03),250.0,17782.0,10,[7001-2580-0032] Lens Support / FM / FM-02-042-B,2027-02-08 12:00:00,TBRM /MO/02227
