PN,Quantity,Work Orders/Start,Work Orders/End,Work Orders/Work Center,Work Orders/Expected Duration,Product/ID,Quantity,Product,Deadline,Reference
[7001-2580-0041],20,2026-09-08 08:00:00,2026-09-08 11:30:00,VF2SS_(M3-03),200.8,18718.0,20,[7001-2580-0041] MT Interface Plate / FM/ FM2010-M00003 Rev. E,2026-08-10 02:00:00,TBRM /MO/01852
[7001-2580-0045],20,2026-09-08 11:30:00,2026-09-08 16:50:00,VF2SS_(M3-03),316.0,18722.0,20,[7001-2580-0045] ST Spring Housing / FM / FM2010-M00011 Rev. D,2026-08-10 02:00:00,TBRM /MO/01868
[7001-2580-0045],20,2026-09-08 17:00:00,2026-09-08 21:10:00,VF2SS_(M3-03),248.0,18722.0,20,[7001-2580-0045] ST Spring Housing / FM / FM2010-M00011 Rev. D,2026-08-10 02:00:00,TBRM /MO/01868
[7005-2480-0070],32,2026-09-08 21:10:00,2026-09-09 08:50:00,VF2SS_(M3-03),212.0,13982.0,32,[7005-2480-0070] GRIPP / 105-46612,2026-08-20 02:00:00,TBRM /MO/01763
[7005-2580-0005],30,2026-09-09 09:00:00,2026-09-09 10:20:00,VF2SS_(M3-03),72.0,16257.0,30,[7005-2580-0005] Single Rail V01-00-A (IGUS / WSQ-06S) / NFI / 26224401,2026-10-15 02:00:00,TBRM /MO/02369
[7001-2580-0020],18,2026-09-09 10:30:00,2026-09-09 12:20:00,VF2SS_(M3-03),104.0,17770.0,18,[7001-2580-0020] Monitor Support 2 / FM / FM-02-045-B,2027-02-08 12:00:00,TBRM /MO/02219
[7001-2580-0019],18,2026-09-09 12:20:00,2026-09-09 14:20:00,VF2SS_(M3-03),111.0,17769.0,18,[7001-2580-0019] Monitor Support / FM / FM-02-046-B,2027-02-08 12:00:00,TBRM /MO/02220
[7001-2580-0039],32,2026-09-09 14:30:00,2026-09-09 15:50:00,VF2SS_(M3-03),72.0,17789.0,32,[7001-2580-0039] Lens Shim / FM / FM-02-061-B,2027-02-08 12:00:00,TBRM /MO/02225
[7005-2580-0010],4,2026-09-09 16:40:00,2026-09-09 18:30:00,VF2SS_(M3-03),101.0,16360.0,4,[7005-2580-0010] Cylinder bracket V01-00 / NFI / 27244703,2026-10-05 02:00:00,TBRM /MO/02370
[7001-2580-0022],9,2026-09-09 18:40:00,2026-09-10 08:10:00,VF2SS_(M3-03),324.0,17772.0,9,[7001-2580-0022] HOLDER CREDIT CARD / FM / FM-02-007-C,2027-02-08 12:00:00,TBRM /MO/02218
[7001-2580-0037],9,2026-09-10 08:20:00,2026-09-10 14:30:00,VF2SS_(M3-03),366.0,17787.0,9,[7001-2580-0037] SA Lens Mount / FM / FM-02-020-B,2027-02-08 12:00:00,TBRM /MO/02224
[7005-2580-0015],5,2026-09-10 16:00:00,2026-09-11 13:10:00,VF2SS_(M3-03),785.0,17993.0,5,[7005-2580-0015] Baseplate V01-00 / NFI / 27244702,2026-10-05 02:00:00,TBRM /MO/02368
[7001-2580-0017],12,2026-09-11 13:20:00,2026-09-11 15:00:00,VF2SS_(M3-03),94.0,17767.0,12,[7001-2580-0017] Pusher / FM / FM-02-011-B,2027-02-08 12:00:00,TBRM /MO/02221
[7001-2580-0016],12,2026-09-11 15:00:00,2026-09-11 16:30:00,VF2SS_(M3-03),86.0,17766.0,12,[7001-2580-0016] Pusher Protect / FM / FM-02-012-B,2027-02-08 12:00:00,TBRM /MO/02222
[7001-2580-0047],20,2026-09-21 08:00:00,2026-09-21 10:00:00,VF2SS_(M3-03),120.0,18724.0,20,[7001-2580-0047] ST Lever / FM / FM2010-M00014 Rev. D,2026-08-10 02:00:00,TBRM /MO/01876
[7001-2580-0033],10,2026-09-29 16:00:00,2026-09-29 19:20:00,VF2SS_(M3-03),200.0,17783.0,10,[7001-2580-0033] Detector Mount / FM / FM-02-044-B,2027-02-08 12:00:00,TBRM /MO/02226
[7001-2580-0043],20,2026-10-02 16:00:00,2026-10-02 20:50:00,VF2SS_(M3-03),290.0,18720.0,20,[7001-2580-0043] MT Carrier Disc / FM / FM2010-M00020  Rev. C,2026-08-10 02:00:00,TBRM /MO/01863
[4022.704.19302],124,2026-10-07 08:00:00,2026-10-07 13:10:00,VF2SS_(M3-03),308.0,6974.0,124,[4022.704.19302] RH RED STATIC STRAIN RELIEF A,2026-10-06 02:00:00,TBRM /MO/02217
[4022.622.61092],68,2026-10-08 08:00:00,2026-10-12 13:20:00,VF2SS_(M3-03),2236.0,7366.0,68,[4022.622.61092] RH RED GRIPPER CABLE COVER ,2026-11-02 01:00:00,TBRM /MO/01756
