PN,Quantity,Work Orders/Start,Work Orders/End,Work Orders/Work Center,Work Orders/Expected Duration,Product/ID,Quantity,Product,Deadline,Reference
[4022-666-65702(R1)],524,2026-09-03 08:00:00,2026-09-03 11:20:00,VF2SS_(M3-03),195.0,14986.0,524,[4022-666-65702(R1)] LSPH coverplate stud block,2026-05-28 12:00:00,TBRM /MO/01697-003
[7001-2580-0024],10,2026-09-03 11:30:00,2026-09-04 21:00:00,VF2SS_(M3-03),1530.0,17774.0,10,[7001-2580-0024] LIGHT L BRACKET / FM / FM-02-030-B,2026-09-02 02:00:00,TBRM /MO/01944
[4022.632.63021],1600,2026-09-04 21:10:00,2026-09-07 12:40:00,VF2SS_(M3-03),450.0,7034.0,1600,[4022.632.63021] WTP LOCKING NUT,2026-10-05 02:00:00,TBRM /MO/02354
[00385-00-329-A],473,2026-09-07 13:20:00,2026-09-08 22:30:00,VF2SS_(M3-03),1509.0,14891.0,473,[00385-00-329-A] End plate finger safety hinge,2026-07-23 12:00:00,TBRM /MO/01823
[4022-671-49061],54,2026-09-08 22:40:00,2026-09-09 17:10:00,VF2SS_(M3-03),630.0,14988.0,54,[4022-671-49061] Bpam front 1,2026-09-17 02:00:00,TBRM /MO/02232
[4022-656-92231],126,2026-09-09 17:20:00,2026-09-10 19:40:00,VF2SS_(M3-03),1098.0,14980.0,126,[4022-656-92231] Exhaust fw bridge 1980,2026-10-06 02:00:00,TBRM /MO/02362
[BD50-5085-009-C],57,2026-09-10 19:50:00,2026-09-11 11:10:00,VF2SS_(M3-03),432.0,15032.0,57,[BD50-5085-009-C] bracket,2026-11-12 01:00:00,TBRM /MO/01834
[BD50-5085-013-C],45,2026-09-11 12:20:00,2026-09-11 18:20:00,VF2SS_(M3-03),360.0,15034.0,45,[BD50-5085-013-C] bracket,2026-11-12 01:00:00,TBRM /MO/01839
[4022-674-35671],46,2026-09-11 18:40:00,2026-09-14 15:40:00,VF2SS_(M3-03),780.0,14992.0,46,[4022-674-35671] MBI WS LTT SSXY MAN PLUG,2026-09-23 02:00:00,TBRM /MO/02297
[4022-671-49061],108,2026-09-14 16:00:00,2026-09-15 19:30:00,VF2SS_(M3-03),1170.0,14988.0,108,[4022-671-49061] Bpam front 1,2026-09-11 02:00:00,TBRM /MO/01830
[4022-671-49061],108,2026-09-15 19:40:00,2026-09-16 14:10:00,VF2SS_(M3-03),630.0,14988.0,108,[4022-671-49061] Bpam front 1,2026-09-11 02:00:00,TBRM /MO/01830
[BD50-5075-015F],43,2026-09-16 14:20:00,2026-09-16 20:10:00,VF2SS_(M3-03),348.0,15030.0,43,[BD50-5075-015F] bracket,2026-11-12 01:00:00,TBRM /MO/01843
[BD50-5075-011-E],44,2026-09-16 20:20:00,2026-09-17 08:50:00,VF2SS_(M3-03),266.0,15028.0,44,[BD50-5075-011-E] bracket,2026-11-24 01:00:00,TBRM /MO/02375
[4022-333-13805],250,2026-09-17 09:00:00,2026-09-17 18:50:00,VF2SS_(M3-03),590.0,14917.0,250,[4022-333-13805] dr pnt cilinder,2027-02-08 12:00:00,TBRM /MO/02357
[4022-333-11506],86,2026-09-18 08:00:00,2026-09-18 16:40:00,VF2SS_(M3-03),520.0,14916.0,86,[4022-333-11506] lagerblok,2026-12-31 12:00:00,TBRM /MO/01615
[BD50-5075-013F],50,2026-09-21 08:00:00,2026-09-21 14:30:00,VF2SS_(M3-03),390.0,15029.0,50,[BD50-5075-013F] bracket,2026-11-12 01:00:00,TBRM /MO/01841
[7001-2580-0047],20,2026-09-21 16:00:00,2026-09-21 17:10:00,VF2SS_(M3-03),68.8,18724.0,20,[7001-2580-0047] ST Lever / FM / FM2010-M00014 Rev. D,2026-08-10 02:00:00,TBRM /MO/01876
[4022.666.20971-TBRM MCH],500,2026-09-21 17:20:00,2026-10-07 19:40:00,VF2SS_(M3-03),11660.0,13691.0,500,[4022.666.20971-TBRM MCH] WTP IM MK6 BRACKET RING,2026-09-14 02:00:00,TBRM /MO/02255-002
