OperationName,ProcessID,ResourceID,Resource,Start,Completion,DemandID,Product,NrItems
MP1 - Mat. prep - automatic sawing (ZGN_01),1,-,-,2025-02-28 11:30:57,2026-03-23 08:51:57,__export__.mrp_production_1104_d3ae4426,[4022-651-55002A],27
MP1 - Mat. prep - automatic sawing (ZGN_01),10,-,-,2026-02-06 13:37:06,2026-02-06 13:37:06,__export__.mrp_production_5033_ffa23c2e,[4022.684.28993],1
M5-03 - UMC1 - 5axis - Manual (UMC750),11,-,-,2026-02-06 13:38:20,2026-02-06 13:38:20,__export__.mrp_production_5033_ffa23c2e,[4022.684.28993],1
M3-01 - AW - 3axis - Manual (FR3_01),12,-,-,2026-02-06 13:39:12,2026-02-06 13:39:12,__export__.mrp_production_5033_ffa23c2e,[4022.684.28993],1
"MP3 - Mat. prep - pre-cutted, only picking (UITG_M)",15,-,-,2026-02-06 13:43:14,2026-02-06 13:43:14,__export__.mrp_production_5034_4d53b4c4,[4022.684.29043],1
M5-03 - UMC1 - 5axis - Manual (UMC750),16,-,-,2026-02-06 13:43:09,2026-02-06 13:43:09,__export__.mrp_production_5034_4d53b4c4,[4022.684.29043],1
"MP3 - Mat. prep - pre-cutted, only picking (UITG_M)",19,-,-,2026-02-06 13:36:30,2026-02-06 13:36:30,__export__.mrp_production_5035_e3dce293,[4022.684.28962],1
M5-03 - UMC1 - 5axis - Manual (UMC750),20,-,-,2026-02-06 13:36:38,2026-02-06 13:36:38,__export__.mrp_production_5035_e3dce293,[4022.684.28962],1
MP1 - Mat. prep - automatic sawing (ZGN_01),23,-,-,2026-02-06 13:44:01,2026-02-06 13:44:01,__export__.mrp_production_5036_bec2ca68,[4022.684.28842],1
M5-03 - UMC1 - 5axis - Manual (UMC750),24,-,-,2026-02-06 13:44:10,2026-02-06 13:44:10,__export__.mrp_production_5036_bec2ca68,[4022.684.28842],1
M3-01 - AW - 3axis - Manual (FR3_01),25,-,-,2026-02-06 13:43:55,2026-02-06 13:43:55,__export__.mrp_production_5036_bec2ca68,[4022.684.28842],1
"MP3 - Mat. prep - pre-cutted, only picking (UITG_M)",28,-,-,2026-02-06 13:43:33,2026-02-06 13:43:33,__export__.mrp_production_5037_60eed60d,[4022.656.37971],5
M5-03 - UMC1 - 5axis - Manual (UMC750),29,-,-,2026-02-06 13:43:37,2026-02-06 13:43:37,__export__.mrp_production_5037_60eed60d,[4022.656.37971],5
