ORDERID;PN;SALESORDER;ITEM;SCHEDULELINE;ORDERTYPE;SPLITDELIVERY;REQUESTEDDATE;CONFIRMEDDATE;REQUESTEDQUANTITY;OPENQUANTITY;FLAG
20174-40-1;6782-1900-0600;0000020174;000040;1;S;X;2022-01-24;2022-01-28;384;384;U
20174-10-1;6782-2100-0101;0000020174;000010;1;S;X;2022-01-24;2022-01-28;384;384;U
20174-20-1;6782-1401-0002;0000020174;000020;1;S;X;2022-01-24;2022-01-28;384;384;U
20174-30-1;6782-1401-0103;0000020174;000030;1;S;X;2022-01-24;2022-01-28;384;384;U
20381-121-1;6761-1903-6202;0000020381;000121;1;S;NULL;2022-01-06;2022-01-26;1500;1500;U
20391-200-1;6410-1100-1605;0000020391;000200;1;S;NULL;2022-01-06;2022-02-18;30;30;U
20612-10-1;6050-1700-0010;0000020612;000010;1;S;NULL;2022-01-31;2022-02-04;500;500;U
20381-131-1;6761-1903-6202;0000020381;000131;1;S;NULL;2022-01-06;2022-02-18;1100;1100;U
20391-190-1;6410-1100-1605;0000020391;000190;1;S;NULL;2021-12-10;2022-02-11;30;30;U
20701-10-1;6782-1900-1900;0000020701;000010;1;S;X;2022-01-26;2022-01-28;96;96;U
20701-20-1;6782-1401-0103;0000020701;000020;1;S;X;2022-01-26;2022-01-28;96;96;U
20701-40-1;6782-1401-0002;0000020701;000040;1;S;X;2022-01-26;2022-01-28;96;96;U
20702-20-1;6782-1401-0103;0000020702;000020;1;S;X;2022-01-26;2022-01-31;96;96;U
20704-10-1;6782-2100-0201;0000020704;000010;1;S;X;2022-01-26;2022-01-31;96;96;U
20398-40-1;6047-1800-7903;0000020398;000040;1;S;NULL;2022-01-31;2022-02-03;90;90;U
20765-40-1;6934-1802-8104;0000020765;000040;1;S;NULL;2022-01-06;2022-02-10;30;30;U
20766-20-1;6934-1802-8104;0000020766;000020;1;S;NULL;2022-01-06;2022-02-24;30;30;U
20766-40-1;6934-1802-8104;0000020766;000040;1;S;NULL;2022-01-06;2022-03-10;30;30;U
20804-50-1;6410-2002-1201;0000020804;000050;1;S;NULL;2022-01-03;2022-07-22;10;10;U
20804-60-1;6410-2002-1201;0000020804;000060;1;S;NULL;2022-01-03;2022-07-22;40;40;U
20804-70-1;6410-2002-1201;0000020804;000070;1;S;NULL;2022-02-03;2022-07-29;40;40;U
20804-80-1;6410-2002-1201;0000020804;000080;1;S;NULL;2022-02-03;2022-08-05;60;60;U
20817-10-1;6782-2100-0101;0000020817;000010;1;S;X;2022-07-22;2022-07-22;504;504;U
20817-40-1;6782-1900-0600;0000020817;000040;1;S;X;2022-07-22;2022-07-22;504;504;U
20818-10-1;6782-2100-0101;0000020818;000010;1;S;X;2022-06-16;2022-06-16;504;504;U
20818-30-1;6782-1401-0103;0000020818;000030;1;S;X;2022-06-16;2022-06-16;504;504;U
20818-40-1;6782-1900-0600;0000020818;000040;1;S;X;2022-06-16;2022-06-16;504;504;U
20819-10-1;6782-2100-0101;0000020819;000010;1;S;X;2022-04-22;2022-04-22;504;504;U
20819-20-1;6782-1401-0002;0000020819;000020;1;S;X;2022-04-22;2022-04-22;504;504;U
20819-30-1;6782-1401-0103;0000020819;000030;1;S;X;2022-04-22;2022-04-22;504;504;U
20819-40-1;6782-1900-0600;0000020819;000040;1;S;X;2022-04-22;2022-04-22;504;504;U
20887-70-1;6649-2100-2600;0000020887;000070;1;S;NULL;2022-01-06;2022-02-09;100;100;U
20934-100-1;6761-2002-4201;0000020934;000100;1;S;NULL;2022-01-06;2022-01-17;1000;1000;U
20934-180-1;6761-1903-0303;0000020934;000180;1;S;NULL;2022-01-06;2022-01-19;1000;1000;U
