ShipmentBatch,ShipmentType,Priority,Weight,Destination
0,Bag,2,11,13
0,Bag,1,14,9
0,Box,3,36,14
0,Box,2,25,4
0,Box,1,33,11
0,Box,1,34,4
0,Bag,1,11,5
0,Bag,1,10,0
0,Bag,1,10,0
0,Box,1,31,0
0,Bag,1,10,8
0,Bag,2,13,2
0,Bag,1,14,10
0,Bag,2,10,0
0,Bag,1,10,0
0,Box,2,39,4
0,Box,3,26,14
0,Bag,2,11,12
0,Bag,2,10,14
0,Box,1,30,4
0,Bag,2,10,10
0,Bag,2,13,8
0,Bag,2,13,1
0,Box,2,32,14
0,Bag,2,11,1
0,Bag,2,11,13
0,Bag,2,11,14
0,Box,2,38,11
1,Bag,1,11,5
1,Box,2,33,4
1,Box,1,33,4
1,Box,2,32,3
1,Box,3,25,0
1,Box,1,33,0
1,Bag,1,11,4
1,Box,2,30,5
1,Bag,1,12,10
1,Bag,2,13,10
1,Bag,2,11,0
1,Bag,1,10,1
1,Box,1,34,0
1,Bag,1,11,12
1,Bag,2,10,4
1,Bag,1,12,1
1,Bag,1,13,10
1,Bag,1,13,10
1,Bag,1,11,1
1,Bag,1,14,5
1,Bag,1,10,11
1,Bag,1,13,1
1,Bag,3,13,7
1,Bag,2,10,11
1,Box,2,27,2
1,Bag,2,10,1
1,Bag,1,13,11
1,Box,3,35,10
2,Box,2,39,14
2,Bag,1,14,11
2,Bag,2,11,8
2,Box,2,33,4
2,Box,1,28,8
2,Box,2,29,7
2,Box,1,28,8
2,Bag,1,11,14
2,Box,2,39,11
2,Bag,1,12,11
2,Bag,1,11,8
2,Box,2,28,4
2,Bag,1,11,14
2,Bag,3,13,1
2,Box,1,25,1
2,Box,1,28,1
2,Bag,1,12,10
2,Bag,2,14,8
2,Bag,1,12,5
2,Bag,2,10,8
2,Bag,1,10,0
2,Bag,2,13,0
2,Bag,1,13,4
2,Bag,2,13,12
2,Bag,2,13,8
2,Box,1,30,1
3,Box,2,26,7
3,Bag,1,10,7
3,Bag,1,14,13
3,Box,1,33,8
3,Bag,1,13,0
3,Bag,2,14,0
3,Bag,2,10,14
3,Bag,2,11,7
3,Box,1,26,5
3,Bag,1,11,13
3,Bag,1,13,11
3,Bag,1,13,4
3,Bag,1,13,8
3,Bag,2,13,10
3,Box,2,33,10
3,Bag,1,13,1
3,Bag,1,12,7
3,Box,3,39,8
3,Box,3,34,10
3,Bag,2,10,0
3,Bag,1,12,12
3,Bag,1,13,13
3,Bag,1,10,11
3,Box,2,38,9
3,Box,1,30,1
3,Bag,1,12,1
3,Box,1,32,0
4,Box,1,31,1
4,Box,2,36,8
4,Bag,1,13,0
4,Box,2,29,14
4,Box,2,32,10
4,Bag,2,12,10
4,Bag,1,14,13
4,Box,2,29,0
4,Box,1,37,8
4,Box,1,38,0
4,Bag,2,11,10
4,Box,1,26,11
4,Box,2,27,11
4,Box,1,32,7
4,Bag,1,12,0
4,Bag,1,14,1
4,Box,2,34,1
4,Bag,2,13,4
4,Bag,1,12,13
4,Bag,2,11,11
4,Bag,2,11,10
4,Box,1,28,0
5,Bag,1,12,9
5,Box,2,39,11
5,Bag,1,14,0
5,Bag,1,12,9
5,Box,2,31,11
5,Bag,1,12,4
5,Box,1,39,9
5,Box,2,31,8
5,Bag,1,13,11
5,Bag,1,13,7
5,Bag,1,14,4
5,Bag,2,10,8
5,Bag,1,12,14
5,Bag,1,12,10
5,Bag,3,13,4
5,Bag,1,12,10
5,Bag,2,14,12
5,Box,1,26,0
5,Bag,2,10,0
5,Bag,2,13,8
5,Box,1,36,1
5,Bag,1,13,1
5,Box,2,30,4
5,Bag,1,12,11
5,Box,1,34,2
5,Bag,2,12,1
5,Bag,2,14,14
6,Bag,2,13,0
6,Bag,2,13,10
6,Box,1,32,7
6,Bag,1,14,5
6,Bag,1,12,8
6,Bag,2,12,4
6,Box,2,32,13
6,Bag,2,12,1
6,Box,2,35,2
6,Box,1,39,0
6,Bag,2,14,7
6,Bag,1,11,11
6,Box,1,33,13
6,Bag,2,10,1
6,Box,1,30,14
6,Bag,1,11,7
6,Bag,2,13,12
6,Bag,1,10,4
6,Bag,3,10,1
6,Box,1,30,11
6,Bag,1,13,8
6,Box,2,37,10
6,Bag,3,11,4
6,Box,1,27,14
6,Bag,1,14,10
6,Box,1,25,8
7,Box,1,39,11
7,Box,3,25,4
7,Bag,1,12,0
7,Bag,1,12,1
7,Bag,1,11,13
7,Bag,1,14,1
7,Bag,1,13,11
7,Bag,3,12,1
7,Bag,1,11,13
7,Bag,1,14,10
7,Box,2,26,14
7,Bag,2,11,8
7,Bag,1,12,1
7,Box,1,33,13
7,Bag,1,10,10
7,Bag,1,11,14
7,Box,1,25,13
7,Bag,1,10,7
7,Box,1,28,10
7,Bag,2,10,8
7,Bag,1,11,14
7,Bag,2,11,11
7,Box,2,30,4
7,Bag,2,12,5
7,Box,3,33,0
7,Bag,1,12,5
7,Bag,1,11,14
7,Box,2,26,10
7,Bag,1,11,13
7,Bag,2,14,14
8,Box,1,30,11
8,Bag,3,12,10
8,Box,1,38,8
8,Box,2,39,10
8,Box,1,26,8
8,Bag,1,14,13
8,Bag,1,13,4
8,Bag,1,10,8
8,Box,2,26,0
8,Box,2,33,14
8,Box,2,25,5
8,Bag,1,12,1
8,Bag,1,14,10
8,Box,2,34,0
8,Box,2,35,8
8,Bag,1,13,11
8,Bag,2,14,8
8,Box,1,26,13
8,Box,2,27,11
8,Bag,1,10,0
8,Box,1,29,8
8,Box,2,39,4
9,Box,1,35,11
9,Bag,2,11,1
9,Bag,1,14,10
9,Bag,1,12,5
9,Bag,1,10,10
